case_id,round,company,pdf_url,industry,subsidy_oku,project_cost_oku,visible_metric_count,below_accepted_count,below_accepted_share,visible_metric_lagging,value_added_increase_proxy_oku,value_added_subsidy_ratio_proxy_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,project_sales_increase_proxy,project_sales_cagr_proxy,project_sales_share_proxy,above_accepted_value_added_increase_proxy,above_accepted_value_added_subsidy_ratio_proxy,above_accepted_project_sales_increase_proxy,above_accepted_project_sales_cagr_proxy,above_accepted_project_sales_share_proxy,has_quantitative_compensating_proxy,unresolved_visible_lag,theme_labor_saving,theme_innovation,theme_supply_chain,theme_green,theme_regional_jobs,theme_global,theme_new_capacity,theme_market_evidence,below_accepted_company_sales_cagr,below_accepted_company_sales_increase,below_accepted_labor_cagr,below_accepted_employee_pay_rate,below_accepted_employee_pay_total_increase,below_accepted_officer_pay_rate,below_accepted_investment_sales_ratio
s1_outline__196,2次,株式会社八立製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__196.pdf,製造業,4.2,13.4,6,6.0,1.0,True,4.3788,104.25714285714285,1.8333333333333333,0.28238095238095234,2.380952380952381,,,,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,
s1_outline__200,2次,株式会社イズミテクノ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__200.pdf,製造業,5.3,17.0,5,5.0,1.0,True,9.4068,177.4867924528302,4.716981132075472,0.3438490566037736,6.415094339622642,,,,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,,1.0,1.0,1.0,1.0,1.0,
s2_outline_83,3次,株式会社キド,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_83.pdf,製造業,5.7,26.0,5,5.0,1.0,True,11.1348,195.34736842105264,5.298245614035087,0.4972280701754386,4.56140350877193,,,,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,,1.0,1.0,1.0,1.0,1.0,
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_128.pdf,運輸業・郵便業,14.0,46.0,4,4.0,1.0,True,18.9086,135.06142857142856,,0.23845714285714287,0.21428571428571427,,,,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,,,1.0,1.0,1.0,1.0,
s1_outline_36,1次,株式会社廣澤精機製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_36.pdf,製造業,24.0,71.0,3,3.0,1.0,True,,,1.4416666666666667,,,,,,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,,1.0,1.0,1.0,,,
s1_outline_76,1次,安田工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_76.pdf,製造業,6.2,20.0,7,6.0,0.8571428571428571,True,10.614,171.1935483870968,4.032258064516129,0.4618548387096774,1.4516129032258065,,,,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True,1.0,1.0,1.0,1.0,0.0,1.0,1.0
s2_outline_175,4次,化成工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_175.pdf,製造業,3.98,17.02,7,6.0,0.8571428571428571,True,15.4652,388.57286432160805,14.095477386934673,0.5590276381909548,2.2613065326633164,,,,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,1.0
s1_outline__181,2次,株式会社ホテルニューアワジ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,宿泊業・飲食サービス業,26.0,82.0,6,5.0,0.8333333333333334,True,10.3194,39.690000000000005,1.2653846153846153,0.05225769230769231,0.8076923076923077,,,24.42899702085402,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,,1.0,1.0,1.0,1.0,1.0,0.0
s1_outline__195,2次,アシザワ・ファインテック株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__195.pdf,製造業,8.1,25.0,6,5.0,0.8333333333333334,True,7.518,92.81481481481481,3.901234567901235,0.2642962962962963,1.4814814814814816,,,,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,,1.0,1.0,1.0,1.0,1.0,0.0
s2_outline_24,3次,高知食糧株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_24.pdf,卸売業・小売業,5.4,17.0,6,5.0,0.8333333333333334,True,6.2208,115.19999999999997,23.333333333333332,0.3396666666666667,1.111111111111111,,,,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,1.0,0.0,1.0,1.0,1.0,1.0,
s2_outline_149,4次,株式会社サン海苔,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_149.pdf,製造業,4.26,13.88,6,5.0,0.8333333333333334,True,5.243760000000001,123.0929577464789,7.368544600938968,0.10411267605633803,0.0,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,1.0,1.0,0.0,1.0,1.0,1.0,
s2_outline_172,4次,株式会社環境整備産業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_172.pdf,サービス業_他に分類されないもの,5.57,17.77,6,5.0,0.8333333333333334,True,7.3525,132.00179533213642,4.093357271095153,0.16340215439856373,1.7953321364452424,,,,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,1.0,1.0,1.0,0.0,1.0,1.0,
s1_outline__179,2次,アサヒセイレン中部株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,製造業,50.0,188.0,5,4.0,0.8,True,6.4459,12.8918,3.02,0.048133999999999996,0.38,,,,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline__204,2次,メック株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__204.pdf,製造業,5.5,23.0,5,4.0,0.8,True,25.2314,458.75272727272727,,1.7439272727272728,13.454545454545455,,,,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,,,1.0,1.0,0.0,1.0,1.0
