group,criterion,n,mean_evidence_sentences,median_evidence_density_per_1000_chars,mean_within_round_percentile
全採択企業,management,381,4.4619422572178475,1.7825311942959001,0.505249343832021
全採択企業,innovation_market,381,3.8608923884514437,1.4457831325301205,0.505249343832021
全採択企業,regional_spillover,381,1.4540682414698163,0.4329004329004329,0.505249343832021
全採択企業,feasibility,381,1.057742782152231,0.333667000333667,0.505249343832021
全採択企業,policy_relevance,381,1.2913385826771653,0.3654970760233918,0.505249343832021
可視指標劣後,management,125,4.496,1.7191977077363896,0.5146020500452216
可視指標劣後,innovation_market,125,3.784,1.4245014245014245,0.49289946862704176
可視指標劣後,regional_spillover,125,1.536,0.45724737082761774,0.5242653602653
可視指標劣後,feasibility,125,0.992,0.2858776443682104,0.49311984539628806
可視指標劣後,policy_relevance,125,1.312,0.37778617302606726,0.5084078755130912
定量で未説明,management,71,4.338028169014085,1.7094017094017093,0.49934740140012185
定量で未説明,innovation_market,71,3.408450704225352,1.2626262626262625,0.4713631147988088
定量で未説明,regional_spillover,71,1.6056338028169015,0.47438330170777987,0.5314895975110108
定量で未説明,feasibility,71,0.8028169014084507,0.0,0.4502841697884095
定量で未説明,policy_relevance,71,1.352112676056338,0.4079967360261118,0.5144255410558323
その他採択企業,management,256,4.4453125,1.8244494420917041,0.5006825927513566
その他採択企業,innovation_market,256,3.8984375,1.4767521484326727,0.5112795563344523
その他採択企業,regional_spillover,256,1.4140625,0.42936914445294333,0.49596417955795896
その他採択企業,feasibility,256,1.08984375,0.3645006281607326,0.5111719504900938
その他採択企業,policy_relevance,256,1.28125,0.3296999496782341,0.5037070920346236
