subset,pair_count,measure,measure_ja,lower_strong_share,higher_strong_share,lower_mean_score,higher_mean_score
all_40,40,demand,需要根拠の具体性,0.700,0.800,1.975,2.200
all_40,40,constraint,能力制約の明確さ,0.975,0.950,2.675,2.625
all_40,40,transformation,事業・工程の構造転換,0.975,0.900,2.625,2.625
all_40,40,regional,地域供給網・代替困難性,0.775,0.700,2.250,2.050
all_40,40,execution,実行確度,0.900,0.950,2.225,2.550
all_40,40,strategic,政策・戦略分野との整合,0.900,1.000,2.350,2.600
all_40,40,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
all_40,40,core_at_least_3,中核4要因のうち3要因以上が強い,0.900,,,
all_40,40,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.725,,,
new_35_only,35,demand,需要根拠の具体性,0.714,0.800,1.971,2.171
new_35_only,35,constraint,能力制約の明確さ,0.971,0.943,2.686,2.571
new_35_only,35,transformation,事業・工程の構造転換,0.971,0.886,2.686,2.571
new_35_only,35,regional,地域供給網・代替困難性,0.743,0.657,2.229,2.029
new_35_only,35,execution,実行確度,0.886,0.943,2.229,2.514
new_35_only,35,strategic,政策・戦略分野との整合,0.886,1.000,2.314,2.571
new_35_only,35,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
new_35_only,35,core_at_least_3,中核4要因のうち3要因以上が強い,0.886,,,
new_35_only,35,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.743,,,
clean_numeric_only,35,demand,需要根拠の具体性,0.714,0.800,1.971,2.171
clean_numeric_only,35,constraint,能力制約の明確さ,0.971,0.943,2.686,2.571
clean_numeric_only,35,transformation,事業・工程の構造転換,0.971,0.886,2.686,2.571
clean_numeric_only,35,regional,地域供給網・代替困難性,0.743,0.657,2.229,2.029
clean_numeric_only,35,execution,実行確度,0.886,0.943,2.229,2.514
clean_numeric_only,35,strategic,政策・戦略分野との整合,0.886,1.000,2.314,2.571
clean_numeric_only,35,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
clean_numeric_only,35,core_at_least_3,中核4要因のうち3要因以上が強い,0.886,,,
clean_numeric_only,35,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.743,,,
high_confidence_only,39,demand,需要根拠の具体性,0.718,0.821,2.000,2.231
high_confidence_only,39,constraint,能力制約の明確さ,0.974,0.949,2.667,2.641
high_confidence_only,39,transformation,事業・工程の構造転換,0.974,0.897,2.641,2.615
high_confidence_only,39,regional,地域供給網・代替困難性,0.795,0.718,2.308,2.103
high_confidence_only,39,execution,実行確度,0.923,0.974,2.256,2.590
high_confidence_only,39,strategic,政策・戦略分野との整合,0.897,1.000,2.359,2.615
high_confidence_only,39,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
high_confidence_only,39,core_at_least_3,中核4要因のうち3要因以上が強い,0.923,,,
high_confidence_only,39,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.744,,,
rounds_3_4,28,demand,需要根拠の具体性,0.679,0.821,2.036,2.179
rounds_3_4,28,constraint,能力制約の明確さ,1.000,1.000,2.750,2.821
rounds_3_4,28,transformation,事業・工程の構造転換,1.000,0.893,2.714,2.643
rounds_3_4,28,regional,地域供給網・代替困難性,0.821,0.821,2.321,2.286
rounds_3_4,28,execution,実行確度,1.000,1.000,2.321,2.571
rounds_3_4,28,strategic,政策・戦略分野との整合,1.000,1.000,2.571,2.571
rounds_3_4,28,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
rounds_3_4,28,core_at_least_3,中核4要因のうち3要因以上が強い,0.964,,,
rounds_3_4,28,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.821,,,
manufacturing,30,demand,需要根拠の具体性,0.667,0.767,1.933,2.100
manufacturing,30,constraint,能力制約の明確さ,1.000,0.933,2.733,2.600
manufacturing,30,transformation,事業・工程の構造転換,0.967,0.867,2.567,2.567
manufacturing,30,regional,地域供給網・代替困難性,0.800,0.633,2.233,1.933
manufacturing,30,execution,実行確度,0.900,0.967,2.167,2.633
manufacturing,30,strategic,政策・戦略分野との整合,0.933,1.000,2.400,2.667
manufacturing,30,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
manufacturing,30,core_at_least_3,中核4要因のうち3要因以上が強い,0.933,,,
manufacturing,30,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.667,,,
non_manufacturing,10,demand,需要根拠の具体性,0.800,0.900,2.100,2.500
non_manufacturing,10,constraint,能力制約の明確さ,0.900,1.000,2.500,2.700
non_manufacturing,10,transformation,事業・工程の構造転換,1.000,1.000,2.800,2.800
non_manufacturing,10,regional,地域供給網・代替困難性,0.700,0.900,2.300,2.400
non_manufacturing,10,execution,実行確度,0.900,0.900,2.400,2.300
non_manufacturing,10,strategic,政策・戦略分野との整合,0.800,1.000,2.200,2.400
non_manufacturing,10,core_at_least_2,中核4要因のうち2要因以上が強い,1.000,,,
non_manufacturing,10,core_at_least_3,中核4要因のうち3要因以上が強い,0.800,,,
non_manufacturing,10,core_score3_at_least_2,中核4要因のうち厳格3点が2要因以上,0.900,,,
