round,project_location,head_office_location,company,corporate_number,consortium_member,plan_name,financial_institution,has_financial_confirmation,official_list_url,retrieved_at
3次,"北海道,香川",北海道,株式会社北海道ちぬやファーム,1460001004630,ちぬや冷食株式会社(法人番号1470001010330),地域共創型高付加価値冷凍食品の安定供給体制強化プロジェクト,中国銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,北海道,北海道,北海道乳業株式会社,6440001002020,東銀リース株式会社(法人番号6010001051366),地域産業の発展と北海道乳業高付加価値化のための工場建設,横浜銀行、きらぼし銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,北海道,北海道,有限会社ホテル十勝屋,7460102003162,,近隣企業と協力して地域経済の活性化！帯広市のシンボルとなる宿泊施設へ！,帯広信用金庫,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,青森,青森県,株式会社ヤマイシ,3420001002108,,冷凍倉庫増築による東北活性化,日本政策金融公庫,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,青森,青森県,八戸酒造株式会社,3420001006422,,観光のハブになる！青森県八戸観光振興！ 八仙ブランドを世界へ！事業・技術承継でつなぐ酒造革命,青森みちのく銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,岩手,岩手県,株式会社南部医理科,7400001003797,,地域医療DX加速化と介護見守り高度化のためのミリ波・QOCA活用推進事業,,False,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,山梨,茨城県,中本Fine Pack株式会社,4050001026300,,中本Fine Pack 生産拠点再編・環境対応新工場の構造改革事業,三菱UFJ銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,"岡山,宮城,大阪,三重",茨城県,たまご＆ファーマーズ株式会社,5080101019209,,New Egg Production System構築による世界の食産業への貢献,三井住友銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,"茨城,千葉,埼玉",茨城県,とんきゅう株式会社,6050001015986,,セントラルキッチン活用によるドミナント戦略の強化,常陽銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,栃木,栃木県,中村土建株式会社,3060001003365,,中小総合建設業のイノベーション～先進的新社屋とICT/DX事業拠点の構築,足利銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,栃木,栃木県,フタバ食品株式会社,8060001003930,,FUTABA次世代スマート工場建設計画,群馬銀行、足利銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,群馬,群馬県,東洋ケアサービス株式会社,1070001018050,ESキッチン株式会社(法人番号3070001036158),THE 統合型フードイノベーションファクトリー計画（健康と福祉と笑顔を支える未来型工場）,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,群馬,群馬県,フジセイコー株式会社,4070001010062,,日本をリードする硬質脆弱性素材加工メーカーに向けた生産体制の構築,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,群馬,群馬県,株式会社清水インダストリ－,6070001009458,,循環型社会の実現に向けたウッドチップ製造及びトレーラー車架装事業の展開,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,群馬,群馬県,東亜工業株式会社,6070001019746,,東亜工業BEV戦略～BEV部品生産体制構築に向けた大規模設備投資～,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,群馬,群馬県,松村フーズ株式会社,9070001008416,,保税機能を持つスマート冷凍食品自動倉庫の建設,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
3次,埼玉,埼玉県,株式会社トッカコーポレーション,2030001039363,,パッケージ業界一の圧倒的な品質水準を更に高める新工場と研修センターの新設,群馬銀行,True,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,2026-07-18
