case_id,company,round_original,application_round,match_method,official_source_url,note
s1_outline__179,アサヒセイレン中部株式会社,2次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,Corrected: stored round 2次 conflicts with official 1次 selection list.
s1_outline__181,株式会社ホテルニューアワジ,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__182,埼玉機器株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__183,スズキハイテック株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__184,泉南乳業株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,
s1_outline__188,山城金属株式会社,2次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,Corrected: stored round 2次 conflicts with official 1次 selection list.
s1_outline__189,長﨑ジャッキ株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,
s1_outline__190,株式会社GOTENリゾート,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__191,株式会社カナイ,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,
s1_outline__192,池田糖化工業株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__194,ZACROS株式会社,2次,2次,official_name_alias_corporate_number,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,Official name=藤森工業株式会社; corporate number=6011101056965. Current name ZACROS; official list uses former name Fujimori Kogyo.
s1_outline__195,アシザワ・ファインテック株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__196,株式会社八立製作所,2次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,Corrected: stored round 2次 conflicts with official 1次 selection list.
s1_outline__197,株式会社福山臨床検査センター,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,
s1_outline__198,ユニコム株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__199,株式会社ティー・シー・ピー,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__200,株式会社イズミテクノ,2次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,Corrected: stored round 2次 conflicts with official 1次 selection list.
s1_outline__201,株式会社イートアンドフーズ,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__202,アライドコーヒーロースターズ株式会社,2次,2次,official_name_alias_corporate_number,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,Official name=東京アライドコーヒーロースターズ株式会社; corporate number=6010801007716. Current name Allied Coffee Roasters; official list uses former Tokyo name.
s1_outline__203,株式会社東映京都スタジオ,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__204,メック株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,
s1_outline__205,ヤマシンスチール株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__206,上山製紙株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline__207,株式会社ジェイ・イー・ティ,2次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,Corrected: stored round 2次 conflicts with official 1次 selection list.
s1_outline__208,日本電波工業株式会社,2次,2次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,
s1_outline_1,株式会社岩崎電機製作所,1次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,
s1_outline_2,株式会社アイ・テック,1次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,
s1_outline_3,株式会社堀場エステック,1次,1次,manual_official_list_reconciliation,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,
