case_id,round,company,metric_no,metric_label,company_value,applicant_median,relative_gap_below_benchmark,absolute_relative_gap_lt_1pct,absolute_relative_gap_lt_5pct,absolute_relative_gap_lt_10pct,primary_core28
s1_outline__196,1次,株式会社八立製作所,1,全社年平均売上高成長率,7.0,7.0,0.0,True,True,True,False
s2_outline_24,3次,高知食糧株式会社,1,全社年平均売上高成長率,8.9,13.0,0.3153846153846154,False,False,False,True
s2_outline_149,4次,株式会社サン海苔,1,全社年平均売上高成長率,14.0,14.0,0.0,True,True,True,True
s2_outline_172,4次,株式会社環境整備産業,1,全社年平均売上高成長率,12.0,14.0,0.14285714285714285,False,False,False,True
s1_outline_66,1次,株式会社アルプスツール,1,全社年平均売上高成長率,7.7,7.0,-0.10000000000000002,False,False,False,False
s1_outline_70,1次,協和工業株式会社,1,全社年平均売上高成長率,6.0,7.0,0.14285714285714285,False,False,False,False
s1_outline_76,1次,安田工業株式会社,1,全社年平均売上高成長率,4.7,7.0,0.32857142857142857,False,False,False,False
s2_outline_134,4次,池田薬品工業株式会社,1,全社年平均売上高成長率,54.6,14.0,-2.9,False,False,False,False
s2_outline_135,4次,株式会社リバイト,1,全社年平均売上高成長率,16.3,14.0,-0.16428571428571434,False,False,False,False
s2_outline_136,4次,木本製菓株式会社,1,全社年平均売上高成長率,17.68,14.0,-0.26285714285714284,False,False,False,False
s2_outline_168,4次,明和工業株式会社,1,全社年平均売上高成長率,20.9,14.0,-0.49285714285714277,False,False,False,True
s2_outline_175,4次,化成工業株式会社,1,全社年平均売上高成長率,11.8,14.0,0.15714285714285708,False,False,False,False
s2_outline_221,4次,株式会社ニシムタ,1,全社年平均売上高成長率,5.3,14.0,0.6214285714285713,False,False,False,True
s1_outline_31,1次,鎌長製衡株式会社,1,全社年平均売上高成長率,9.0,7.0,-0.2857142857142857,False,False,False,False
s1_outline_78,1次,環境のミカタ株式会社,1,全社年平均売上高成長率,17.6,7.0,-1.5142857142857145,False,False,False,False
s2_outline_44,3次,株式会社アヤボ,1,全社年平均売上高成長率,20.0,13.0,-0.5384615384615384,False,False,False,False
s2_outline_115,4次,株式会社コスモス食品,1,全社年平均売上高成長率,10.02,14.0,0.2842857142857143,False,False,False,True
s2_outline_121,4次,株式会社ヤマキ食品,1,全社年平均売上高成長率,12.7,14.0,0.0928571428571429,False,False,True,True
s2_outline_159,4次,株式会社　ファーストライン,1,全社年平均売上高成長率,18.0,14.0,-0.2857142857142857,False,False,False,True
s2_outline_210,4次,南島酒販株式会社,1,全社年平均売上高成長率,10.8,14.0,0.2285714285714285,False,False,False,True
s1_outline_95,1次,ナミックス株式会社,1,全社年平均売上高成長率,7.2,7.0,-0.0285714285714286,False,True,True,False
s1_outline_162,2次,信光陸運株式会社,1,全社年平均売上高成長率,8.93,9.0,0.00777777777777781,True,True,True,False
s2_outline_52,3次,株式会社GYXUS,1,全社年平均売上高成長率,376.3,13.0,-27.946153846153848,False,False,False,False
s2_outline_91,3次,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,1,全社年平均売上高成長率,16.9,13.0,-0.2999999999999999,False,False,False,False
s2_outline_161,4次,株式会社デイリーエッグ,1,全社年平均売上高成長率,7.4,14.0,0.4714285714285714,False,False,False,False
s1_outline_50,1次,株式会社松尾製作所,1,全社年平均売上高成長率,6.3,7.0,0.10000000000000002,False,False,False,True
s2_outline_65,3次,ハビックス株式会社,1,全社年平均売上高成長率,14.0,13.0,-0.07692307692307693,False,False,True,False
s2_outline_72,3次,ときわ製作所株式会社,1,全社年平均売上高成長率,25.99,13.0,-0.9992307692307691,False,False,False,True
s2_outline_140,3次,都吹株式会社,1,全社年平均売上高成長率,16.89,13.0,-0.2992307692307693,False,False,False,False
s2_outline_200,4次,有限会社ワンプラスワン,1,全社年平均売上高成長率,17.0,14.0,-0.21428571428571427,False,False,False,False
s1_outline_14,1次,日華化学株式会社,1,全社年平均売上高成長率,5.0,7.0,0.2857142857142857,False,False,False,False
s2_outline_119,4次,株式会社群馬コイケ,1,全社年平均売上高成長率,15.2,14.0,-0.08571428571428566,False,False,True,False
s2_outline_158,4次,株式会社セントラルフード,1,全社年平均売上高成長率,15.0,14.0,-0.07142857142857142,False,False,True,False
s1_outline__207,1次,株式会社ジェイ・イー・ティ,1,全社年平均売上高成長率,8.3,7.0,-0.1857142857142858,False,False,False,False
s1_outline_173,2次,中央紙通商株式会社,1,全社年平均売上高成長率,4.1,9.0,0.5444444444444445,False,False,False,False
s2_outline_43,3次,近江鍛工株式会社,1,全社年平均売上高成長率,11.5,13.0,0.11538461538461539,False,False,False,False
s2_outline_69,3次,松村フーズ株式会社,1,全社年平均売上高成長率,16.7,13.0,-0.28461538461538455,False,False,False,False
s2_outline_127,4次,株式会社キィポーション,1,全社年平均売上高成長率,32.84,14.0,-1.3457142857142859,False,False,False,False
