case_id,round,company,merge_key,has_financial_confirmation,financial_institution,official_list_url,core28
s2_outline_18,3次,DOWAパワーデバイス株式会社,3次|DOWAパワーデバイス株式会社,True,八十二銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_47,3次,INTLOOP株式会社,3次|INTLOOP株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_3,3次,さくら不動産株式会社,3次|さくら不動産株式会社,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_11,3次,たまご＆ファーマーズ株式会社,3次|たまご＆ファーマーズ株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_72,3次,ときわ製作所株式会社,3次|ときわ製作所株式会社,True,伊予銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_104,3次,アイサービス株式会社,3次|アイサービス株式会社,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_31,3次,アトム株式会社,3次|アトム株式会社,True,西日本シティ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_63,3次,エックスサーバー株式会社,3次|エックスサーバー株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_229,3次,オーディエー株式会社,3次|オーディエー株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_46,3次,カンケンテクノ株式会社,3次|カンケンテクノ株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_2,3次,ガイア株式会社,3次|ガイア株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_212,3次,キングパーツ株式会社,3次|キングパーツ株式会社,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_14,3次,スギムラ化学工業株式会社,3次|スギムラ化学工業株式会社,True,あいち銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_66,3次,トクセン工業株式会社,3次|トクセン工業株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_37,3次,ノーラエンジニアリング株式会社,3次|ノーラエンジニアリング株式会社,True,商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_65,3次,ハビックス株式会社,3次|ハビックス株式会社,True,十六銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_82,3次,ハマダレクテック株式会社,3次|ハマダレクテック株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_13,3次,フジセイコー株式会社,3次|フジセイコー株式会社,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_34,3次,フタバ食品株式会社,3次|フタバ食品株式会社,True,群馬銀行、足利銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_103,3次,ベストアメニティ株式会社,3次|ベストアメニティ株式会社,True,福岡銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_98,3次,ホーコス株式会社,3次|ホーコス株式会社,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_88,3次,モルツウェル株式会社,3次|モルツウェル株式会社,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_86,3次,ヤマトスチール株式会社,3次|ヤマトスチール株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_68,3次,三友プラントサービス株式会社,3次|三友プラントサービス株式会社,True,横浜銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_185,3次,三日月興業株式会社,3次|三日月興業株式会社,True,千葉銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_42,3次,中央製乳株式会社,3次|中央製乳株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_216,3次,中本Fine Pack株式会社,3次|中本FinePack株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_97,3次,中村土建株式会社,3次|中村土建株式会社,True,足利銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_190,3次,伊藤光学工業株式会社,3次|伊藤光学工業株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_21,3次,健栄製薬株式会社,3次|健栄製薬株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_205,3次,八戸酒造株式会社,3次|八戸酒造株式会社,True,青森みちのく銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_89,3次,北海道乳業株式会社,3次|北海道乳業株式会社,True,横浜銀行、きらぼし銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_67,3次,千代田空調機器株式会社,3次|千代田空調機器株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_39,3次,名古屋東部陸運株式会社,3次|名古屋東部陸運株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_22,3次,味覚糖株式会社,3次|味覚糖株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_79,3次,大京株式会社,3次|大京株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_23,3次,大和鋼業株式会社,3次|大和鋼業株式会社,True,りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_5,3次,奥長良川名水株式会社,3次|奥長良川名水株式会社,True,十六銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_110,3次,学校法人花沢学園,3次|学校法人花沢学園,True,千葉興業銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_101,3次,安藤パラケミー株式会社,3次|安藤パラケミー株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_95,3次,山崎商事運輸株式会社,3次|山崎商事運輸株式会社,True,商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,True
s2_outline_58,3次,巴工業株式会社,3次|巴工業株式会社,True,みずほ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_234,3次,日本エア・リキード合同会社,3次|日本エア・リキード合同会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_17,3次,日生流通運輸倉庫株式会社,3次|日生流通運輸倉庫株式会社,True,埼玉りそな銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_215,3次,昭和化工株式会社,3次|昭和化工株式会社,True,三井住友銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_90,3次,有価物回収協業組合　石坂グループ,3次|有価物回収協業組合石坂グループ,True,肥後銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_51,3次,有楽製菓株式会社,3次|有楽製菓株式会社,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_25,3次,有限会社ホテル十勝屋,3次|有限会社ホテル十勝屋,True,帯広信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_93,3次,東亜工業株式会社,3次|東亜工業株式会社,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_81,3次,東亜薬品株式会社,3次|東亜薬品株式会社,True,北陸銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_123,3次,東洋ケアサービス株式会社,3次|東洋ケアサービス株式会社,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_30,3次,東洋スクリーン工業株式会社,3次|東洋スクリーン工業株式会社,True,南都銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_69,3次,松村フーズ株式会社,3次|松村フーズ株式会社,True,群馬銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_173,3次,栄屋乳業株式会社,3次|栄屋乳業株式会社,True,名古屋銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_214,3次,株式会社 八天堂,3次|株式会社八天堂,True,広島銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_52,3次,株式会社GYXUS,3次|株式会社GYXUS,True,商工組合中央金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_186,3次,株式会社PXP,3次|株式会社PXP,False,,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_77,3次,株式会社やまみ,3次|株式会社やまみ,True,三菱UFJ銀行,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
s2_outline_44,3次,株式会社アヤボ,3次|株式会社アヤボ,True,碧海信用金庫,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,False
