case_id,round,company,is_clean,current9_observed_n,current9_below_n,current9_below_share,current9_flag,directional8_no13_observed_n,directional8_no13_below_n,directional8_no13_below_share,directional8_no13_flag,without_no8_observed_n,without_no8_below_n,without_no8_below_share,without_no8_flag,without_no14_observed_n,without_no14_below_n,without_no14_below_share,without_no14_flag,old7_no8_no14_observed_n,old7_no8_no14_below_n,old7_no8_no14_below_share,old7_no8_no14_flag,no8_no13_no14_observed_n,no8_no13_no14_below_n,no8_no13_no14_below_share,no8_no13_no14_flag,direct_or_near_direct5_observed_n,direct_or_near_direct5_below_n,direct_or_near_direct5_below_share,direct_or_near_direct5_flag,direct_comparable3_observed_n,direct_comparable3_below_n,direct_comparable3_below_share,direct_comparable3_flag
s1_outline__181,2次,株式会社ホテルニューアワジ,True,8,5.0,0.625,True,7,5.0,0.7142857142857143,True,7,5.0,0.7142857142857143,True,7,4.0,0.5714285714285714,False,6,4.0,0.6666666666666666,True,5,4.0,0.8,True,4,3.0,0.75,True,3,3.0,1.0,True
s1_outline__195,2次,アシザワ・ファインテック株式会社,True,8,4.0,0.5,False,7,4.0,0.5714285714285714,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline__196,1次,株式会社八立製作所,True,8,3.0,0.375,False,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,3,1.0,0.3333333333333333,False
s2_outline_99,3次,株式会社シュゼット・ホールディングス,False,6,5.0,0.8333333333333334,True,5,5.0,1.0,True,5,4.0,0.8,True,5,4.0,0.8,True,4,3.0,0.75,False,3,3.0,1.0,False,2,2.0,1.0,False,2,2.0,1.0,False
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,False,6,2.0,0.3333333333333333,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,5,1.0,0.2,False,4,1.0,0.25,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False,3,1.0,0.3333333333333333,False
s2_outline_24,3次,高知食糧株式会社,False,8,6.0,0.75,True,8,6.0,0.75,True,7,5.0,0.7142857142857143,True,7,5.0,0.7142857142857143,True,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,3,2.0,0.6666666666666666,True
s2_outline_149,4次,株式会社サン海苔,True,8,6.0,0.75,True,8,6.0,0.75,True,7,5.0,0.7142857142857143,True,7,5.0,0.7142857142857143,True,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,3,2.0,0.6666666666666666,True
s2_outline_172,4次,株式会社環境整備産業,True,8,6.0,0.75,True,8,6.0,0.75,True,7,5.0,0.7142857142857143,True,7,5.0,0.7142857142857143,True,6,4.0,0.6666666666666666,True,6,4.0,0.6666666666666666,True,5,3.0,0.6,True,3,1.0,0.3333333333333333,False
s1_outline_27,1次,株式会社クラタ,True,8,1.0,0.125,False,7,0.0,0.0,False,7,1.0,0.14285714285714285,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,5,0.0,0.0,False,4,0.0,0.0,False,3,0.0,0.0,False
s1_outline_39,1次,株式会社ハウゼコ,True,8,3.0,0.375,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,7,3.0,0.42857142857142855,False,6,3.0,0.5,False,5,2.0,0.4,False,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_49,1次,株式会社ＡＫシステム,True,8,3.0,0.375,False,7,3.0,0.42857142857142855,False,7,2.0,0.2857142857142857,False,7,3.0,0.42857142857142855,False,6,2.0,0.3333333333333333,False,5,2.0,0.4,False,4,2.0,0.5,False,3,1.0,0.3333333333333333,False
s1_outline_63,1次,株式会社オティックスホールディングス,True,8,5.0,0.625,True,7,5.0,0.7142857142857143,True,7,4.0,0.5714285714285714,False,7,4.0,0.5714285714285714,False,6,3.0,0.5,False,5,3.0,0.6,True,4,2.0,0.5,False,3,2.0,0.6666666666666666,True
s1_outline_164,1次,株式会社福砂屋グループ,False,8,2.0,0.25,False,7,2.0,0.2857142857142857,False,7,2.0,0.2857142857142857,False,7,1.0,0.14285714285714285,False,6,1.0,0.16666666666666666,False,5,1.0,0.2,False,4,1.0,0.25,False,3,1.0,0.3333333333333333,False
