metric_set,scope,metric_nos,metric_count,min_observed,below_share_threshold,definition,eligible_n,flag_n,flag_pct_of_eligible,overlap_with_current9_n,current9_only_n,alternative_only_n,jaccard_with_current9
current9,all,"1,2,7,8,9,10,11,13,14",9,5,0.6,現行9指標、観測5以上、申請者中央値未満60%以上,373,28,7.506702412868632,28,0,0,1.0
current9,clean,"1,2,7,8,9,10,11,13,14",9,5,0.6,現行9指標、観測5以上、申請者中央値未満60%以上,199,16,8.040201005025125,16,0,0,1.0
directional8_no13,all,"1,2,7,8,9,10,11,14",8,5,0.6,方向が一意でないNo.13を除外,371,30,8.086253369272237,28,0,2,0.9333333333333333
directional8_no13,clean,"1,2,7,8,9,10,11,14",8,5,0.6,方向が一意でないNo.13を除外,198,17,8.585858585858587,16,0,1,0.9411764705882353
without_no8,all,"1,2,7,9,10,11,13,14",8,5,0.6,簡易補正推計No.8を除外,364,28,7.6923076923076925,19,9,9,0.5135135135135135
without_no8,clean,"1,2,7,9,10,11,13,14",8,5,0.6,簡易補正推計No.8を除外,195,13,6.666666666666667,11,5,2,0.6111111111111112
without_no14,all,"1,2,7,8,9,10,11,13",8,5,0.6,粗近似比率No.14を除外,364,26,7.142857142857143,18,10,8,0.5
without_no14,clean,"1,2,7,8,9,10,11,13",8,5,0.6,粗近似比率No.14を除外,195,14,7.17948717948718,10,6,4,0.5
old7_no8_no14,all,"1,2,7,9,10,11,13",7,5,0.6,No.8・14追加前の7指標,324,30,9.25925925925926,15,13,15,0.3488372093023256
old7_no8_no14,clean,"1,2,7,9,10,11,13",7,5,0.6,No.8・14追加前の7指標,177,20,11.299435028248588,11,5,9,0.44
no8_no13_no14,all,"1,2,7,9,10,11",6,5,0.6,No.8・13・14を除外,297,33,11.11111111111111,20,8,13,0.4878048780487805
no8_no13_no14,clean,"1,2,7,9,10,11",6,5,0.6,No.8・13・14を除外,161,19,11.801242236024844,13,3,6,0.5909090909090909
direct_or_near_direct5,all,"1,2,7,9,11",5,4,0.6,PDF直書き又は基礎値からほぼ直接求める5指標、観測4以上,300,37,12.333333333333334,13,15,24,0.25
direct_or_near_direct5,clean,"1,2,7,9,11",5,4,0.6,PDF直書き又は基礎値からほぼ直接求める5指標、観測4以上,162,24,14.814814814814815,10,6,14,0.3333333333333333
direct_comparable3,all,"7,9,11",3,3,0.6666666666666666,公式定義との比較可能性が相対的に高い率3指標、3指標中2以上,309,83,26.86084142394822,15,13,68,0.15625
direct_comparable3,clean,"7,9,11",3,3,0.6666666666666666,公式定義との比較可能性が相対的に高い率3指標、3指標中2以上,161,50,31.055900621118013,11,5,39,0.2
