feature_family,feature,label,transformation_for_adjustment,core_n,other_n,core_mean_or_share,other_mean_or_share,core_median,other_median,round_adjusted_mean_difference,round_adjusted_standardized_difference,round_stratified_permutation_p,permutations,seed,bh_q_within_all_features
structure,has_consortium,共同申請・コンソーシアム,round_zscore,28,345,0.25,0.028985507246376812,0.0,0.0,0.9403472430797619,0.6195051281871548,0.00024998750062496874,20000,20261619,0.00974951252437378
structure,has_multiple_investments,複数投資案件,round_zscore,28,345,0.07142857142857142,0.020289855072463767,0.0,0.0,0.2441492495881828,0.21296644726808373,0.0903954802259887,20000,20261619,0.2848357582120894
geography,project_location_count,事業実施県・場所数,log1p_then_round_zscore,28,345,1.5714285714285714,1.472463768115942,1.0,1.0,0.11954866808053417,0.11186144585542565,0.5319234038298085,20000,20261619,0.9153520584840322
geography,head_office_project_same_prefecture,本社と事業実施場所が同一都道府県,round_zscore,28,345,0.8571428571428571,0.6231884057971014,1.0,1.0,0.47828450379846854,0.5403665497240858,0.017699115044247787,20000,20261619,0.13805309734513274
scale,baseline_sales_oku,基準売上高（億円）,log1p_then_round_zscore,10,167,138.81834817799998,162.85113743492096,65.71174089,85.7,-0.2206017849105885,-0.21460947928017493,0.46352682365881703,20000,20261619,0.8608355296520888
scale,employees_base,基準従業員数,log1p_then_round_zscore,28,343,135.35714285714286,217.85102040816324,78.0,135.0,-0.3744318312387373,-0.4125478391577953,0.0528473576321184,20000,20261619,0.22638368081595922
scale,project_cost_oku,事業費（億円）,log1p_then_round_zscore,28,345,48.08142857142857,47.43446486956522,26.0,33.04,-0.05097205415463755,-0.046721750087065125,0.791910404479776,20000,20261619,1.0
scale,investment_sales_ratio_pct,事業費／基準売上高（%）,log1p_then_round_zscore,10,167,126.29988114870204,212.47309758688706,126.7703189426164,42.89946777847787,0.6031038377912806,0.6476282790158957,0.04699765011749413,20000,20261619,0.22638368081595922
scale,subsidy_rate_pct,補助率（%）,round_zscore,28,345,28.10984285714286,28.38420115942029,29.02735,30.303,-0.02960263581640396,-0.03194936850559765,0.8755562221888905,20000,20261619,1.0
categorical,industry=サービス業_他に分類されないもの,業種：サービス業_他に分類されないもの,round_zscore,28,345,0.07142857142857142,0.034782608695652174,0.0,0.0,0.25360818925853507,0.19853533261352801,0.09389530523473827,20000,20261619,0.2848357582120894
