case_id,company,round_original,application_round,round_changed,old_core29,new_core28,membership_change
s1_outline__181,株式会社ホテルニューアワジ,2次,2次,False,True,True,unchanged
s1_outline__195,アシザワ・ファインテック株式会社,2次,2次,False,False,False,unchanged
s1_outline__196,株式会社八立製作所,2次,1次,True,True,False,removed_after_round_correction
s2_outline_99,株式会社シュゼット・ホールディングス,3次,3次,False,True,True,unchanged
s2_outline_128,株式会社タカラ倉庫運輸サービス,3次,3次,False,False,False,unchanged
s2_outline_24,高知食糧株式会社,3次,3次,False,True,True,unchanged
s2_outline_149,株式会社サン海苔,4次,4次,False,True,True,unchanged
s2_outline_172,株式会社環境整備産業,4次,4次,False,True,True,unchanged
s1_outline_27,株式会社クラタ,1次,1次,False,False,False,unchanged
s1_outline_39,株式会社ハウゼコ,1次,1次,False,False,False,unchanged
s1_outline_49,株式会社ＡＫシステム,1次,1次,False,False,False,unchanged
s1_outline_63,株式会社オティックスホールディングス,1次,1次,False,True,True,unchanged
s1_outline_164,株式会社福砂屋グループ,1次,1次,False,False,False,unchanged
s2_outline_145,株式会社シャノワール,4次,4次,False,False,False,unchanged
s1_outline__179,アサヒセイレン中部株式会社,2次,1次,True,True,False,removed_after_round_correction
s1_outline__200,株式会社イズミテクノ,2次,1次,True,False,False,unchanged
s1_outline_40,千代田鋼鉄工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_45,山本ビニター株式会社,1次,1次,False,False,False,unchanged
s1_outline_47,ポーライト株式会社,1次,1次,False,False,False,unchanged
s1_outline_66,株式会社アルプスツール,1次,1次,False,False,False,unchanged
s1_outline_102,冬木工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_103,オーケー化成株式会社,1次,1次,False,False,False,unchanged
s2_outline_15,賀谷セロファン株式会社,3次,3次,False,False,False,unchanged
s2_outline_30,東洋スクリーン工業株式会社,3次,3次,False,False,False,unchanged
s2_outline_83,株式会社キド,3次,3次,False,False,False,unchanged
s2_outline_95,山崎商事運輸株式会社,3次,3次,False,True,True,unchanged
s2_outline_110,学校法人花沢学園,3次,3次,False,False,False,unchanged
s2_outline_155,信和化工株式会社,4次,4次,False,False,False,unchanged
s2_outline_164,株式会社東豊精工,4次,4次,False,False,False,unchanged
s2_outline_192,フクビ岡山株式会社,4次,4次,False,True,True,unchanged
s2_outline_228,株式会社ベネフル,4次,4次,False,False,False,unchanged
s1_outline_20,エスティケイテクノロジー株式会社,1次,1次,False,False,False,unchanged
s1_outline_35,イグス株式会社,1次,1次,False,False,False,unchanged
s1_outline_52,株式会社平島,1次,1次,False,False,False,unchanged
s1_outline_53,マルコーフーズ株式会社,1次,1次,False,False,False,unchanged
s1_outline_96,大岡技研株式会社,1次,1次,False,False,False,unchanged
s2_outline_35,株式会社北海道ちぬやファーム,3次,3次,False,True,True,unchanged
s2_outline_195,株式会社レクザム,4次,4次,False,True,True,unchanged
s2_outline_232,株式会社モリシタ,3次,3次,False,True,True,unchanged
s2_outline_27,株式会社ライト製作所,3次,3次,False,False,False,unchanged
s1_outline_58,三晶エムイーシー株式会社,1次,1次,False,False,False,unchanged
s1_outline_77,千寿製薬株式会社,1次,1次,False,True,True,unchanged
s1_outline_70,協和工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_76,安田工業株式会社,1次,1次,False,False,False,unchanged
s2_outline_134,池田薬品工業株式会社,4次,4次,False,False,False,unchanged
s2_outline_135,株式会社リバイト,4次,4次,False,False,False,unchanged
s2_outline_136,木本製菓株式会社,4次,4次,False,False,False,unchanged
s2_outline_168,明和工業株式会社,4次,4次,False,True,True,unchanged
s2_outline_175,化成工業株式会社,4次,4次,False,False,False,unchanged
s2_outline_221,株式会社ニシムタ,4次,4次,False,True,True,unchanged
s1_outline_31,鎌長製衡株式会社,1次,1次,False,False,False,unchanged
s1_outline_78,環境のミカタ株式会社,1次,1次,False,False,False,unchanged
s2_outline_44,株式会社アヤボ,3次,3次,False,False,False,unchanged
s2_outline_115,株式会社コスモス食品,4次,4次,False,True,True,unchanged
s2_outline_121,株式会社ヤマキ食品,4次,4次,False,True,True,unchanged
s2_outline_159,株式会社　ファーストライン,4次,4次,False,True,True,unchanged
s2_outline_210,南島酒販株式会社,4次,4次,False,True,True,unchanged
s1_outline__190,株式会社GOTENリゾート,2次,2次,False,False,False,unchanged
s1_outline_32,オリヒロエンジニアリング株式会社,1次,1次,False,False,False,unchanged
s1_outline_41,株式会社ビッグハウス,1次,1次,False,False,False,unchanged
s1_outline_75,株式会社伝食,1次,1次,False,False,False,unchanged
s1_outline_80,寧薬化学工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_82,サン工業株式会社,1次,1次,False,False,False,unchanged
s1_outline_104,ヤマダイ株式会社,1次,1次,False,False,False,unchanged
s1_outline_156,株式会社ダイセイ,1次,2次,True,False,False,unchanged
s1_outline_159,浦島観光ホテル株式会社,1次,2次,True,False,True,added_after_round_correction
s2_outline_68,三友プラントサービス株式会社,3次,3次,False,False,False,unchanged
s2_outline_137,株式会社　博多屋,4次,4次,False,True,True,unchanged
s2_outline_171,オギハラ食品株式会社,4次,4次,False,True,True,unchanged
s2_outline_205,八戸酒造株式会社,3次,3次,False,True,True,unchanged
s2_outline_212,キングパーツ株式会社,3次,3次,False,False,False,unchanged
s2_outline_218,株式会社エム・ケー・ケー,4次,4次,False,True,True,unchanged
s1_outline__199,株式会社ティー・シー・ピー,2次,2次,False,False,False,unchanged
s1_outline_8,サムテック株式会社,1次,1次,False,False,False,unchanged
s1_outline_46,株式会社アイスコ,1次,1次,False,False,False,unchanged
s1_outline_81,デーバー加工サービス㈱,1次,1次,False,False,False,unchanged
