feature,threshold,core28_n,core28_pct
demand,>=1,28,100.0
demand,>=2,27,96.4
demand,>=3,10,35.7
capacity_constraint,>=1,28,100.0
capacity_constraint,>=2,27,96.4
capacity_constraint,>=3,16,57.1
business_transformation,>=1,28,100.0
business_transformation,>=2,28,100.0
business_transformation,>=3,22,78.6
regional_supply_chain,>=1,28,100.0
regional_supply_chain,>=2,28,100.0
regional_supply_chain,>=3,19,67.9
policy_fit,>=1,28,100.0
policy_fit,>=2,28,100.0
policy_fit,>=3,23,82.1
execution_finance,>=1,28,100.0
execution_finance,>=2,28,100.0
execution_finance,>=3,28,100.0
crisis_or_succession,>=1,17,60.7
crisis_or_succession,>=2,8,28.6
crisis_or_succession,>=3,3,10.7
external_validation,>=1,28,100.0
external_validation,>=2,28,100.0
external_validation,>=3,25,89.3
