case_id,company,population,application_round,identity_check,fact_n,unique_url_n,pre_or_contemporaneous_n,post_adoption_n,undated_n,primary_source_n,score_total,strong_feature_n,demand,capacity_constraint,business_transformation,regional_supply_chain,policy_fit,execution_finance,crisis_or_succession,external_validation,plausible_reason,counterevidence,confidence,research_gaps
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,補助事業PDFの西尾市、アルミニウム二次合金、国内サプライチェーン強靱化、将来の北陸新会社との共同申請という記載を、会社設備情報、経済産業局資料、愛知県の土地売買、廃棄物計画及び1次採択一覧と照合した。保存データの2次表記は1次へ補正した。,5,5,2,2,1,5,19,7,2,2,3,3,3,3,0,3,"アルミスクラップを自動車・圧延用途の二次合金へ戻す国内循環拠点は、資源循環、GX、輸入依存低減及び自動車供給網強靱化を同時に説明できる。既存月3,000トン操業、独自ドロス再資源化、共同申請、銀行確認に加え、採択後の6.7ha用地取得が実行力を間接的に裏付ける。",用地取得は採択後で、申請時に売買予約や許認可がどこまで進んでいたか不明である。公開PDFの新設北陸会社と、愛知県が公表した中部会社の新工場との対象範囲が完全に一致するか確認を要する。廃棄物・大気排出、巨額投資、原料確保のリスクも大きい。,Medium,富山側拠点と愛知側新工場の関係、北陸新会社の設立・法人番号、原料供給契約、顧客オフテイク、環境アセス・炉許可、補助対象資産の所在は未確認。
s1_outline_77,千寿製薬株式会社,core28,1次,補助事業PDFの申請者名、唐津工場、眼科用医薬品の増産計画を、唐津市の立地協定資料および千寿製薬公式サイトの会社・生産情報と照合した。,4,4,3,0,1,4,19,7,3,3,2,2,3,3,0,3,公開PDFの数量計画に加え、自治体立地協定で投資額・雇用・稼働時期が裏付けられ、規制産業である点眼剤の供給能力増強として実行確度と社会的供給価値が高かった可能性がある。,外部資料では顧客別の発注書や製品別不足量までは確認できず、需要の強さの大半は補助事業PDFの予測に依存する。えるぼし認定が実際に加点申告されたかも非公開である。,High,新製品ごとの承認時期、顧客契約、既存ラインの実稼働率、金融機関確認書の評価内容は未確認。
s1_outline_63,株式会社オティックスホールディングス,core28,1次,補助事業PDFのオティックス西尾との共同申請、西浅井地区、電動車部品計画を、オティックス公式サイト、愛知県・西尾市資料および公式採択一覧と照合した。,5,5,4,0,1,5,23,8,3,3,3,3,3,3,2,3,内燃機関部品から電動車部品への転換が補助申請前から自治体資料で具体化し、一貫開発・量産能力、地域未来牽引企業、取引適正化宣言、地元金融機関確認が重なっていた。産業転換と地域サプライチェーン維持を同時に説明できる案件だった可能性が高い。,外部公開資料からは受注数量・顧客契約・採算性を直接確認できない。認定・宣言が実際の審査でどの程度寄与したかは不明。,High,電動車部品の顧客別内示、既存第1工場の稼働率、第2工場投資の自己資金・融資条件は未確認。
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,補助事業PDFの大阪本社、建設機械用板金、鳥取拠点、ブラケットという記載を、会社公式サイト、鳥取県・鳥取市の企業誘致資料及び1次採択一覧と照合した。保存データの2次表記は公式一覧により1次へ補正した。,4,4,2,0,2,4,18,7,3,2,2,3,2,3,0,3,補助事業PDFのコマツ大阪工場向けブラケット約80%シェアと増産要請が事実なら、代替困難な国内建機サプライヤーの供給能力・品質を守る投資である。鳥取への誘致経緯にリスク分散と量産機能が明示され、銀行確認もあり、成長率中央値より顧客固有性と供給網強靱化が重視された可能性がある。,80%シェア、顧客の増産要請及び能力不足量は外部公開資料で確認できず、核心は補助事業PDFの自己申告に依存する。鳥取進出資料は2014年で、今回投資との時間差が大きい。現行サイトにパートナーシップ構築宣言へのリンクはあるが、1次公募開始時点での登録日は確認できない。,Medium,コマツ又は一次サプライヤーの発注内示、現行の鳥取・大阪工場分担、塗装工程の外注費・リードタイム、宣言日、設備発注は未確認。
s1_outline_50,株式会社松尾製作所,core28,1次,同名の京都企業ではなく、愛知県大府市に本社を置く自動車部品メーカーであることを、補助事業PDFの所在地・事業内容と公式会社概要・製品ページで照合した。,4,4,3,0,1,4,20,7,2,3,3,2,3,3,1,3,EV部品を単品でなくユニット化して供給する技術基盤と、M&Aによる機能拡張が既にあり、公開PDFの59品番・複雑工程対応という計画を実行できる蓋然性が高い。自動車産業の電動化転換と雇用・女性活躍の政策適合も補強材料になり得る。,外部資料では59品番の顧客内示や量産開始時期を独立確認できず、需要の核心は補助事業PDFに依存する。,Medium,顧客名、量産契約、専用ラインの稼働率、えるぼし等の加点申告有無は未確認。
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,補助事業PDFのホテルニューアワジ・あわじ浜離宮共同申請、淡路島の2リゾート計画を、企業公式プロフィール、兵庫県資料、2次公募採択一覧と照合した。,4,4,2,1,1,4,20,7,2,2,3,3,3,3,1,3,淡路島の地域観光・一次産業と接続する高付加価値インバウンド施設であり、既存19ブランド運営、人材住宅・保育・育成、複数金融機関の確認、政策認証の蓄積が計画実行力を補強した可能性がある。,客室単価・稼働率の目標は補助事業PDF中心で、外部の予約契約や需要調査は確認できない。認証の列挙は申請者自身の記載であり、実際の加点項目・申告状況は公開されていない。,Medium,2施設の建築許認可、用地権利、海外販売チャネル契約、自治体との具体的連携協定は未確認。
s1_outline_159,浦島観光ホテル株式会社,core28,2次,当初データ上の回次ではなく、2次公募公式採択一覧と公開PDFの共同申請者（丸峰観光ホテル、みちのりホテルズ）で2次案件と確認した。企業法人番号、和歌山県那智勝浦町の所在地もGビズインフォと一致する。,4,4,3,1,0,4,23,8,2,3,3,3,3,3,3,3,老朽施設と人手制約を抱える地域の基幹ホテル群に対し、JPiXの長期資本、共同申請、地域未来牽引企業、地銀確認を組み合わせた事業承継・生産性改革である。単純な宿泊設備更新より、地域観光インフラ再生として評価された可能性がある。,採択後の官民連携フォーラムでの説明は結果検証には使えるが、採択時評価の直接証拠ではない。インバウンド需要や改修後の収益性は公開情報だけでは十分検証できない。,High,JPiXの投資条件、各ホテルの施設別収益、工事許認可、共同申請各社の役割分担の詳細は未確認。
s2_outline_72,ときわ製作所株式会社,core28,3次,補助事業PDFの岡山県倉敷市、農業機械部品、旧大企業工場跡地を活用する統合工場計画を、公式会社・製品情報と岡山県の地域経済牽引事業計画資料で照合した。,4,4,3,0,1,4,21,7,2,3,3,3,3,3,1,3,分散4拠点の統合という能力制約解消、大手農機純正品の重要供給、地域の加工供給者減少への対応、自社製品展開が一つの新拠点計画に統合され、県の地域経済牽引事業計画承認と金融機関確認で実行可能性も補強された可能性が高い。,大手顧客名、増産要請書、受注量は外部資料で確認できず、需要スコアは補助事業PDFへの依存が残る。,High,顧客内示、旧工場跡地取得契約、許認可、各社統合後の生産移管計画は未確認。
s2_outline_205,八戸酒造株式会社,core28,3次,補助事業PDFの八戸市、八仙ブランド、新工場と旧蔵観光転用計画を、八戸酒造公式サイト、八戸市景観・観光資料、公式採択一覧と照合した。,4,4,4,0,0,3,21,7,2,3,3,3,3,3,1,3,新工場による製造ボトルネック解消と、景観重要建造物である旧蔵の観光転用を同時に行い、世界的ブランド評価・輸出支援・地域観光ハブ化を結合した案件である。製造KPIが中央値未満でも、地域文化資産と輸出ブランドの波及効果が評価された可能性がある。,世界酒蔵ランキングは民間評価であり、将来売上を保証しない。輸出商談は契約成立を示すものではなく、観光客増加の因果も未検証。,High,市有地取得契約の最終条件、輸出契約数量、観光転用後の運営主体・収益計画、酒造免許等の移転手続は未確認。
s2_outline_95,山崎商事運輸株式会社,core28,3次,補助事業PDFの愛知県、運送業から3PLへの転換、低温物流センター計画を、公式会社情報、公式採択一覧および採択後の建設・融資公表資料で照合した。,4,4,1,2,1,4,16,6,1,2,3,2,3,3,0,2,運送受託から在庫・倉庫・配送を統合する3PLへの事業モデル転換であり、物流2024年問題に対する共同配送・自動化・低温保管の社会的必要性と整合する。採択後の大型融資組成は、少なくとも事業計画の実行可能性が金融機関にも認められたことを示す。,申請前の独立資料で具体的顧客、入居予約、需要数量を確認できず、採択後の融資・建設を審査理由へ遡及させることはできない。,Medium,アンカーテナント、保管契約、用地取得、稼働率前提、補助申請時の融資コミット内容は未確認。
