pair_index,pair_round,treated_case_id,treated_company,treated_round_original,treated_application_round,treated_pair_round_match,treated_round_source_url,control_case_id,control_company,control_round_original,control_application_round,control_pair_round_match,control_round_source_url,pair_application_round_match,replacement_required,audit_action,audit_reason,original_match_distance,original_industry_exact_match,original_shared_scale_variable_n
1,1次,s1_outline_77,千寿製薬株式会社,1次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,s1_outline__207,株式会社ジェイ・イー・ティ,2次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.6271372129861947,True,3
2,1次,s1_outline_63,株式会社オティックスホールディングス,1次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,s1_outline__179,アサヒセイレン中部株式会社,2次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.9030140922023526,True,3
3,1次,s1_outline_50,株式会社松尾製作所,1次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,s1_outline_87,トーカロ株式会社,1次,1次,true,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.45094708129995964,True,3
4,2次,s1_outline__181,株式会社ホテルニューアワジ,2次,2次,true,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,s1_outline_141,共栄フード株式会社,1次,2次,true,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.7351507119087282,False,4
5,2次,s1_outline_159,浦島観光ホテル株式会社,1次,2次,true,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,1次,2次,true,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.6560229093090789,True,4
6,3次,s2_outline_72,ときわ製作所株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_5,奥長良川名水株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.983425407273608,True,3
7,3次,s2_outline_205,八戸酒造株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_13,フジセイコー株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.5659144590525396,True,4
8,3次,s2_outline_95,山崎商事運輸株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_78,株式会社宮古島の雪塩,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.7985751185132898,False,3
9,3次,s2_outline_99,株式会社シュゼット・ホールディングス,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_68,三友プラントサービス株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.7570268234431508,True,4
10,3次,s2_outline_232,株式会社モリシタ,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_47,INTLOOP株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.8829145751860813,False,3
