round,treated_case_id,treated_company,treated_industry,control_case_id,control_company,control_industry,industry_exact_match,shared_scale_variable_n,match_distance,treated_baseline_sales_oku,control_baseline_sales_oku,treated_project_cost_oku,control_project_cost_oku,treated_subsidy_oku,control_subsidy_oku,treated_employees_base,control_employees_base,treated_round_original,treated_application_round,control_round_original,control_application_round,pair_application_round_match,round_audit_action,round_audit_source_treated,round_audit_source_control
1次,s1_outline_77,千寿製薬株式会社,製造業,s1_outline__207,株式会社ジェイ・イー・ティ,製造業,True,3,0.6271372129861947,,244.0,103.0,115.0,32.0,38.0,109.0,180.0,1次,1次,2次,1次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf
1次,s1_outline_63,株式会社オティックスホールディングス,製造業,s1_outline__179,アサヒセイレン中部株式会社,製造業,True,3,0.9030140922023526,82.0,,166.0,188.0,50.0,50.0,17.0,59.0,1次,1次,2次,1次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf
1次,s1_outline_50,株式会社松尾製作所,製造業,s1_outline_87,トーカロ株式会社,製造業,True,3,0.45094708129995964,,402.0,109.0,112.0,35.0,34.0,1390.0,1124.0,1次,1次,1次,1次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf
2次,s1_outline__181,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,s1_outline_141,共栄フード株式会社,製造業,False,4,0.7351507119087282,67.8,146.7,82.0,98.0,26.0,30.0,126.0,112.0,2次,2次,1次,2次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf
2次,s1_outline_159,浦島観光ホテル株式会社,宿泊業・飲食サービス業,s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,宿泊業・飲食サービス業,True,4,0.6560229093090789,35.3,22.8346,75.9,50.5,14.3,16.8,236.0,70.0,1次,2次,1次,2次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_2ji_tsuika.pdf
3次,s2_outline_72,ときわ製作所株式会社,製造業,s2_outline_5,奥長良川名水株式会社,製造業,True,3,0.983425407273608,,7.98,10.0,12.14665,2.5,3.0,59.0,17.0,3次,3次,3次,3次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
3次,s2_outline_205,八戸酒造株式会社,製造業,s2_outline_13,フジセイコー株式会社,製造業,True,4,0.5659144590525396,9.3,11.8,26.0,16.0,6.5,5.0,36.0,94.0,3次,3次,3次,3次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
3次,s2_outline_95,山崎商事運輸株式会社,運輸業・郵便業,s2_outline_78,株式会社宮古島の雪塩,卸売業・小売業,False,3,0.7985751185132898,,,26.0,25.0,8.5,8.0,92.0,108.0,3次,3次,3次,3次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
3次,s2_outline_99,株式会社シュゼット・ホールディングス,サービス業_他に分類されないもの,s2_outline_68,三友プラントサービス株式会社,サービス業_他に分類されないもの,True,4,0.7570268234431508,162.1,82.0,104.0,64.0,34.0,19.0,84.0,237.0,3次,3次,3次,3次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
3次,s2_outline_232,株式会社モリシタ,卸売業・小売業,s2_outline_47,INTLOOP株式会社,学術研究・専門・技術サービス業,False,3,0.8829145751860813,,271.0,18.0,15.0,4.4,5.1,21.0,21.0,3次,3次,3次,3次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
