round,treated_case_id,treated_company,control_case_id,control_company,treated_demand,control_demand,diff_demand,treated_capacity_constraint,control_capacity_constraint,diff_capacity_constraint,treated_business_transformation,control_business_transformation,diff_business_transformation,treated_regional_supply_chain,control_regional_supply_chain,diff_regional_supply_chain,treated_policy_fit,control_policy_fit,diff_policy_fit,treated_execution_finance,control_execution_finance,diff_execution_finance,treated_crisis_or_succession,control_crisis_or_succession,diff_crisis_or_succession,treated_external_validation,control_external_validation,diff_external_validation
1次,s1_outline_77,千寿製薬株式会社,s1_outline__207,株式会社ジェイ・イー・ティ,3,3,0,3,3,0,2,3,-1,2,2,0,3,3,0,3,3,0,0,1,-1,3,3,0
1次,s1_outline_63,株式会社オティックスホールディングス,s1_outline__179,アサヒセイレン中部株式会社,3,2,1,3,2,1,3,3,0,3,3,0,3,3,0,3,3,0,2,0,2,3,3,0
1次,s1_outline_50,株式会社松尾製作所,s1_outline_87,トーカロ株式会社,2,3,-1,3,3,0,3,2,1,2,2,0,3,3,0,3,3,0,1,0,1,3,3,0
2次,s1_outline__181,株式会社ホテルニューアワジ,s1_outline_141,共栄フード株式会社,2,3,-1,2,3,-1,3,2,1,3,2,1,3,2,1,3,3,0,1,0,1,3,2,1
2次,s1_outline_159,浦島観光ホテル株式会社,s1_outline_174,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,2,2,0,3,2,1,3,3,0,3,3,0,3,3,0,3,3,0,3,2,1,3,2,1
3次,s2_outline_72,ときわ製作所株式会社,s2_outline_5,奥長良川名水株式会社,2,3,-1,3,3,0,3,2,1,3,3,0,3,3,0,3,3,0,1,1,0,3,3,0
3次,s2_outline_205,八戸酒造株式会社,s2_outline_13,フジセイコー株式会社,2,2,0,3,3,0,3,2,1,3,2,1,3,3,0,3,2,1,1,0,1,3,2,1
3次,s2_outline_95,山崎商事運輸株式会社,s2_outline_78,株式会社宮古島の雪塩,1,3,-2,2,3,-1,3,3,0,2,3,-1,3,3,0,3,3,0,0,2,-2,2,3,-1
3次,s2_outline_99,株式会社シュゼット・ホールディングス,s2_outline_68,三友プラントサービス株式会社,3,2,1,3,3,0,2,3,-1,2,3,-1,2,3,-1,3,3,0,2,2,0,3,3,0
3次,s2_outline_232,株式会社モリシタ,s2_outline_47,INTLOOP株式会社,2,3,-1,2,2,0,3,3,0,2,2,0,2,3,-1,3,3,0,0,0,0,3,3,0
