feature,core28_n,core28_pct,meaning
financial_confirmation,28,100.0,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
regional_future_company,6,21.4,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
regional_economic_plan,1,3.6,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
partnership_declaration,6,21.4,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
eruboshi,3,10.7,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
kurumin,0,0.0,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
health_management,0,0.0,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
location_agreement_or_public_commitment,1,3.6,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
equity_or_succession_investor,3,10.7,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
other_participant_confirmed,8,28.6,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
has_consortium_in_cases,7,25.0,公開事実で確認。申請時の加点申告又は審査寄与を意味しない
