feature,threshold,target_n,target_pct,control_n,control_pct,difference_pct_point,odds_ratio_haldane,fisher_two_sided_p,fisher_bh_q_24tests
demand,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
demand,>=2,27,96.4,27,96.4,0.0,1.0,1.0,1.0
demand,>=3,10,35.7,13,46.4,-10.7,0.652,0.587483,1.0
capacity_constraint,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
capacity_constraint,>=2,27,96.4,26,92.9,3.6,1.73,1.0,1.0
capacity_constraint,>=3,16,57.1,12,42.9,14.3,1.742,0.423016,1.0
business_transformation,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
business_transformation,>=2,28,100.0,28,100.0,0.0,1.0,1.0,1.0
business_transformation,>=3,22,78.6,20,71.4,7.1,1.435,0.758481,1.0
regional_supply_chain,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
regional_supply_chain,>=2,28,100.0,27,96.4,3.6,3.109,1.0,1.0
regional_supply_chain,>=3,19,67.9,13,46.4,21.4,2.357,0.176476,1.0
policy_fit,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
policy_fit,>=2,28,100.0,28,100.0,0.0,1.0,1.0,1.0
policy_fit,>=3,23,82.1,18,64.3,17.9,2.425,0.226958,1.0
execution_finance,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
execution_finance,>=2,28,100.0,28,100.0,0.0,1.0,1.0,1.0
execution_finance,>=3,28,100.0,26,92.9,7.1,5.377,0.490909,1.0
crisis_or_succession,>=1,17,60.7,18,64.3,-3.6,0.864,1.0,1.0
crisis_or_succession,>=2,8,28.6,7,25.0,3.6,1.189,1.0,1.0
crisis_or_succession,>=3,3,10.7,0,0.0,10.7,7.824,0.236364,1.0
external_validation,>=1,28,100.0,28,100.0,0.0,1.0,1.0,1.0
external_validation,>=2,28,100.0,28,100.0,0.0,1.0,1.0,1.0
external_validation,>=3,25,89.3,22,78.6,10.7,2.105,0.468772,1.0
