case_id,company,population,application_round,fact_no,claim,timing,source_title,url,source_type,published_at
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,1,"アサヒセイレン中部は既存工場でアルミニウム合金地金を月3,000トン生産し、40トン・25トン反射炉、保持炉、回転炉、分析設備を保有する。既存の大規模アルミ再生操業基盤がある。",undated,アサヒセイレン中部 会社・設備紹介,https://www.asahiseiren.com/company/group/chubu/,company,unknown
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,2,近畿経済産業局資料は、グループが多様なアルミスクラップを原料化し、アルミドロスをアルミ分と灰に分離して再資源化する循環型モデルを構築し、自動車部品・鉄鋼メーカーを顧客層とすることを紹介している。,pre_or_contemporaneous,関西企業フロントライン アサヒセイレン株式会社,https://www.kansai.meti.go.jp/2kokuji/glocal_PT/catalog/sheet/57_asahi_seiren_j.pdf,government,unknown
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,3,愛知県は2024年12月、アサヒセイレン中部が約6.7ha・約27.4億円の工業用地を取得し、アルミニウム二次合金工場を建設する計画を公表した。採択後の情報だが、巨額用地取得により投資実行を裏付ける。,post_adoption,幸田須美地区工業用地への企業立地について,https://www.pref.aichi.jp/soshiki/kigyo-yuuchi/koutasumi-3.html,government,2024-12-11
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,4,2024年6月提出の特別管理産業廃棄物処理計画は、既存西尾工場の製造品出荷額約87.6億円、従業員64人、有害ばいじん145トン、スクラップ選別・集塵灰再利用の改善を記載する。規制対応を伴う操業能力と環境負荷の双方が確認できる。,post_adoption,特別管理産業廃棄物処理計画書 アサヒセイレン中部,https://kankyojoho.pref.aichi.jp/junkan/R6todokede/nishimikawa/06n015b.pdf,government,2024-06-25
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,5,1次公募の公式採択一覧はアサヒセイレン北陸（新設）との共同申請と、金融機関確認書提出先として三井住友銀行を掲載している。,pre_or_contemporaneous,中堅・中小成長投資補助金 1次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf?260107=,government,2024
s1_outline_77,千寿製薬株式会社,core28,1次,1,唐津市は2024年5月23日に千寿製薬と立地協定を締結した。公表値は投資額117.1億円、地元新規雇用28人・配置転換2人、操業開始予定2027年1月であり、用地・投資・雇用・工程が自治体資料で具体化している。,pre_or_contemporaneous,千寿製薬株式会社と立地協定を締結しました,https://www.city.karatsu.lg.jp/page/1966.html,government,2024-05-23
s1_outline_77,千寿製薬株式会社,core28,1次,2,同社は点眼剤に注射剤並みの高度な品質管理が必要であると説明し、品質保証と安定供給を生産体制の中核に置いている。一般製造業より設備・バリデーション面の参入障壁が高いことを示す。,undated,生産体制｜千寿製薬,https://www.senju.co.jp/about/rp/production.html,company,unknown
s1_outline_77,千寿製薬株式会社,core28,1次,3,千寿製薬は2017年10月に女性活躍推進法のえるぼし3つ星認定を取得している。1次公募時点より前の公的認定である。,pre_or_contemporaneous,従業員とともに｜千寿製薬,https://www.senju.co.jp/about/csr/together.html,company,2017-10
s1_outline_77,千寿製薬株式会社,core28,1次,4,1次公募の公式採択一覧には金融機関確認書提出先として三菱UFJ銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 1次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,government,2024
s1_outline_63,株式会社オティックスホールディングス,core28,1次,1,愛知県知事会見は2023年7月、オティックスが西尾市で電動車向けアルミダイカスト部品工場を計画していることを公表している。補助申請前から投資対象と電動化用途が外部に示されていた。,pre_or_contemporaneous,愛知県知事記者会見 2023年7月31日,https://www.pref.aichi.jp/site/chiji-kaiken/20230731.html,government,2023-07-31
