metric_key,metric_label,category,statistic,unit,comparability,rounds_available,accepted_above_applicant_rounds,accepted_below_applicant_rounds,median_relative_gap_pct,min_relative_gap_pct,max_relative_gap_pct,round_values
project_sales_increase,補助事業売上高増加額,先進性・成長性,median,億円,unavailable,4,4,0,96.81461013729385,48.80636604774536,191.4893617021277,1次 14.1→41.1 / 2次 18.5→41.2 / 3次 37.7→56.1 / 4次 31.3→53.5
company_sales_increase,全社売上高増加額,経営力,median,億円,proxy,4,4,0,80.6926406926407,47.630331753554486,182.05128205128207,1次 19.5→55.0 / 2次 23.1→46.7 / 3次 42.2→62.3 / 4次 38.5→61.3
value_added_increase,補助事業付加価値増加額,先進性・成長性,median,億円,proxy,4,4,0,78.48624243973083,53.50318471337581,178.43137254901958,1次 5.1→14.2 / 2次 9.1→17.6 / 3次 15.7→24.1 / 4次 12.9→21.1
employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,億円,proxy,4,4,0,69.58333333333334,44.99999999999999,155.55555555555554,1次 0.90→2.3 / 2次 1.5→2.9 / 3次 2.4→3.5 / 4次 2.0→2.9
value_added_subsidy_ratio,補助金額に対する付加価値増加額割合,大規模投資・費用対効果,median,%,proxy,4,4,0,31.46048775092629,23.02158273381294,106.55737704918033,1次 61.0→126.0 / 2次 107.0→149.0 / 3次 139.0→171.0 / 4次 169.0→209.0
company_sales_cagr,全社年平均売上高成長率,経営力,median,%/年,proxy,4,4,0,27.380952380952372,7.692307692307687,42.85714285714286,1次 7.0→10.0 / 2次 9.0→12.0 / 3次 13.0→14.0 / 4次 14.0→17.0
project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,%/年,unavailable,4,4,0,26.948051948051955,16.666666666666675,62.5,1次 8.0→13.0 / 2次 14.0→19.0 / 3次 18.0→21.0 / 4次 22.0→26.0
labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,%/年,comparable,4,4,0,22.5,18.181818181818187,29.41176470588236,1次 12.0→15.0 / 2次 17.0→22.0 / 3次 22.0→26.0 / 4次 25.0→30.0
project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,%,unavailable,4,4,0,11.716544325239974,7.8947368421052655,16.07142857142858,1次 56.0→65.0 / 2次 69.0→78.0 / 3次 76.0→82.0 / 4次 77.0→85.0
officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,%/年,comparable,4,4,0,11.363636363636353,6.000000000000005,17.647058823529417,1次 3.4→4.0 / 2次 4.4→5.0 / 3次 5.0→5.3 / 4次 5.5→6.0
officer_pay_total_increase,役員給与支給総額の増加額,地域への波及効果,median,億円,unavailable,4,3,0,46.42857142857143,0.0,66.66666666666667,1次 0.03→0.05 / 2次 0.05→0.05 / 3次 0.08→0.12 / 4次 0.07→0.10
employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,%/年,comparable,4,3,0,5.666666666666675,0.0,22.857142857142843,1次 3.5→4.3 / 2次 5.0→5.4 / 3次 6.0→6.2 / 4次 6.5→6.5
local_benchmark_score,ローカルベンチマークの得点,実現可能性,median,点,unavailable,4,1,0,0.0,0.0,4.545454545454541,1次 22.0→23.0 / 2次 22.0→22.0 / 3次 22.0→22.0 / 4次 22.0→22.0
investment_sales_ratio,全社売上高に対する投資額割合,大規模投資・費用対効果,median,%,proxy,4,1,3,-3.125,-28.000000000000004,7.017543859649122,1次 50.0→36.0 / 2次 48.0→46.0 / 3次 57.0→61.0 / 4次 48.0→47.0
company_pay_schedule_rate,全社賃上げ予定率,経営力,median,%,unavailable,2,0,1,-2.0000000000000018,-4.0000000000000036,0.0,3次 2.4→2.4 / 4次 2.5→2.4
