candidate,round,raw_low_n,raw_high_n,high_minus_low_points,standardized_mean_difference
raw_domain_mean,1次,35,35,36.98644521163908,3.9471582803268843
raw_domain_mean,2次,6,6,40.82870370370371,4.281042351542814
raw_domain_mean,3次,26,26,40.13399070200499,4.118737430989983
raw_domain_mean,4次,24,24,36.54376077892633,4.439184819249633
scale_adjusted_mean,1次,35,35,33.580821929483,2.704230369919219
scale_adjusted_mean,2次,6,6,38.94246031746032,2.7943686785828845
scale_adjusted_mean,3次,26,26,41.586499949172804,3.2691520825237568
scale_adjusted_mean,4次,24,24,40.28980253604135,4.294078659170962
scale_adjusted_compensatory,1次,35,35,34.467864033598,2.830006536805034
scale_adjusted_compensatory,2次,6,6,40.5813492063492,2.6617437410528293
scale_adjusted_compensatory,3次,26,26,42.58886640334072,3.2910019500985297
scale_adjusted_compensatory,4次,24,24,40.78210956690136,4.221338176248239
context_adjusted_mean,1次,35,35,31.77078894272887,2.54096672226154
context_adjusted_mean,2次,6,6,40.18452380952381,2.704913935897123
context_adjusted_mean,3次,26,26,36.61032680297748,2.663690437991833
context_adjusted_mean,4次,24,24,39.73406909595984,3.8745576053322144
context_adjusted_compensatory,1次,35,35,32.92951142742736,2.663039846966436
context_adjusted_compensatory,2次,6,6,41.92103174603175,2.626108486440902
context_adjusted_compensatory,3次,26,26,38.02140855651165,2.7543915517957553
context_adjusted_compensatory,4次,24,24,40.090286450060425,3.6919627191168236
efficiency_rate_mean,1次,35,35,26.48233403043246,1.6630878675122818
efficiency_rate_mean,2次,6,6,25.104497354497354,1.9093842298486539
efficiency_rate_mean,3次,26,26,24.66101544112825,1.917751403397433
efficiency_rate_mean,4次,24,24,23.086918171751428,1.7649653859165244
efficiency_rate_compensatory,1次,35,35,26.979395078539753,1.712183379205378
efficiency_rate_compensatory,2次,6,6,25.8873015873016,1.8606292567445246
efficiency_rate_compensatory,3次,26,26,25.59923372986991,1.9253825065707202
efficiency_rate_compensatory,4次,24,24,23.857217387039825,1.7768883248573828
efficiency_scale_adjusted_mean,1次,35,35,22.663134282106213,1.269632625439216
efficiency_scale_adjusted_mean,2次,6,6,23.99272486772486,1.9797557399186718
efficiency_scale_adjusted_mean,3次,26,26,24.892172602550566,1.7030468090109387
efficiency_scale_adjusted_mean,4次,24,24,27.249836216131797,1.8437283368933628
efficiency_scale_adjusted_compensatory,1次,35,35,23.59551499745777,1.325981904412668
efficiency_scale_adjusted_compensatory,2次,6,6,26.243253968253974,2.035788937121651
efficiency_scale_adjusted_compensatory,3次,26,26,26.261723996419924,1.7562249429996621
efficiency_scale_adjusted_compensatory,4次,24,24,28.06812386018847,1.836476958508878
efficiency_scale_sufficiency_balanced,1次,35,35,20.010864408785366,1.098740848563439
efficiency_scale_sufficiency_balanced,2次,6,6,14.661111111111111,1.1832788331614372
efficiency_scale_sufficiency_balanced,3次,26,26,21.391036100468497,1.2089011628139066
efficiency_scale_sufficiency_balanced,4次,24,24,27.003376446638214,1.6769381721395682
efficiency_scale_sufficiency_top2,1次,35,35,18.51547331937907,1.041094073801906
efficiency_scale_sufficiency_top2,2次,6,6,14.031746031746025,1.04187583944697
efficiency_scale_sufficiency_top2,3次,26,26,19.851450043260073,1.1286832963845395
efficiency_scale_sufficiency_top2,4次,24,24,24.297746150970852,1.5007722108017354
