model,outcome,held_out_round,n,alpha,mae,r2,spearman,round_only_r2,round_only_mae,r2_gain_vs_round_only,mae_reduction_vs_round_only
round_only,low_score_accepted,1次,139,0.001,0.3798047384306195,-0.025425879658238504,,-0.022462316361544943,0.3457295057387154,-0.002963563296693561,-0.0340752326919041
round_only,low_score_accepted,2次,23,1000.0,0.3808540637472662,-0.036264713663445525,,-0.022462316361544943,0.3457295057387154,-0.013802397301900582,-0.0351245580085508
round_only,low_score_accepted,3次,102,0.001,0.333169286084114,-0.049165703201,,-0.022462316361544943,0.3457295057387154,-0.026703386839455057,0.012560219654601412
round_only,low_score_accepted,4次,93,31.622776601683793,0.29988886301181183,-0.06870698069747094,,-0.022462316361544943,0.3457295057387154,-0.046244664335926,0.04584064272690358
round_only,low_score_accepted,ALL_LOGO,357,15.811888300841897,0.3457295057387154,-0.022462316361544943,-0.12058147755281513,-0.022462316361544943,0.3457295057387154,0.0,0.0
scale_only,low_score_accepted,1次,139,0.001,0.3293121785391391,0.16251280508343924,0.47241886636928615,-0.022462316361544943,0.3457295057387154,0.18497512144498418,0.016417327199576337
scale_only,low_score_accepted,2次,23,0.001,0.342877105112306,0.05375461383484337,0.4407114624505929,-0.022462316361544943,0.3457295057387154,0.07621693019638831,0.0028524006264094015
scale_only,low_score_accepted,3次,102,0.001,0.29998753531419503,0.08432201327990252,0.4274009319351956,-0.022462316361544943,0.3457295057387154,0.10678432964144746,0.045741970424520384
scale_only,low_score_accepted,4次,93,0.001,0.27302209130582356,0.13404072785487675,0.3168531782968589,-0.022462316361544943,0.3457295057387154,0.1565030442164217,0.07270741443289186
scale_only,low_score_accepted,ALL_LOGO,357,0.001,0.30714383565269704,0.14244732346832079,0.40082968176101086,-0.022462316361544943,0.3457295057387154,0.16490963982986573,0.038585670086018375
industry_only,low_score_accepted,1次,139,1.0,0.38566636454995457,-0.06418557199995245,0.05539843947617301,-0.022462316361544943,0.3457295057387154,-0.04172325563840751,-0.03993685881123915
industry_only,low_score_accepted,2次,23,31.622776601683793,0.37809135948525746,-0.021503870951419035,-0.006161932689080037,-0.022462316361544943,0.3457295057387154,0.0009584454101259077,-0.032361853746542046
industry_only,low_score_accepted,3次,102,1.0,0.32822090650755426,-0.026203181947490606,0.11105112016331069,-0.022462316361544943,0.3457295057387154,-0.003740865585945663,0.01750859923116116
industry_only,low_score_accepted,4次,93,1000.0,0.30315623095101846,-0.08822160521883826,0.15704935710515922,-0.022462316361544943,0.3457295057387154,-0.06575928885729332,0.04257327478769696
industry_only,low_score_accepted,ALL_LOGO,357,16.311388300841898,0.3472711145177027,-0.036026922046578536,-0.039033386562424915,-0.022462316361544943,0.3457295057387154,-0.013564605685033593,-0.0015416087789872912
geography_only,low_score_accepted,1次,139,100.0,0.37809688899030025,0.04017937092174051,0.21840826854770948,-0.022462316361544943,0.3457295057387154,0.06264168728328545,-0.032367383251584836
geography_only,low_score_accepted,2次,23,316.22776601683796,0.3549522230885328,0.00464300285497754,0.17938632313169395,-0.022462316361544943,0.3457295057387154,0.027105319216522483,-0.009222717349817389
geography_only,low_score_accepted,3次,102,31.622776601683793,0.31854557943551903,0.09374909675542109,0.3009806637177381,-0.022462316361544943,0.3457295057387154,0.11621141311696603,0.027183926303196382
geography_only,low_score_accepted,4次,93,100.0,0.3004571515503115,-0.023575487122518446,0.20075594339209005,-0.022462316361544943,0.3457295057387154,-0.001113170760973503,0.04527235418840392
geography_only,low_score_accepted,ALL_LOGO,357,100.0,0.33936563836775885,0.05700195465193347,0.1920030079933087,-0.022462316361544943,0.3457295057387154,0.07946427101347842,0.006363867370956566
structure_only,low_score_accepted,1次,139,100.0,0.36860920426006016,0.024819009400573577,0.12696602419019562,-0.022462316361544943,0.3457295057387154,0.04728132576211852,-0.02287969852134475
structure_only,low_score_accepted,2次,23,31.622776601683793,0.35738255345259157,-0.00017575016969773039,0.14095621751626908,-0.022462316361544943,0.3457295057387154,0.022286566191847212,-0.011653047713876152
structure_only,low_score_accepted,3次,102,31.622776601683793,0.324040545994133,0.046411167110299245,0.27975782144445493,-0.022462316361544943,0.3457295057387154,0.06887348347184419,0.021688959744582403
structure_only,low_score_accepted,4次,93,10.0,0.3071181686350969,-0.06938451458095085,0.12301101487498109,-0.022462316361544943,0.3457295057387154,-0.04692219821940591,0.038611337103618526
structure_only,low_score_accepted,ALL_LOGO,357,31.622776601683793,0.3391333431261164,0.028411169464306774,0.08188398202635735,-0.022462316361544943,0.3457295057387154,0.050873485825851716,0.006596162612598988
industry_geography,low_score_accepted,1次,139,3.1622776601683795,0.3858297515269144,0.01580296756934252,0.21759331716144456,-0.022462316361544943,0.3457295057387154,0.03826528393088746,-0.040100245788198985
industry_geography,low_score_accepted,2次,23,100.0,0.35109913130776976,0.004518751165714985,0.1877172670598693,-0.022462316361544943,0.3457295057387154,0.026981067527259928,-0.005369625569054348
industry_geography,low_score_accepted,3次,102,10.0,0.31981799047034015,0.09451107568304473,0.2983288676508291,-0.022462316361544943,0.3457295057387154,0.11697339204458967,0.025911515268375263
industry_geography,low_score_accepted,4次,93,100.0,0.2991481546559649,-0.01238310253150865,0.20512115139573756,-0.022462316361544943,0.3457295057387154,0.010079213830036293,0.04658135108275052
industry_geography,low_score_accepted,ALL_LOGO,357,55.0,0.34215078121372333,0.04844645333442277,0.20015617743975173,-0.022462316361544943,0.3457295057387154,0.07090876969596771,0.003578724524992083
full_basic,low_score_accepted,1次,139,31.622776601683793,0.32511926547152303,0.23429203620432448,0.47285401492470613,-0.022462316361544943,0.3457295057387154,0.2567543525658694,0.02061024026719238
full_basic,low_score_accepted,2次,23,31.622776601683793,0.2958990298197165,0.12309962420043297,0.3873517786561265,-0.022462316361544943,0.3457295057387154,0.1455619405619779,0.04983047591899892
full_basic,low_score_accepted,3次,102,31.622776601683793,0.2778614085789298,0.2569641168931587,0.5496547941487466,-0.022462316361544943,0.3457295057387154,0.2794264332547036,0.06786809715978559
full_basic,low_score_accepted,4次,93,31.622776601683793,0.2872417581994367,0.12919529775157734,0.322028587627943,-0.022462316361544943,0.3457295057387154,0.15165761411312229,0.05848774753927871
full_basic,low_score_accepted,ALL_LOGO,357,31.622776601683793,0.2998672346610466,0.22553937342589914,0.45799189677754226,-0.022462316361544943,0.3457295057387154,0.24800168978744408,0.045862271077668826
round_only,low_score_applicant,1次,139,1000.0,0.49187160850855577,-0.6927836444443101,,-0.17085673824709047,0.4132662162866809,-0.5219269061972196,-0.07860539222187485
round_only,low_score_applicant,2次,23,0.001,0.3885686550497957,-0.0026640489598332984,,-0.17085673824709047,0.4132662162866809,0.16819268928725717,0.024697561236885213
round_only,low_score_applicant,3次,102,0.001,0.35472873560291607,-0.053602774046780155,,-0.17085673824709047,0.4132662162866809,0.11725396420031031,0.05853748068376485
round_only,low_score_applicant,4次,93,0.001,0.36609113477433425,-0.4408300639514513,,-0.17085673824709047,0.4132662162866809,-0.26997332570436083,0.04717508151234667
round_only,low_score_applicant,ALL_LOGO,357,0.001,0.4132662162866809,-0.17085673824709047,-0.40454255312449416,-0.17085673824709047,0.4132662162866809,0.0,0.0
scale_only,low_score_applicant,1次,139,1.0,0.4283010313608611,-0.35760149087881765,0.4449354807361022,-0.17085673824709047,0.4132662162866809,-0.18674475263172718,-0.015034815074180197
scale_only,low_score_applicant,2次,23,0.001,0.3457504315641228,0.038371008954843244,0.40909090909090917,-0.17085673824709047,0.4132662162866809,0.2092277472019337,0.06751578472255815
scale_only,low_score_applicant,3次,102,0.001,0.33278485112920186,0.060553745001257986,0.4260947254752229,-0.17085673824709047,0.4132662162866809,0.23141048324834845,0.08048136515747906
scale_only,low_score_applicant,4次,93,0.001,0.3292650548579733,-0.17652439815948195,0.3119665772800605,-0.17085673824709047,0.4132662162866809,-0.005667659912391487,0.08400116142870762
scale_only,low_score_applicant,ALL_LOGO,357,0.001,0.3698930201739625,0.024549974055029344,0.22754387573985185,-0.17085673824709047,0.4132662162866809,0.1954067123021198,0.04337319611271845
industry_only,low_score_applicant,1次,139,1.0,0.48553573331997285,-0.6755185241057802,0.04128710123259964,-0.17085673824709047,0.4132662162866809,-0.5046617858586897,-0.07226951703329193
industry_only,low_score_applicant,2次,23,10.0,0.3860278849017159,0.014838243792094863,-0.04107955126053358,-0.17085673824709047,0.4132662162866809,0.18569498203918533,0.02723833138496501
industry_only,low_score_applicant,3次,102,1.0,0.347929079277825,-0.05444320969919825,0.19517793908016115,-0.17085673824709047,0.4132662162866809,0.11641352854789222,0.0653371370088559
industry_only,low_score_applicant,4次,93,1.0,0.3703054384205927,-0.4338362110005922,0.16203905105683147,-0.17085673824709047,0.4132662162866809,-0.26297947275350175,0.04296077786608821
industry_only,low_score_applicant,ALL_LOGO,357,1.0,0.40979070068254625,-0.16223292553332525,-0.26106285640772536,-0.17085673824709047,0.4132662162866809,0.008623812713765222,0.0034755156041346713
geography_only,low_score_applicant,1次,139,316.22776601683796,0.48572314526374055,-0.6310662100735733,0.24417012785086348,-0.17085673824709047,0.4132662162866809,-0.46020947182648286,-0.07245692897705963
geography_only,low_score_applicant,2次,23,31.622776601683793,0.3772692088343898,0.03030386818087749,0.1759612602101545,-0.17085673824709047,0.4132662162866809,0.20116060642796796,0.03599700745229112
geography_only,low_score_applicant,3次,102,3.1622776601683795,0.34982657984230225,0.016725989673238684,0.2529500224710473,-0.17085673824709047,0.4132662162866809,0.18758272792032915,0.06343963644437867
geography_only,low_score_applicant,4次,93,10.0,0.3594743222403188,-0.40449261876670506,0.23065147124169955,-0.17085673824709047,0.4132662162866809,-0.2336358805196146,0.05379189404636214
geography_only,low_score_applicant,ALL_LOGO,357,20.811388300841898,0.4070199778910795,-0.12354231363908275,-0.0647034386778228,-0.17085673824709047,0.4132662162866809,0.04731442460800772,0.0062462383956014
structure_only,low_score_applicant,1次,139,1000.0,0.4890273168383296,-0.6715897129502386,0.1446616993205981,-0.17085673824709047,0.4132662162866809,-0.5007329747031481,-0.0757611005516487
structure_only,low_score_applicant,2次,23,0.001,0.3809290041378281,0.004857600412844221,-0.004000122781163178,-0.17085673824709047,0.4132662162866809,0.1757143386599347,0.03233721214885282
structure_only,low_score_applicant,3次,102,0.001,0.3372938145477018,0.08694625696907832,0.223256679088679,-0.17085673824709047,0.4132662162866809,0.2578029952161688,0.07597240173897912
structure_only,low_score_applicant,4次,93,0.001,0.3733529125334479,-0.4746483843567453,0.14817607521881684,-0.17085673824709047,0.4132662162866809,-0.3037916461096548,0.03991330375323304
structure_only,low_score_applicant,ALL_LOGO,357,0.001,0.4085769021993672,-0.13511421225568587,-0.24929278115836964,-0.17085673824709047,0.4132662162866809,0.035742525991404595,0.004689314087313712
industry_geography,low_score_applicant,1次,139,31.622776601683793,0.4860335594397587,-0.598765471177267,0.26470946977697185,-0.17085673824709047,0.4132662162866809,-0.4279087329301765,-0.07276734315307776
industry_geography,low_score_applicant,2次,23,31.622776601683793,0.3743531550657323,0.035845114481321994,0.1768207502384521,-0.17085673824709047,0.4132662162866809,0.20670185272841246,0.03891306122094862
industry_geography,low_score_applicant,3次,102,3.1622776601683795,0.341964139369251,0.02103079625129367,0.2873509816236521,-0.17085673824709047,0.4132662162866809,0.19188753449838414,0.0713020769174299
industry_geography,low_score_applicant,4次,93,10.0,0.3616985296902887,-0.3813893043914889,0.2405532719763411,-0.17085673824709047,0.4132662162866809,-0.21053256614439841,0.051567686596392215
industry_geography,low_score_applicant,ALL_LOGO,357,20.811388300841898,0.4052859742450946,-0.10650128448394813,-0.00712778099492369,-0.17085673824709047,0.4132662162866809,0.06435545376314233,0.007980242041586316
full_basic,low_score_applicant,1次,139,100.0,0.4466966015684861,-0.35191450760493037,0.4599714017605791,-0.17085673824709047,0.4132662162866809,-0.1810577693578399,-0.0334303852818052
full_basic,low_score_applicant,2次,23,31.622776601683793,0.33663644538455817,0.08107236781117722,0.2875494071146245,-0.17085673824709047,0.4132662162866809,0.2519291060582677,0.07662977090212275
full_basic,low_score_applicant,3次,102,3.1622776601683795,0.30723652550262953,0.24859109122947043,0.5185212410447212,-0.17085673824709047,0.4132662162866809,0.4194478294765609,0.10602969078405139
full_basic,low_score_applicant,4次,93,10.0,0.34759589365189864,-0.2465255659215113,0.29770821521291513,-0.17085673824709047,0.4132662162866809,-0.07566882767442085,0.06567032263478229
full_basic,low_score_applicant,ALL_LOGO,357,20.811388300841898,0.373944004405488,0.06245756189900631,0.2622182637413763,-0.17085673824709047,0.4132662162866809,0.23331430014609678,0.03932221188119295
