case_id,round,company,industry,head_office_region,is_clean,low_score_accepted,low_score_applicant,lagging_accepted_dedup7,lagging_applicant_dedup7,score_accepted_observed_metrics,score_applicant_observed_metrics,has_consortium,sales_baseline_oku_yen,employees_base_value,project_cost_million_yen,subsidy_million_yen
s1_outline__181,2次,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,近畿,True,0.32476380746780226,-0.10418457570319474,True,True,6,6,1.0,67.8,126.0,8200.0,2600.0
s1_outline__195,2次,アシザワ・ファインテック株式会社,製造業,関東,True,0.40073069949671375,-0.055080220071558855,True,False,6,6,0.0,28.4,168.0,2500.0,810.0
s1_outline__196,2次,株式会社八立製作所,製造業,近畿,True,0.8465491974765135,0.5023874807495617,True,True,7,7,0.0,,79.0,1340.0,420.0
s2_outline_99,3次,株式会社シュゼット・ホールディングス,サービス業_他に分類されないもの,近畿,False,,,False,False,4,4,1.0,162.1,84.0,10400.0,3400.0
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,運輸業・郵便業,関東,False,0.13109860596253498,-0.0414383563389244,True,False,5,5,1.0,,365.0,4600.0,1400.0
s2_outline_24,3次,高知食糧株式会社,卸売業・小売業,四国,False,0.3068393479354627,0.11087398027569136,True,True,7,7,0.0,,330.0,1700.0,540.0
s2_outline_149,4次,株式会社サン海苔,製造業,九州・沖縄,True,0.37372402198381455,0.12244607932098238,True,True,7,7,0.0,,72.0,1388.0,426.0
s2_outline_172,4次,株式会社環境整備産業,サービス業_他に分類されないもの,九州・沖縄,True,0.42640761864354265,0.19283295108535992,True,True,7,7,0.0,,55.0,1777.0,557.0
s1_outline_27,1次,株式会社クラタ,製造業,中部,True,-0.056851929690686163,-0.7026867043108713,True,False,6,6,0.0,47.0,21.0,1900.0,640.0
s1_outline_39,1次,株式会社ハウゼコ,製造業,近畿,True,0.5051105708695786,-0.12666636207566903,True,False,6,6,0.0,46.0,197.0,1900.0,610.0
s1_outline_49,1次,株式会社ＡＫシステム,製造業,九州・沖縄,True,0.7109223280660867,0.07914539512083892,True,False,6,6,0.0,21.9,110.0,1100.0,350.0
s1_outline_63,1次,株式会社オティックスホールディングス,製造業,中部,True,0.2640802285149317,-0.3435898172371072,True,True,6,6,0.0,82.0,17.0,16600.0,5000.0
s1_outline_164,1次,株式会社福砂屋グループ,卸売業・小売業,九州・沖縄,False,0.29430311673032583,-0.403624129122868,True,False,6,6,0.0,81.6,209.0,5500.0,1700.0
s2_outline_145,4次,株式会社シャノワール,卸売業・小売業,近畿,True,0.3266526829692754,0.03021380910519827,True,False,6,6,0.0,16.86,345.0,3100.0,980.0
s1_outline__179,2次,アサヒセイレン中部株式会社,製造業,中部,False,0.1016247980099421,-0.328532441179621,True,True,6,6,0.0,,59.0,18800.0,5000.0
s1_outline__200,2次,株式会社イズミテクノ,製造業,中部,True,0.5985001962914659,0.1683429571019027,True,False,6,6,0.0,,130.0,1700.0,530.0
s1_outline_40,1次,千代田鋼鉄工業株式会社,製造業,関東,True,0.41403404077561673,-0.3275677980494895,True,False,6,6,0.0,,155.0,4300.0,650.0
