outcome,feature,level,n,mean_low_score,median_low_score,spearman
low_score_accepted,log_baseline_sales,continuous_or_binary,171,,,-0.5733610853452247
low_score_accepted,log_baseline_employees,continuous_or_binary,357,,,-0.246752220915783
low_score_accepted,head_office_per_capita_income_thousand_yen,continuous_or_binary,357,,,-0.14643798468077185
low_score_accepted,head_office_average_wage_thousand_yen_per_month,continuous_or_binary,357,,,-0.24018714340230723
low_score_accepted,head_office_population_change_pct,continuous_or_binary,357,,,-0.24487525535511886
low_score_accepted,has_consortium,continuous_or_binary,357,,,0.13175255979721467
low_score_accepted,has_parent_company_reference,continuous_or_binary,357,,,-0.055978299526488265
low_score_accepted,has_subsidiary_reference,continuous_or_binary,357,,,-0.09591379076807599
low_score_accepted,has_related_company_reference,continuous_or_binary,357,,,0.004295106761919607
low_score_accepted,head_office_project_same_prefecture,continuous_or_binary,357,,,0.16027797138154584
low_score_accepted,round,1次,139,-0.0872664719620705,-0.014716625149541362,
low_score_accepted,round,2次,23,0.036435997458629646,0.055959336735526645,
low_score_accepted,round,3次,102,-0.10228627558611539,-0.06193136383728102,
low_score_accepted,round,4次,93,0.03244636877462207,0.015186284180263762,
low_score_accepted,industry,サービス業_他に分類されないもの,13,0.15412841795632232,0.19664988469089484,
low_score_accepted,industry,不動産業・物品賃貸業,3,0.4623636810002662,0.5266834408909943,
low_score_accepted,industry,医療・福祉,1,0.023604142827599345,0.023604142827599345,
low_score_accepted,industry,卸売業・小売業,40,-0.06330443578158927,-0.061967977564050286,
low_score_accepted,industry,学術研究・専門・技術サービス業,4,-0.23337274694510024,-0.21694695842448508,
low_score_accepted,industry,宿泊業・飲食サービス業,13,0.2076586514093725,0.32476380746780226,
low_score_accepted,industry,建設業,7,-0.3097856823427909,-0.30228240248721094,
low_score_accepted,industry,情報通信業,2,-0.724600766274023,-0.724600766274023,
low_score_accepted,industry,教育・学習支援業,2,0.12457003659448934,0.12457003659448934,
low_score_accepted,industry,生活関連サービス業・娯楽業,4,-0.09913344679871028,-0.1630845367940126,
low_score_accepted,industry,製造業,241,-0.07532946241059492,-0.023387442365217198,
low_score_accepted,industry,運輸業・郵便業,25,0.04715238722752696,0.07342649436238605,
low_score_accepted,industry,nan,2,-0.30763618012152244,-0.30763618012152244,
low_score_accepted,head_office_region,中国,30,-0.10193427777429877,-0.14571177071718605,
low_score_accepted,head_office_region,中部,92,-0.013931664892522719,0.030472919404017806,
low_score_accepted,head_office_region,九州・沖縄,33,0.051075927359736165,0.04194193507936748,
low_score_accepted,head_office_region,北海道,3,0.008955552782154985,0.14529336061796128,
low_score_accepted,head_office_region,四国,13,0.03621043311799242,0.03475714321704467,
low_score_accepted,head_office_region,東北,9,0.19819411202595325,0.07342649436238605,
low_score_accepted,head_office_region,近畿,85,-0.06508339380834399,-0.05831519511691366,
low_score_accepted,head_office_region,関東,92,-0.13916004780280633,-0.0607193261466062,
low_score_applicant,log_baseline_sales,continuous_or_binary,171,,,-0.5222278955703071
low_score_applicant,log_baseline_employees,continuous_or_binary,357,,,-0.1827105214694425
low_score_applicant,head_office_per_capita_income_thousand_yen,continuous_or_binary,357,,,-0.14863600825769052
low_score_applicant,head_office_average_wage_thousand_yen_per_month,continuous_or_binary,357,,,-0.20676784108447097
low_score_applicant,head_office_population_change_pct,continuous_or_binary,357,,,-0.21401511674908105
low_score_applicant,has_consortium,continuous_or_binary,357,,,0.17339681603267793
low_score_applicant,has_parent_company_reference,continuous_or_binary,357,,,-0.0553827857017384
low_score_applicant,has_subsidiary_reference,continuous_or_binary,357,,,-0.07811846480796127
low_score_applicant,has_related_company_reference,continuous_or_binary,357,,,0.029839689082809904
low_score_applicant,head_office_project_same_prefecture,continuous_or_binary,357,,,0.15328216212678
low_score_applicant,round,1次,139,-0.7111267321745607,-0.645886051711113,
low_score_applicant,round,2次,23,-0.40245043272845593,-0.37804300846083677,
low_score_applicant,round,3次,102,-0.34520401618081353,-0.31065635884407694,
low_score_applicant,round,4次,93,-0.2329840011066055,-0.25797990303384405,
low_score_applicant,industry,サービス業_他に分類されないもの,13,-0.31564437510301624,-0.342921298461995,
low_score_applicant,industry,不動産業・物品賃貸業,3,0.05614413127368704,0.230244567026917,
low_score_applicant,industry,医療・福祉,1,-0.40655309636196385,-0.40655309636196385,
low_score_applicant,industry,卸売業・小売業,40,-0.40221348470447965,-0.3825701527289949,
low_score_applicant,industry,学術研究・専門・技術サービス業,4,-0.58748118238581,-0.5394499275463113,
low_score_applicant,industry,宿泊業・飲食サービス業,13,-0.24918884839119976,-0.09475118404110167,
low_score_applicant,industry,建設業,7,-0.6904293971127881,-0.5508199755799356,
low_score_applicant,industry,情報通信業,2,-0.9764404900152013,-0.9764404900152013,
low_score_applicant,industry,教育・学習支援業,2,-0.1549801241955123,-0.1549801241955123,
low_score_applicant,industry,生活関連サービス業・娯楽業,4,-0.5629360202417631,-0.6774761238908575,
low_score_applicant,industry,製造業,241,-0.4965983631829299,-0.4305067507221538,
low_score_applicant,industry,運輸業・郵便業,25,-0.3280960508957957,-0.26608837517535483,
low_score_applicant,industry,nan,2,-0.8658414320142874,-0.8658414320142874,
low_score_applicant,head_office_region,中国,30,-0.47013176853005983,-0.41364348938800055,
low_score_applicant,head_office_region,中部,92,-0.41692237667511295,-0.3525529967861145,
low_score_applicant,head_office_region,九州・沖縄,33,-0.36577650696440867,-0.403624129122868,
low_score_applicant,head_office_region,北海道,3,-0.22531201565698247,-0.09475118404110167,
low_score_applicant,head_office_region,四国,13,-0.4920539675507155,-0.3954000959725185,
low_score_applicant,head_office_region,東北,9,-0.23526166221194217,-0.3763051582491325,
low_score_applicant,head_office_region,近畿,85,-0.4701629421562898,-0.417614504817366,
low_score_applicant,head_office_region,関東,92,-0.5575654170675615,-0.51613495678514,
