model,outcome,feature,held_out_round,mae_increase_mean,mae_increase_sd
basic,low_score_accepted,log_baseline_sales,1次,0.04491673536237216,0.007944261165512051
basic,low_score_accepted,log_baseline_employees,1次,0.005034640351229805,0.006031742658576355
basic,low_score_accepted,head_office_per_capita_income_thousand_yen,1次,-0.002010938874548915,0.0021846115062439287
basic,low_score_accepted,head_office_average_wage_thousand_yen_per_month,1次,0.0019234988755386971,0.0034567696672419303
basic,low_score_accepted,head_office_population_change_pct,1次,0.0013798402639426815,0.0041516080512632204
basic,low_score_accepted,has_consortium,1次,0.002478504162755873,0.002694500885803209
basic,low_score_accepted,has_parent_company_reference,1次,0.001396603511133867,0.0007692308813086527
basic,low_score_accepted,has_subsidiary_reference,1次,0.0037808675528426365,0.0015270200203761344
basic,low_score_accepted,has_related_company_reference,1次,0.0023943237667684476,0.001980007423018638
basic,low_score_accepted,head_office_project_same_prefecture,1次,0.0001549464012380436,0.0015918378236775294
basic,low_score_accepted,industry,1次,0.0001376730640027146,0.0017465960232110002
basic,low_score_accepted,head_office_region,1次,0.0016030718333646776,0.0018096707404734627
basic,low_score_accepted,log_baseline_sales,2次,0.05002223870001256,0.021235623399578626
basic,low_score_accepted,log_baseline_employees,2次,0.022586241755425007,0.009452305209380344
basic,low_score_accepted,head_office_per_capita_income_thousand_yen,2次,-0.000749381931706894,0.0012065998989162494
basic,low_score_accepted,head_office_average_wage_thousand_yen_per_month,2次,0.024852802812627986,0.012501674463576098
basic,low_score_accepted,head_office_population_change_pct,2次,0.019869733125678177,0.013516534825488615
basic,low_score_accepted,has_consortium,2次,0.021352031095182928,0.01369179690176763
basic,low_score_accepted,has_parent_company_reference,2次,0.0,0.0
basic,low_score_accepted,has_subsidiary_reference,2次,0.010704030491293856,0.004687426179400486
basic,low_score_accepted,has_related_company_reference,2次,-0.00024515412635535194,0.004313985821877521
basic,low_score_accepted,head_office_project_same_prefecture,2次,0.000732414668698399,0.003828039911021021
basic,low_score_accepted,industry,2次,0.004693643416001142,0.0030972109896687
basic,low_score_accepted,head_office_region,2次,0.00308066737944113,0.0049636949090044605
basic,low_score_accepted,log_baseline_sales,3次,0.04528459631551178,0.010459084433264822
basic,low_score_accepted,log_baseline_employees,3次,0.006088385863263808,0.004680215590913974
basic,low_score_accepted,head_office_per_capita_income_thousand_yen,3次,-0.000642500372592637,0.0004625801960555758
basic,low_score_accepted,head_office_average_wage_thousand_yen_per_month,3次,0.013835957855057104,0.005291071758161396
basic,low_score_accepted,head_office_population_change_pct,3次,0.015134601192291952,0.004518701861560115
basic,low_score_accepted,has_consortium,3次,0.024931540536961706,0.0074051662776478365
basic,low_score_accepted,has_parent_company_reference,3次,0.0,0.0
basic,low_score_accepted,has_subsidiary_reference,3次,-0.0013383247769998224,0.004032071593736975
basic,low_score_accepted,has_related_company_reference,3次,0.0017627769035024343,0.0026032313596577824
basic,low_score_accepted,head_office_project_same_prefecture,3次,0.00017480428656963697,0.0002495741800772868
basic,low_score_accepted,industry,3次,0.0012859834105714118,0.00150208300065066
basic,low_score_accepted,head_office_region,3次,-0.0033259944519688912,0.003384924838850123
basic,low_score_accepted,log_baseline_sales,4次,0.023470669075772978,0.009381030611482115
basic,low_score_accepted,log_baseline_employees,4次,0.006988994216434123,0.004632047963950747
basic,low_score_accepted,head_office_per_capita_income_thousand_yen,4次,-0.002318163596134866,0.0015004270643603319
basic,low_score_accepted,head_office_average_wage_thousand_yen_per_month,4次,0.0019051038089969508,0.007340364138094451
basic,low_score_accepted,head_office_population_change_pct,4次,-0.0034971328000984714,0.0032137595249898667
basic,low_score_accepted,has_consortium,4次,0.004621634402286008,0.004699807029449433
basic,low_score_accepted,has_parent_company_reference,4次,-0.0021712697411036567,0.002830277264111644
basic,low_score_accepted,has_subsidiary_reference,4次,-0.002784419884588588,0.002721350631077085
basic,low_score_accepted,has_related_company_reference,4次,-0.0010460198504274442,0.0045999642282801715
basic,low_score_accepted,head_office_project_same_prefecture,4次,-0.0001167803386604055,0.0001986840533821241
basic,low_score_accepted,industry,4次,0.0006078185771079047,0.0015972475071110348
basic,low_score_accepted,head_office_region,4次,0.005086159606548788,0.002504726372589747
basic,low_score_accepted,has_consortium,MEAN,0.01334592754929663,0.011438798075915673
basic,low_score_accepted,has_parent_company_reference,MEAN,-0.00019366655749244744,0.0014736447688164069
basic,low_score_accepted,has_related_company_reference,MEAN,0.0007164816733720215,0.001626964743694968
basic,low_score_accepted,has_subsidiary_reference,MEAN,0.0025905383456370206,0.006098409077572271
basic,low_score_accepted,head_office_average_wage_thousand_yen_per_month,MEAN,0.010629340838055184,0.011022601919863696
basic,low_score_accepted,head_office_per_capita_income_thousand_yen,MEAN,-0.001430246193745828,0.0008582386857336969
basic,low_score_accepted,head_office_population_change_pct,MEAN,0.008221760445453585,0.011069582428457108
basic,low_score_accepted,head_office_project_same_prefecture,MEAN,0.00023634625446141853,0.00035646206543857214
basic,low_score_accepted,head_office_region,MEAN,0.001610976091846426,0.0035875076571111357
basic,low_score_accepted,industry,MEAN,0.0016812796169207932,0.002062816403445526
basic,low_score_accepted,log_baseline_employees,MEAN,0.010174565546588186,0.008312906961081631
basic,low_score_accepted,log_baseline_sales,MEAN,0.04092355986341737,0.011865263628464625
basic,low_score_applicant,log_baseline_sales,1次,0.02228206017063639,0.006297528560483765
basic,low_score_applicant,log_baseline_employees,1次,0.0023892106345037804,0.003369178943438545
basic,low_score_applicant,head_office_per_capita_income_thousand_yen,1次,-0.0031369428516437804,0.0019674124633427895
basic,low_score_applicant,head_office_average_wage_thousand_yen_per_month,1次,-0.003004893538144595,0.002508710809241114
basic,low_score_applicant,head_office_population_change_pct,1次,-0.0026809800281201272,0.0028033607791978147
basic,low_score_applicant,has_consortium,1次,0.0008481375936863317,0.0012891890628633905
basic,low_score_applicant,has_parent_company_reference,1次,0.0004696363122037489,0.0006233404623960692
basic,low_score_applicant,has_subsidiary_reference,1次,0.001186871925911276,0.0008448726290262868
basic,low_score_applicant,has_related_company_reference,1次,0.0007871210337595741,0.000622011894734811
basic,low_score_applicant,head_office_project_same_prefecture,1次,-0.0018710545334364647,0.0015367743359594357
basic,low_score_applicant,industry,1次,-0.0008985569893851792,0.000752649471115256
basic,low_score_applicant,head_office_region,1次,-0.0002883570617129727,0.0005483032665471968
basic,low_score_applicant,log_baseline_sales,2次,0.045312341449266526,0.022618360767674546
basic,low_score_applicant,log_baseline_employees,2次,0.008555339344707712,0.008599996305988452
basic,low_score_applicant,head_office_per_capita_income_thousand_yen,2次,-9.97884988204778e-05,0.00028720642162364043
basic,low_score_applicant,head_office_average_wage_thousand_yen_per_month,2次,0.008873158215754068,0.012948365078185326
basic,low_score_applicant,head_office_population_change_pct,2次,0.002114860987660828,0.013941567604354941
basic,low_score_applicant,has_consortium,2次,0.025553507309165238,0.015430082189381326
basic,low_score_applicant,has_parent_company_reference,2次,0.0,0.0
basic,low_score_applicant,has_subsidiary_reference,2次,0.0072946587623985695,0.004517451388591398
basic,low_score_applicant,has_related_company_reference,2次,0.004908091543547984,0.005055044738276986
basic,low_score_applicant,head_office_project_same_prefecture,2次,-0.004478142938099404,0.006233739183390555
basic,low_score_applicant,industry,2次,0.0008604831847685218,0.0030893634481356127
basic,low_score_applicant,head_office_region,2次,0.002392236984599935,0.005562049819585404
basic,low_score_applicant,log_baseline_sales,3次,0.04000644649605733,0.010817493499693024
basic,low_score_applicant,log_baseline_employees,3次,-0.0008189599671523468,0.004072590348821713
basic,low_score_applicant,head_office_per_capita_income_thousand_yen,3次,0.0007481144223249653,0.004103778980676112
basic,low_score_applicant,head_office_average_wage_thousand_yen_per_month,3次,0.02876515136266617,0.008487069761813992
basic,low_score_applicant,head_office_population_change_pct,3次,0.016160265472474428,0.006178830318094844
basic,low_score_applicant,has_consortium,3次,0.028555109243006346,0.00996743270309059
basic,low_score_applicant,has_parent_company_reference,3次,0.0,0.0
basic,low_score_applicant,has_subsidiary_reference,3次,-0.002899197013403025,0.003068404232728853
basic,low_score_applicant,has_related_company_reference,3次,0.0028212093336255463,0.003931270057101154
basic,low_score_applicant,head_office_project_same_prefecture,3次,0.0001096558268549469,0.001071817487263457
basic,low_score_applicant,industry,3次,0.003782962985632816,0.003781681474321022
basic,low_score_applicant,head_office_region,3次,0.002259602260486657,0.007876960368617814
basic,low_score_applicant,log_baseline_sales,4次,0.020820464639166848,0.008890374680677755
basic,low_score_applicant,log_baseline_employees,4次,0.001600616609907677,0.0034136360131565777
basic,low_score_applicant,head_office_per_capita_income_thousand_yen,4次,0.00032675508028438604,0.0003675201512511873
basic,low_score_applicant,head_office_average_wage_thousand_yen_per_month,4次,0.01045941770774534,0.009376598087367384
basic,low_score_applicant,head_office_population_change_pct,4次,-0.00082227776509257,0.0016937014269365071
basic,low_score_applicant,has_consortium,4次,0.007660495916575277,0.005882479972074578
basic,low_score_applicant,has_parent_company_reference,4次,-0.0013758579271441014,0.002486253285870667
basic,low_score_applicant,has_subsidiary_reference,4次,-0.0015667938884572164,0.0022889250776794274
basic,low_score_applicant,has_related_company_reference,4次,0.004018496009549716,0.004183121501739788
basic,low_score_applicant,head_office_project_same_prefecture,4次,0.0002482802324478206,0.000517160374627303
basic,low_score_applicant,industry,4次,-0.002740226870469359,0.002867182065563016
basic,low_score_applicant,head_office_region,4次,0.004718098086397381,0.004394371049460397
basic,low_score_applicant,has_consortium,MEAN,0.0156543125156083,0.013509854840078234
basic,low_score_applicant,has_parent_company_reference,MEAN,-0.00022655540373508811,0.0007975449616540594
basic,low_score_applicant,has_related_company_reference,MEAN,0.0031337294801207054,0.0017828266494742298
basic,low_score_applicant,has_subsidiary_reference,MEAN,0.001003884946612401,0.004525842753773288
basic,low_score_applicant,head_office_average_wage_thousand_yen_per_month,MEAN,0.011273208437005246,0.013118114190473597
basic,low_score_applicant,head_office_per_capita_income_thousand_yen,MEAN,-0.0005404654619637268,0.001765257356879866
basic,low_score_applicant,head_office_population_change_pct,MEAN,0.0036929671667306394,0.008542805663128115
basic,low_score_applicant,head_office_project_same_prefecture,MEAN,-0.0014978153530582753,0.0022101638994956874
basic,low_score_applicant,head_office_region,MEAN,0.00227039506744275,0.0020455988907014566
basic,low_score_applicant,industry,MEAN,0.0002511655776366999,0.0027757972810944654
basic,low_score_applicant,log_baseline_employees,MEAN,0.0029315516554917057,0.0039899393179836555
basic,low_score_applicant,log_baseline_sales,MEAN,0.03210532818878177,0.012392169700499459
