model,outcome,held_out_round,n,alpha,mae,r2,spearman,positive_n,C,roc_auc,balanced_accuracy
round_only,low_score_accepted,1次,139,0.001,0.3798047384306195,-0.025425879658238504,,,,,
round_only,low_score_accepted,2次,23,1000.0,0.3808540637472662,-0.036264713663445525,,,,,
round_only,low_score_accepted,3次,102,0.001,0.333169286084114,-0.049165703201,,,,,
round_only,low_score_accepted,4次,93,31.622776601683793,0.29988886301181183,-0.06870698069747094,,,,,
round_only,low_score_accepted,ALL_LOGO,357,15.811888300841897,0.3457295057387154,-0.022462316361544943,-0.12058147755281513,,,,
basic,low_score_accepted,1次,139,31.622776601683793,0.32511926547152303,0.23429203620432448,0.47285401492470613,,,,
basic,low_score_accepted,2次,23,31.622776601683793,0.2958990298197165,0.12309962420043297,0.3873517786561265,,,,
basic,low_score_accepted,3次,102,31.622776601683793,0.2778614085789298,0.2569641168931587,0.5496547941487466,,,,
basic,low_score_accepted,4次,93,31.622776601683793,0.2872417581994367,0.12919529775157734,0.322028587627943,,,,
basic,low_score_accepted,ALL_LOGO,357,31.622776601683793,0.2998672346610466,0.22553937342589914,0.45799189677754226,,,,
basic_project,low_score_accepted,1次,139,100.0,0.32670361039653584,0.23266661929429155,0.4558738102685553,,,,
basic_project,low_score_accepted,2次,23,31.622776601683793,0.27982813370301785,0.3818727168883038,0.6146245059288538,,,,
basic_project,low_score_accepted,3次,102,31.622776601683793,0.2628495189985018,0.39327374993613085,0.6207881210736722,,,,
basic_project,low_score_accepted,4次,93,31.622776601683793,0.266211670166396,0.25130218729629605,0.4776192891886246,,,,
basic_project,low_score_accepted,ALL_LOGO,357,31.622776601683793,0.28968119099050393,0.305037633678674,0.5365866138056503,,,,
basic_clean,low_score_accepted,1次,82,31.622776601683793,0.3119506411895914,0.2709456554800671,0.5935612368171875,,,,
basic_clean,low_score_accepted,2次,18,10.0,0.310324544301371,0.05366413879509557,0.36016511867905054,,,,
basic_clean,low_score_accepted,3次,42,10.0,0.28182422650387984,-0.029535534222411064,0.4348918240012965,,,,
basic_clean,low_score_accepted,4次,49,10.0,0.26452480706759146,0.02126145293718018,0.3720408163265306,,,,
basic_clean,low_score_accepted,ALL_LOGO,191,10.0,0.2930059027981471,0.18915635952075038,0.48176322678423805,,,,
round_only,low_score_applicant,1次,139,1000.0,0.49187160850855577,-0.6927836444443101,,,,,
round_only,low_score_applicant,2次,23,0.001,0.3885686550497957,-0.0026640489598332984,,,,,
round_only,low_score_applicant,3次,102,0.001,0.35472873560291607,-0.053602774046780155,,,,,
round_only,low_score_applicant,4次,93,0.001,0.36609113477433425,-0.4408300639514513,,,,,
round_only,low_score_applicant,ALL_LOGO,357,0.001,0.4132662162866809,-0.17085673824709047,-0.40454255312449416,,,,
basic,low_score_applicant,1次,139,100.0,0.4466966015684861,-0.35191450760493037,0.4599714017605791,,,,
basic,low_score_applicant,2次,23,31.622776601683793,0.33663644538455817,0.08107236781117722,0.2875494071146245,,,,
basic,low_score_applicant,3次,102,3.1622776601683795,0.30723652550262953,0.24859109122947043,0.5185212410447212,,,,
basic,low_score_applicant,4次,93,10.0,0.34759589365189864,-0.2465255659215113,0.29770821521291513,,,,
basic,low_score_applicant,ALL_LOGO,357,20.811388300841898,0.373944004405488,0.06245756189900631,0.2622182637413763,,,,
basic_project,low_score_applicant,1次,139,100.0,0.45833206616364136,-0.3648076130438036,0.43682917020420925,,,,
basic_project,low_score_applicant,2次,23,31.622776601683793,0.3274145410555968,0.3265871958559642,0.5444664031620554,,,,
basic_project,low_score_applicant,3次,102,0.001,0.29477650783198195,0.28427420505932766,0.6221791225381819,,,,
basic_project,low_score_applicant,4次,93,3.1622776601683795,0.31554249625618513,-0.11956106965960034,0.4322610486109038,,,,
basic_project,low_score_applicant,ALL_LOGO,357,17.392527130926087,0.3659701613213228,0.10307017179037226,0.36220011826210624,,,,
basic_clean,low_score_applicant,1次,82,31.622776601683793,0.4406558149683589,-0.36344077595078894,0.592864683666917,,,,
basic_clean,low_score_applicant,2次,18,10.0,0.367704980741528,0.015261711291067015,0.23426212590299278,,,,
basic_clean,low_score_applicant,3次,42,10.0,0.32210382166279883,0.04099263841459955,0.41495826918402073,,,,
basic_clean,low_score_applicant,4次,49,10.0,0.3510801010371907,-0.7588692598487419,0.4175510204081632,,,,
basic_clean,low_score_applicant,ALL_LOGO,191,10.0,0.3847316855571353,-0.008818990058870657,0.21428251584458524,,,,
basic,lagging_accepted_dedup7,1次,139,,,,,47.0,0.01,0.6332099907493062,0.5970166512488437
