amount,amount_label,metric,metric_label,band,n,median,mean
project_cost_oku,事業費,sales_cagr_pct,売上高CAGR,Q1小,26,12.8,14.34423076923077
project_cost_oku,事業費,sales_cagr_pct,売上高CAGR,Q2,22,16.3,19.423636363636362
project_cost_oku,事業費,sales_cagr_pct,売上高CAGR,Q3,23,14.5,18.409565217391304
project_cost_oku,事業費,sales_cagr_pct,売上高CAGR,Q4大,28,9.3,24.452857142857145
project_cost_oku,事業費,labor_annual_rate_pct,労働生産性上昇率,Q1小,95,19.6,26.767157894736844
project_cost_oku,事業費,labor_annual_rate_pct,労働生産性上昇率,Q2,95,20.0,23.414842105263162
project_cost_oku,事業費,labor_annual_rate_pct,労働生産性上昇率,Q3,92,20.75,24.082499999999996
project_cost_oku,事業費,labor_annual_rate_pct,労働生産性上昇率,Q4大,93,19.1,22.592365591397847
project_cost_oku,事業費,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q1小,97,6.1,6.2340206185567
project_cost_oku,事業費,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q2,95,6.0,6.052315789473685
project_cost_oku,事業費,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q3,93,6.0,5.851182795698926
project_cost_oku,事業費,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q4大,95,6.0,5.9684210526315775
project_cost_oku,事業費,officer_pay_annual_rate_pct,役員給与上昇率,Q1小,85,5.0,5.7170588235294115
project_cost_oku,事業費,officer_pay_annual_rate_pct,役員給与上昇率,Q2,82,5.0,5.202804878048781
project_cost_oku,事業費,officer_pay_annual_rate_pct,役員給与上昇率,Q3,76,5.324999999999999,6.119078947368421
project_cost_oku,事業費,officer_pay_annual_rate_pct,役員給与上昇率,Q4大,69,5.0,6.583188405797101
project_cost_oku,事業費,sales_increase_oku_yen_normalized,売上増加額,Q1小,87,37.06,72.4018532183908
project_cost_oku,事業費,sales_increase_oku_yen_normalized,売上増加額,Q2,83,55.58,100.66951807228915
project_cost_oku,事業費,sales_increase_oku_yen_normalized,売上増加額,Q3,84,72.0,125.61071428571428
project_cost_oku,事業費,sales_increase_oku_yen_normalized,売上増加額,Q4大,84,139.85,190.23369047619047
project_cost_oku,事業費,value_added_increase_estimated_oku,付加価値増加額,Q1小,94,11.3098095,15.32425060638298
project_cost_oku,事業費,value_added_increase_estimated_oku,付加価値増加額,Q2,94,14.859872500000002,19.23944690425532
project_cost_oku,事業費,value_added_increase_estimated_oku,付加価値増加額,Q3,92,20.495145,22.466226382456526
project_cost_oku,事業費,value_added_increase_estimated_oku,付加価値増加額,Q4大,92,33.22643500000001,46.081187804347834
project_cost_oku,事業費,employee_pay_total_increase_estimated_oku,給与総額増加額,Q1小,94,1.8647,2.828283723404255
project_cost_oku,事業費,employee_pay_total_increase_estimated_oku,給与総額増加額,Q2,94,2.44975,3.0133004255319147
project_cost_oku,事業費,employee_pay_total_increase_estimated_oku,給与総額増加額,Q3,92,3.10095,4.059329907391304
project_cost_oku,事業費,employee_pay_total_increase_estimated_oku,給与総額増加額,Q4大,92,4.8514,6.5046633695652165
subsidy_oku,補助金額,sales_cagr_pct,売上高CAGR,Q1小,25,11.8,13.636399999999998
subsidy_oku,補助金額,sales_cagr_pct,売上高CAGR,Q2,22,14.6,18.99818181818182
subsidy_oku,補助金額,sales_cagr_pct,売上高CAGR,Q3,26,15.45,18.81153846153846
subsidy_oku,補助金額,sales_cagr_pct,売上高CAGR,Q4大,26,9.3,25.400000000000002
subsidy_oku,補助金額,labor_annual_rate_pct,労働生産性上昇率,Q1小,95,19.8,26.330315789473687
subsidy_oku,補助金額,labor_annual_rate_pct,労働生産性上昇率,Q2,95,18.1,23.666315789473682
subsidy_oku,補助金額,labor_annual_rate_pct,労働生産性上昇率,Q3,91,22.2,23.51208791208791
subsidy_oku,補助金額,labor_annual_rate_pct,労働生産性上昇率,Q4大,94,18.200000000000003,23.347765957446803
subsidy_oku,補助金額,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q1小,97,6.1,6.191340206185567
subsidy_oku,補助金額,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q2,95,6.0,6.059789473684211
subsidy_oku,補助金額,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q3,93,6.0,5.9084946236559155
subsidy_oku,補助金額,employee_pay_annual_rate_pct,1人当たり従業員給与上昇率,Q4大,95,6.0,5.948421052631578
subsidy_oku,補助金額,officer_pay_annual_rate_pct,役員給与上昇率,Q1小,80,5.0,5.5356250000000005
subsidy_oku,補助金額,officer_pay_annual_rate_pct,役員給与上昇率,Q2,85,5.0,5.4991764705882344
subsidy_oku,補助金額,officer_pay_annual_rate_pct,役員給与上昇率,Q3,76,5.0,5.39671052631579
subsidy_oku,補助金額,officer_pay_annual_rate_pct,役員給与上昇率,Q4大,71,5.0,7.203380281690141
subsidy_oku,補助金額,sales_increase_oku_yen_normalized,売上増加額,Q1小,86,43.71,87.06699104651163
subsidy_oku,補助金額,sales_increase_oku_yen_normalized,売上増加額,Q2,85,53.0,93.36117647058823
subsidy_oku,補助金額,sales_increase_oku_yen_normalized,売上増加額,Q3,82,65.12,109.75658536585365
subsidy_oku,補助金額,sales_increase_oku_yen_normalized,売上増加額,Q4大,85,149.0,197.1995294117647
subsidy_oku,補助金額,value_added_increase_estimated_oku,付加価値増加額,Q1小,94,11.5727645,15.222442329787235
subsidy_oku,補助金額,value_added_increase_estimated_oku,付加価値増加額,Q2,94,14.569830000000001,18.61404880851064
subsidy_oku,補助金額,value_added_increase_estimated_oku,付加価値増加額,Q3,92,20.44119,21.29221945854348
subsidy_oku,補助金額,value_added_increase_estimated_oku,付加価値増加額,Q4大,92,35.19252,47.99820993478261
subsidy_oku,補助金額,employee_pay_total_increase_estimated_oku,給与総額増加額,Q1小,94,1.8283,2.81789414893617
subsidy_oku,補助金額,employee_pay_total_increase_estimated_oku,給与総額増加額,Q2,94,2.47265,3.073853510638297
subsidy_oku,補助金額,employee_pay_total_increase_estimated_oku,給与総額増加額,Q3,92,3.0402500000000003,3.494700233478261
subsidy_oku,補助金額,employee_pay_total_increase_estimated_oku,給与総額増加額,Q4大,92,5.157535,7.018039021739129
