review_origin,factor,factor_label,reviewed_n,strong_n,strong_pct,score3_n,score3_pct,mean_score
合計,demand,需要根拠の具体性,44,33,75.0,14,31.818181818181817,2.0681818181818183
合計,constraint,能力制約の明確さ,44,42,95.45454545454545,35,79.54545454545455,2.727272727272727
合計,transformation,事業・工程の構造転換,44,44,100.0,34,77.27272727272727,2.772727272727273
合計,regional,地域・供給網への波及,44,40,90.9090909090909,27,61.36363636363637,2.522727272727273
合計,execution,実行確度,44,42,95.45454545454545,17,38.63636363636363,2.340909090909091
合計,strategic,政策・戦略分野との整合,44,42,95.45454545454545,21,47.72727272727273,2.4318181818181817
新規目視レビュー（現行9指標・24社）,demand,需要根拠の具体性,24,20,83.33333333333334,8,33.33333333333333,2.1666666666666665
新規目視レビュー（現行9指標・24社）,constraint,能力制約の明確さ,24,22,91.66666666666666,20,83.33333333333334,2.7083333333333335
新規目視レビュー（現行9指標・24社）,transformation,事業・工程の構造転換,24,24,100.0,21,87.5,2.875
新規目視レビュー（現行9指標・24社）,regional,地域・供給網への波及,24,20,83.33333333333334,14,58.333333333333336,2.4166666666666665
新規目視レビュー（現行9指標・24社）,execution,実行確度,24,24,100.0,12,50.0,2.5
新規目視レビュー（現行9指標・24社）,strategic,政策・戦略分野との整合,24,24,100.0,13,54.166666666666664,2.5416666666666665
既存40ペアの低位側のうち現行9指標低位（20社）,demand,需要根拠の具体性,20,13,65.0,6,30.0,1.95
既存40ペアの低位側のうち現行9指標低位（20社）,constraint,能力制約の明確さ,20,20,100.0,15,75.0,2.75
既存40ペアの低位側のうち現行9指標低位（20社）,transformation,事業・工程の構造転換,20,20,100.0,13,65.0,2.65
既存40ペアの低位側のうち現行9指標低位（20社）,regional,地域・供給網への波及,20,20,100.0,13,65.0,2.65
既存40ペアの低位側のうち現行9指標低位（20社）,execution,実行確度,20,18,90.0,5,25.0,2.15
既存40ペアの低位側のうち現行9指標低位（20社）,strategic,政策・戦略分野との整合,20,18,90.0,8,40.0,2.3
