review_origin,selection_note,case_id,round,company,industry,is_clean,dashboard9_observed_n,dashboard9_below_accepted_n,dashboard9_below_accepted_share,directional8_lagging,directional_component_win_n,directional_explanation_level,demand,constraint,transformation,regional,execution,strategic,evidence,coding_confidence,pdf_url,core_strong_n,all_factor_strong_n
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_35,1次,イグス株式会社,製造業,True,6,5.0,0.8333333333333334,True,1,部分的な定量補完（1構成）,2,3,3,2,2,3,4拠点分散と工場狭隘が供給制約。生産・倉庫を統合し自動化して半導体・工作機械等の需要に対応。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_35.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_77,1次,千寿製薬株式会社,製造業,True,5,4.0,0.8,True,1,部分的な定量補完（1構成）,2,3,2,1,2,3,"新薬需要を年間7,500万本、将来1億本超と予測し現行7,000万本能力に3,500万本ラインを追加。医薬品安定供給が明確。",high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_77.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_70,1次,協和工業株式会社,製造業,True,9,6.0,0.6666666666666666,True,1,部分的な定量補完（1構成）,3,3,3,1,2,2,コンクリート大型製品の移管打診、2022年新規受注の約8割が高張力鋼。売上上限を新工場・800tプレスで解除。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_70.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_25,1次,日本リファイン株式会社,製造業,True,7,5.0,0.7142857142857143,True,2,明確な定量補完（2構成以上）,3,3,3,2,2,3,顧客照会1.5倍、自動車電池メーカーから生産要請。蒸留・NMP分散工程を自動化し電池・資源循環需要へ対応。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_63,1次,株式会社オティックスホールディングス,製造業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,3,3,3,2,3,3,EV部品を受注済み。エンジン部品需要減少に対しEVモビリティ部品企業へ転換。先行工場も自己資金で完成済み。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_39,1次,株式会社ハウゼコ,製造業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,2,3,3,2,2,3,大手住宅・建材メーカーからOEM引合い。分散拠点と物流非効率を集約・自動化工場で解消。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_39.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_75,1次,株式会社伝食,卸売業・小売業,True,8,6.0,0.75,True,2,明確な定量補完（2構成以上）,1,3,3,3,3,2,"狭隘施設を加工・物流・O2O・見学機能を統合する拠点へ転換。5,600坪の用地取得済み。地域水産流通との結び付きが強い。",high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_75.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_49,1次,株式会社ＡＫシステム,製造業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,2,3,3,3,3,3,増産・対象範囲拡大の要請に対し工場・設備不足で失注。取得済み用地に専門工場を分離し、九州半導体需要と雇用に対応。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_49.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline_159,1次,浦島観光ホテル株式会社,宿泊業・飲食サービス業,True,8,5.0,0.625,True,1,部分的な定量補完（1構成）,2,3,2,3,2,2,築30～60年施設と人員制約で稼働率に上限。団体型から個人・インバウンド型へ転換し、地域観光の中核機能を担う。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline__195,2次,アシザワ・ファインテック株式会社,製造業,True,8,7.0,0.875,True,0,公開方向性定量では未説明,2,3,3,2,3,3,防爆・クリーン・ドライ環境不足で試験・受託加工需要を取りこぼし。自社遊休地に新工場を設け新素材市場へ進出。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__195.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline__190,2次,株式会社GOTENリゾート,宿泊業・飲食サービス業,True,8,5.0,0.625,True,1,部分的な定量補完（1構成）,3,3,3,3,2,2,既存2旅館の稼働率90%以上、23期連続黒字。客室制約を高級宿泊拠点で解除し地域産品・越境ECまで展開。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s1_outline__181,2次,株式会社ホテルニューアワジ,宿泊業・飲食サービス業,True,8,7.0,0.875,True,0,公開方向性定量では未説明,2,2,3,3,3,3,客室単価・稼働率を含む収益設計、インバウンド特化2館の共同事業。自治体・生産者との協力、認証・実証実績が豊富。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_72,3次,ときわ製作所株式会社,製造業,True,8,5.0,0.625,True,2,明確な定量補完（2構成以上）,2,3,3,3,3,2,主要顧客から増産要請。4拠点分散・老朽設備を取得済み用地へ統合し受託加工と自社製品輸出を両立。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_72.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_30,3次,東洋スクリーン工業株式会社,製造業,True,7,6.0,0.8571428571428571,True,1,部分的な定量補完（1構成）,1,3,2,1,2,3,工場が能力上限に達し面積不足・老朽化・動線問題が具体的。半導体・水処理向けに移転増強するが需要証拠は一般的。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_30.pdf,2,4
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_32,3次,第一物産株式会社,卸売業・小売業,True,7,5.0,0.7142857142857143,True,2,明確な定量補完（2構成以上）,3,3,3,3,3,3,"村田製作所を含む実名顧客と約2,000社の取引基盤。MLCC・全固体電池向け治具需要を閉校跡地の一貫工場で取り込む。",high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_32.pdf,4,6
