sample,metric_set,metric_count,min_observed,below_share_threshold,lagging_n,sample_n,lagging_pct,eligible_n,eligible_pct,conditional_lagging_pct
all,dashboard_9,9,3,0.5,197,381,51.70603674540683,380,99.73753280839895,51.8421052631579
all,dashboard_9,9,3,0.6,121,381,31.758530183727036,380,99.73753280839895,31.842105263157894
all,dashboard_9,9,3,0.6666666666666666,93,381,24.409448818897637,380,99.73753280839895,24.473684210526315
all,dashboard_9,9,3,0.75,55,381,14.435695538057743,380,99.73753280839895,14.473684210526315
all,dashboard_9,9,3,0.8,35,381,9.186351706036746,380,99.73753280839895,9.210526315789474
all,dashboard_9,9,5,0.5,193,381,50.656167979002625,373,97.9002624671916,51.742627345844504
all,dashboard_9,9,5,0.6,118,381,30.971128608923884,373,97.9002624671916,31.635388739946382
all,dashboard_9,9,5,0.6666666666666666,90,381,23.62204724409449,373,97.9002624671916,24.128686327077748
all,dashboard_9,9,5,0.75,53,381,13.910761154855644,373,97.9002624671916,14.20911528150134
all,dashboard_9,9,5,0.8,34,381,8.923884514435695,373,97.9002624671916,9.115281501340483
all,dashboard_9,9,7,0.5,163,381,42.78215223097113,322,84.51443569553805,50.62111801242236
all,dashboard_9,9,7,0.6,96,381,25.19685039370079,322,84.51443569553805,29.81366459627329
all,dashboard_9,9,7,0.6666666666666666,69,381,18.11023622047244,322,84.51443569553805,21.428571428571427
all,dashboard_9,9,7,0.75,41,381,10.761154855643044,322,84.51443569553805,12.732919254658386
all,dashboard_9,9,7,0.8,22,381,5.774278215223097,322,84.51443569553805,6.832298136645963
all,directional_8_no13,8,3,0.5,193,381,50.656167979002625,380,99.73753280839895,50.78947368421053
all,directional_8_no13,8,3,0.6,116,381,30.446194225721786,380,99.73753280839895,30.526315789473685
all,directional_8_no13,8,3,0.6666666666666666,105,381,27.559055118110237,380,99.73753280839895,27.63157894736842
all,directional_8_no13,8,3,0.75,59,381,15.485564304461942,380,99.73753280839895,15.526315789473685
all,directional_8_no13,8,3,0.8,43,381,11.286089238845145,380,99.73753280839895,11.31578947368421
all,directional_8_no13,8,5,0.5,188,381,49.343832020997375,371,97.3753280839895,50.67385444743935
all,directional_8_no13,8,5,0.6,113,381,29.658792650918635,371,97.3753280839895,30.45822102425876
all,directional_8_no13,8,5,0.6666666666666666,102,381,26.771653543307085,371,97.3753280839895,27.493261455525605
