round,company,below_n,observed_n,demand,constraint,transformation,regional,execution,strategic,evidence,pdf_url,coding_confidence
1次,株式会社伝食,6,8,1,3,3,3,3,2,"狭隘施設を加工・物流・O2O・見学機能を統合する拠点へ転換。5,600坪の用地取得済み。地域水産流通との結び付きが強い。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_75.pdf,high
1次,浦島観光ホテル株式会社,5,8,2,3,2,3,2,2,"築30～60年施設と人員制約で稼働率に上限。団体型から個人・インバウンド型へ転換し、地域観光の中核機能を担う。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf,high
1次,株式会社ＡＫシステム,6,8,2,3,3,3,3,3,"増産・対象範囲拡大の要請に対し工場・設備不足で失注。取得済み用地に専門工場を分離し、九州半導体需要と雇用に対応。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_49.pdf,high
1次,株式会社ハウゼコ,6,8,2,3,3,2,2,3,"大手住宅・建材メーカーからOEM引合い。分散拠点と物流非効率を集約・自動化工場で解消。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_39.pdf,high
1次,協和工業株式会社,6,9,3,3,3,1,2,2,"コンクリート大型製品の移管打診、2022年新規受注の約8割が高張力鋼。売上上限を新工場・800tプレスで解除。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_70.pdf,high
1次,イグス株式会社,5,6,2,3,3,2,2,3,"4拠点分散と工場狭隘が供給制約。生産・倉庫を統合し自動化して半導体・工作機械等の需要に対応。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_35.pdf,high
1次,日本リファイン株式会社,5,7,3,3,3,2,2,3,"顧客照会1.5倍、自動車電池メーカーから生産要請。蒸留・NMP分散工程を自動化し電池・資源循環需要へ対応。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf,high
1次,千寿製薬株式会社,4,5,2,3,2,1,2,3,"新薬需要を年間7,500万本、将来1億本超と予測し現行7,000万本能力に3,500万本ラインを追加。医薬品安定供給が明確。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_77.pdf,high
1次,株式会社オティックスホールディングス,6,8,3,3,3,2,3,3,"EV部品を受注済み。エンジン部品需要減少に対しEVモビリティ部品企業へ転換。先行工場も自己資金で完成済み。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_63.pdf,high
2次,株式会社GOTENリゾート,5,8,3,3,3,3,2,2,"既存2旅館の稼働率90%以上、23期連続黒字。客室制約を高級宿泊拠点で解除し地域産品・越境ECまで展開。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf,high
