left_no,left_metric,right_no,right_metric,pair_n,spearman_rho
2,全社売上高増加額,8,補助事業付加価値増加額（簡易補正推計）,331,0.6780814541071888
8,補助事業付加価値増加額（簡易補正推計）,10,従業員給与支給総額の増加額（推計）,371,0.6697215518274556
9,年平均従業員目標賃上げ率,11,年平均役員目標賃上げ率,312,0.5872513683789172
8,補助事業付加価値増加額（簡易補正推計）,14,補助金額に対する付加価値増加額割合（推計）,372,0.5341230381412224
2,全社売上高増加額,10,従業員給与支給総額の増加額（推計）,332,0.5339826615718862
1,全社年平均売上高成長率,7,補助事業年平均労働生産性の伸び,98,0.40712673516754927
7,補助事業年平均労働生産性の伸び,9,年平均従業員目標賃上げ率,375,0.3662206105539538
1,全社年平均売上高成長率,13,全社売上高に対する投資額割合（近似）,46,0.3477563649672112
1,全社年平均売上高成長率,9,年平均従業員目標賃上げ率,98,0.32938713072800146
7,補助事業年平均労働生産性の伸び,11,年平均役員目標賃上げ率,309,0.32494036802250953
7,補助事業年平均労働生産性の伸び,14,補助金額に対する付加価値増加額割合（推計）,367,0.3062172423193819
10,従業員給与支給総額の増加額（推計）,14,補助金額に対する付加価値増加額割合（推計）,371,0.2935013876584175
2,全社売上高増加額,14,補助金額に対する付加価値増加額割合（推計）,331,0.2582561173191392
1,全社年平均売上高成長率,11,年平均役員目標賃上げ率,84,0.2548493227063587
1,全社年平均売上高成長率,14,補助金額に対する付加価値増加額割合（推計）,99,0.23308686953682328
7,補助事業年平均労働生産性の伸び,8,補助事業付加価値増加額（簡易補正推計）,367,0.2022055195510677
9,年平均従業員目標賃上げ率,13,全社売上高に対する投資額割合（近似）,178,0.19580786296594177
11,年平均役員目標賃上げ率,14,補助金額に対する付加価値増加額割合（推計）,308,0.18487076906681543
11,年平均役員目標賃上げ率,13,全社売上高に対する投資額割合（近似）,142,0.17883868392321073
7,補助事業年平均労働生産性の伸び,13,全社売上高に対する投資額割合（近似）,177,0.13035332183544185
8,補助事業付加価値増加額（簡易補正推計）,11,年平均役員目標賃上げ率,308,0.12282432208094303
9,年平均従業員目標賃上げ率,14,補助金額に対する付加価値増加額割合（推計）,371,0.12136937408473558
8,補助事業付加価値増加額（簡易補正推計）,9,年平均従業員目標賃上げ率,371,0.03183759971045388
1,全社年平均売上高成長率,8,補助事業付加価値増加額（簡易補正推計）,99,0.01859771848906062
2,全社売上高増加額,9,年平均従業員目標賃上げ率,337,-0.03622145776873381
2,全社売上高増加額,7,補助事業年平均労働生産性の伸び,333,-0.043998255477461626
2,全社売上高増加額,11,年平均役員目標賃上げ率,282,-0.049648535720509805
9,年平均従業員目標賃上げ率,10,従業員給与支給総額の増加額（推計）,371,-0.07799768663121659
10,従業員給与支給総額の増加額（推計）,11,年平均役員目標賃上げ率,308,-0.07966701812532903
1,全社年平均売上高成長率,10,従業員給与支給総額の増加額（推計）,99,-0.1254031726252721
1,全社年平均売上高成長率,2,全社売上高増加額,91,-0.22441852657917538
7,補助事業年平均労働生産性の伸び,10,従業員給与支給総額の増加額（推計）,366,-0.2520515422040458
10,従業員給与支給総額の増加額（推計）,13,全社売上高に対する投資額割合（近似）,175,-0.2739140170174653
8,補助事業付加価値増加額（簡易補正推計）,13,全社売上高に対する投資額割合（近似）,175,-0.2812225705329154
13,全社売上高に対する投資額割合（近似）,14,補助金額に対する付加価値増加額割合（推計）,175,-0.3969928347514554
2,全社売上高増加額,13,全社売上高に対する投資額割合（近似）,168,-0.5922737440825907
