round,metric_key,metric_label,category,statistic,applicant_value,accepted_value,unit,applicant_n,accepted_n,current_field,comparability,definition,source_url,accepted_minus_applicant,accepted_vs_applicant_pct
1次,company_sales_cagr,全社年平均売上高成長率,経営力,median,7.0,10.0,%/年,712,109,sales_cagr_pct,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,3.0,42.85714285714286
1次,company_sales_increase,全社売上高増加額,経営力,median,19.5,55.0,億円,712,109,sales_increase_oku_yen_normalized,proxy,基準年の前年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,35.5,182.05128205128207
1次,project_sales_share,全社売上高に対する補助事業売上高の割合,経営力,mean,56.0,65.0,%,712,109,,unavailable,事業化報告3年目における水準,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,9.0,16.07142857142858
1次,project_sales_cagr,補助事業年平均売上高成長率,先進性・成長性,median,8.0,13.0,%/年,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,5.0,62.5
1次,project_sales_increase,補助事業売上高増加額,先進性・成長性,median,14.1,41.1,億円,712,109,,unavailable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,27.0,191.4893617021277
1次,labor_cagr,年平均労働生産性の伸び,先進性・成長性,median,12.0,15.0,%/年,712,109,labor_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,3.0,25.0
1次,value_added_increase,補助事業付加価値増加額,先進性・成長性,median,5.1,14.2,億円,712,109,value_added_increase_estimated_oku,proxy,基準年と事業化報告3年目を比較。公開PDF推計は粗近似値を1.1倍して水準補正,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,9.1,178.43137254901958
1次,employee_pay_rate,年平均従業員目標賃上げ率,地域への波及効果,median,3.5,4.3,%/年,712,109,employee_pay_annual_rate_pct,comparable,基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.7999999999999998,22.857142857142843
1次,employee_pay_total_increase,従業員給与支給総額の増加額,地域への波及効果,median,0.9,2.3,億円,712,109,employee_pay_total_increase_estimated_oku,proxy,公開された1人当たり給与と従業員数から基準年・目標年の総額差を推計,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,1.4,155.55555555555554
1次,officer_pay_rate,年平均役員目標賃上げ率,地域への波及効果,median,3.4,4.0,%/年,712,109,officer_pay_annual_rate_pct,comparable,目標設定事業者のみ・基準年と事業化報告3年目を比較,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/000058716.pdf,0.6000000000000001,17.647058823529417
