dataset,record_key,case_id,company,field,before,after
cases.csv,s1_outline__181,s1_outline__181,株式会社ホテルニューアワジ,scope,不明,共同申請（幹事企業）
cases.csv,s1_outline__188,s1_outline__188,山城金属株式会社,sales_growth_rate_definition,stated_undefined,target_base_ratio
cases.csv,s1_outline__195,s1_outline__195,アシザワ・ファインテック株式会社,scope,,会社全体／拠点別併記
cases.csv,s1_outline__198,s1_outline__198,ユニコム株式会社,sales_growth_rate_definition,stated_undefined,cumulative_increase
cases.csv,s1_outline__199,s1_outline__199,株式会社ティー・シー・ピー,project_cost_million_yen,2100,2175.62
cases.csv,s1_outline__199,s1_outline__199,株式会社ティー・シー・ピー,project_cost_million_yen_normalized,2100,2175.62
cases.csv,s1_outline__199,s1_outline__199,株式会社ティー・シー・ピー,sales_growth_rate_definition,stated_undefined,cumulative_increase
cases.csv,s1_outline__200,s1_outline__200,株式会社イズミテクノ,sales_growth_rate_definition,stated_undefined,cumulative_increase
cases.csv,s1_outline__203,s1_outline__203,株式会社東映京都スタジオ,sales_growth_rate_definition,stated_undefined,cumulative_increase
cases.csv,s1_outline__205,s1_outline__205,ヤマシンスチール株式会社,project_cost_million_yen,2900,2970
cases.csv,s1_outline__205,s1_outline__205,ヤマシンスチール株式会社,project_cost_million_yen_normalized,2900,2970
cases.csv,s1_outline__206,s1_outline__206,上山製紙株式会社,sales_growth_rate_definition,stated_undefined,cumulative_increase
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,scope,連結,applicant
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_base_value,1683.5,16835
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_target_value,3279.8,32798
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_unit,万円/人,千円/人
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_base_value_raw,1683.5,16835
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_target_value_raw,3279.8,32798
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_unit_raw,万円/人,千円/人
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,labor_unit_conversion_factor,1.0,0.1
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_base_value,709.7,7097
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_target_value,821.5,8215
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_unit,万円/人,千円/人
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_base_value_raw,709.7,7097
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_target_value_raw,821.5,8215
cases.csv,s1_outline__208,s1_outline__208,日本電波工業株式会社,employee_pay_unit_raw,万円/人,千円/人
