case_id,round,company,page,page_role,box_no,box_type,box_label,box_title,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source_method,company_header_masked,text,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,1,top_summary,上段要旨,上段要旨,40.32,40.32,740.52,87.84,vector_rectangle,true,"当社（半導体製造装置向け部品製造業）は、半導体製造装置を販売するエンドユーザーからの強い要請
に基づき、6年度後に現在の1.55倍の売上高を達成（2023年度:168億円⇒2029年度:260億円）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,2,long_term_vision,長期成長ビジョン（目指す姿・ビジネスモデル）,長期成長ビジョン（目指す姿・ビジネスモデル）,39.6,105,378.84,486.72,vector_rectangle,false,"長期成長ビジョン（目指す姿・ビジネスモデル）
現在の姿
• 昭和49年の設立以来、兵庫県丹波篠山市で精密電子機
器等製造（①精密電子機器事業(整合器製造)、
②ハーネス事業、③制御盤事業を行う
長期成長ビジョン
• 生産能力拡大のための大規模投資を通じ、半導体製造装
置の市場成長に貢献
• 当社エンドユーザーの、半導体製造装置世界シェア拡大に
寄与",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,3,external_motivation,外発的動機,外発的動機,396.36,105,739.8,295.2,vector_rectangle,false,"外発的動機
（社会課題・顧客ﾆｰｽﾞの変化等のﾒｶﾞﾄﾚﾝﾄﾞ）
• 半導体は、５G・ビッグデータ・AI・IoT・自動運転・ロボティクス・ス
マートシティ・DX等のデジタル社会を支える重要基盤であり、安全
保障にも直結する死活的に重要な戦略技術
• 高精度な半導体には微細化、高密度化等が求められ、これらを達
成することにより情報の伝送・処理速度を向上しつつ、エネルギー効
率も改善されると期待されている
• 日本政府も、半導体関連産業を重要産業として位置付けている
⇒積極的な投資により、国内半導体製造関連事業者も
更なる競争力強化が求められる",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,4,internal_motivation,内発的動機,内発的動機,396.48,302.28,739.92,492.48,vector_rectangle,false,"内発的動機
（経営者の原体験や動機等）
• 半導体製造装置向け部品の製造事業は、1988年に事業開始、
売上高は中核事業になった2013年度17億円、2017年度66億
円、2023年度105億円へと飛躍的に拡大している
• 当社は国内最大最先端半導体製造装置メーカーに向け、最先端
半導体プロセスのエッチング工程に求められる高周波電源装置
（整合器）を製造、/ この工程において、100％当社製の整合
器が搭載されている
⇒当社のエンドユーザーが掲げる半導体製造装置の生産
目標を達成するためには、当社自身の生産能力拡大が
必要不可欠",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,5,sales_target,売上成長目標,売上成長目標,48.36,431.64,367.8,483,vector_rectangle,false,"売上成長目標
• 2029年度までの会社全体の売上高成長率：55％
• 2029年度までの会社全体の売上高増加額：92億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,6,long_term_vision,長期成長ビジョン（目指す姿・ビジネスモデル）,長期成長ビジョン（目指す姿・ビジネスモデル）,39.6,495.96,740.52,535.68,vector_rectangle,false,"審査基準 ☑メガトレンドを踏まえ、5～10年後の社会に価値提供する自社のありたい姿（長期成長ビジョン）が具現化されている
との整合性 ☑その中において、高い売上高成長率及び売上高増加額が示されている",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,2,補助事業の概要,1,top_summary,上段要旨,上段要旨,41.04,39.84,741.12,87.48,vector_rectangle,true,"・現有の工場・設備類では顧客からの増産依頼に対応しきれない
・①新工場建築、②製造/検査ラインの導入、③システム導入により、顧客要望に応えられる体制を構築",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,2,補助事業の概要,2,other,その他Box,エンドユーザーから頂戴した増産計画に基づき、既存の工場では生産対応しきれないため、,121.08,112.8,582.72,149.64,vector_rectangle,false,"エンドユーザーから頂戴した増産計画に基づき、既存の工場では生産対応しきれないため、
新工場建築による製造面積増加、設備・システム導入を通じて増産体制を構築する",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,1,top_summary,上段要旨,上段要旨,40.22,37.51,729.04,62.39,vector_rectangle,false,"売上高800億円、デパ地下、空港・駅ナカNo.1達成のため、成長市場への積極投資や事業運営の
省力化・合理化を推進し、コストや顧客ニーズなどの外部環境変化を克服する。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,2,long_term_vision,長期成長ビジョン（目指す姿・ビジネスモデル）,長期成長ビジョン（目指す姿・ビジネスモデル）,21.69,95.87,378.78,453.33,vector_rectangle,false,"長期成長ビジョン（目指す姿・ビジネスモデル）
ミッション（当社が果たすべき使命）
「世界中に心あたたまる時間を創り出す」
ビジョン（当社が中長期的にあるべき姿）
「世界No.1の菓子を中心とした食品製造小売企業」の実現
• 2029年度 売上高800億円
• デパ地下、空港・駅ナカNo.1達成
バリュー（当社の行動指針）
１.「顧客の創造」 ２.「顧客第一主義」 ３.「全員経営」
４.「イノベーション」 ５.「自主独立の経営」
• 売上高目標達成、領域No.1ポジション獲得のため、成長市場へ
積極的な投資を行い、事業規模を拡大する。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,3,external_motivation,外発的動機,外発的動機,396.3,96.31,758.31,297.21,vector_rectangle,false,"外発的動機
社会課題
• 少子高齢化に伴う労働人口減少、人件費高騰
• インフレ加速に伴う仕入・販売価格の上昇
• トラックドライバー時間外労働の上限規制適用に伴う物流コスト上
昇
⇒ コスト・価格の面で従来のビジネスモデルが成り立たなくなった
顧客ニーズの変化
• ポストコロナでのギフト需要・インバウンド需要の回復・拡大
• 品質・デザイン性に優れた日本製菓子の海外需要増加
⇒ 環境変化に伴う新たな成長ドライバの獲得が期待される",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,4,internal_motivation,内発的動機,内発的動機,396.3,307.25,758.31,453.33,vector_rectangle,false,"内発的動機
• 当社ビジョンと最大生産能力のギャップの解消
⇒ 当社が所有する 2工場の最大生産能力は約 370億円であり、
世界No.1の菓子提供を目指す当社の足かせとなっている。
• 労働集約型経営から知識集約型経営への変革
⇒ 属人化の解消や合理化の推進により労働生産性の向上が必
要",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,5,sales_target,売上成長目標,売上成長目標,32.33,360,370.89,446,vector_rectangle,false,"積極的な投資を行い、事業規模を拡大する。
売上成長目標
• 機械設備・システム投資により省力化・合理化を推進し、労働生産
性を向上する。
2023年9月期 2029年9月期 増加額 成長率
223億円 800億円 577億円 258.7％",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,6,company_overview,当社・会社の概要,当社・会社の概要,40.22,469.06,739.78,533.46,vector_rectangle,false,"当社の概要
当社は製粉業を祖業とする1907年創業（1986年設立）の菓子製造小売事業者である。東京都千代田区に本社、愛知県海部郡、三重県
桑名市に生産拠点を有し、百貨店や、空港・駅ナカを中心に40以上の店舗を展開する。圧倒的な商品力、製販一貫の事業実施体制を背
景に直近3期は年率20％前後の売上成長を遂げる一方、生産規模や事業効率の面で課題があり、更なる成長へ向けて一歩踏み込んだ
取り組みが必要である。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,2,補助事業の概要,1,top_summary,上段要旨,上段要旨,40.22,37.51,751.71,62.39,vector_rectangle,true,補助事業実施により労働生産性を年平均14.9％向上し、地域別最低賃金の上昇率を上回る年平均3.0％の,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,2,補助事業の概要,2,top_summary,上段要旨,上段要旨,120.37,91.11,626.4,127.89,vector_rectangle,false,"［背景・目的］コスト増加に伴うビジネスモデルの再構築、成長市場の取り込みを目的とした実施体
制の整備
［課題］生産規模拡大と経営効率の向上",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,2,補助事業の概要,3,other,その他Box,経費項目 名称 効果 労働生産性,127.24,142.73,758.64,301.12,vector_rectangle,false,"経費項目 名称 効果 労働生産性
下記の機械設備、システム導入による
建物費 桑名工場増築 スペース拡充による生産規模拡大
労働生産性向上
成形機
焼成・成形・包装の品質向上
オーブン・焼成機 自動化・省力化に伴う
機械装置費 時間短縮
包装機・箱詰め 労働生産性向上
コスト削減
その他
情報一元管理
ERP
部門間連携強化
業務工数削減、生産・販売フロー見直しに
ソフトウェア費 資材所要量、在庫管理適正化
MES よる労働生産性向上
トレーサビリティ構築
POS トレーサビリティ構築",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,2,補助事業の概要,4,other,その他Box,2026年度 2029年度,126.83,319.66,758.23,448.88,vector_rectangle,false,"2026年度 2029年度
項目
（基準年度） （基準年度＋３年後）
労働生産性
1,236 1,870( 年平均上昇率＋14.8％)
（単位：万円 /人）
従業員1人あたり給与支給総額
336 369 (年平均上昇率＋3.0％)
（単位：万円 /人）
役員１人あたり給与支給総額
- - (年平均上昇率＋11.1％)
（単位：万円 /人）
補助事業に係る従業員数
840 1,132
（単位：人）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,2,補助事業の概要,5,other,その他Box,まとめ,40.22,464.51,739.78,528.91,vector_rectangle,false,"まとめ
投資内容は、桑名工場の増築、各種機械設備・システムの導入である。生産面では工場増築と設備導入により生産ラインを従来の5本か
ら11本に増やすとともに、ERP、MES導入により生産プロセスの最適化・効率化に取り組み、最大生産能力を200億円から450億円に拡
大する。販売面では、2029年9月期に160店舗を目指しており、ERP、POS導入により管理業務の効率化と顧客情報収集によるマーケ
ティング強化に取り組む。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,1,長期成長ビジョン,1,external_motivation,外発的動機,外発的動機,427.68,106.88,833.04,214.88,vector_rectangle,false,"外発的動機
• コロナ禍、ウクライナ・イスラエル情勢、グローバルインフレにおいて 「健康
性」 「持続可能性」「経済性」が重視されるようになっている。
• 植物性代替食品(プラントベースフード)の台頭
• 輸入・国産チーズがダブル値上げ(2024.03月各メディア紹介)
• チーズ消費量増加(特に台湾、香港、中国本土、タイやインドネシアなどの東
南アジア圏)",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
