case_id,round,company,entity_id,entity_name,entity_relation,is_applicant,is_consortium_member,appears_in_sales_metric,appears_in_labor_metric,appears_in_cost,source_type,source_page,raw_evidence,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_entity_1,株式会社岩崎電機製作所,applicant,true,false,true,true,true,cases.company,,株式会社岩崎電機製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2023年度168億円⇒2029年度260億円。2029年度までの会社全体の売上高成長率55%、売上高増加額92億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_entity_1,株式会社プレジィール,applicant,true,false,true,true,true,cases.company,,株式会社プレジィール,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2023年9月期223億円、2029年9月期800億円、増加額577億円、成長率258.7%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_entity_1,マリンフード株式会社,applicant,true,false,true,true,true,cases.company,,マリンフード株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,"2038年までの会社全体の売上高成長率276%、売上高増加額638億円。本文に2038年売上目標1,000億円。基準362億円は1000-638。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_entity_1,株式会社正興電機製作所,applicant,true,false,true,true,true,cases.company,,株式会社正興電機製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_entity_2,長期・連結,group,false,false,true,false,false,sales_series,1,"長期連結：2023年度271億円→2041年度1,000億円、増加729億円、369%",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_entity_3,中期・連結,group,false,false,true,false,false,sales_series,1,中期連結：271→400億円、+129億円、148%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_entity_4,中期・単体,applicant,true,false,true,false,false,sales_series,1,中期単体：191→290億円、+99億円、152%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_entity_1,冬木工業株式会社,applicant,true,false,true,true,true,cases.company,,冬木工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年までに会社全体の売上高成長率136%、売上高増加額65億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_entity_1,オーケー化成株式会社,applicant,true,false,true,true,true,cases.company,,オーケー化成株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,会社全体の成長率198.0%、増加額44.7億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_entity_3,補助事業,project,false,false,true,false,false,sales_series,1,うち補助事業による売上高増加額37.6億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_104,1次,ヤマダイ株式会社,s1_outline_104_entity_1,ヤマダイ株式会社,applicant,true,false,true,true,true,cases.company,,ヤマダイ株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_104,1次,ヤマダイ株式会社,s1_outline_104_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,会社全体の売上高成長率42%、増加額47億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_105,1次,中外医薬生産株式会社,s1_outline_105_entity_1,中外医薬生産株式会社,applicant,true,false,true,true,true,cases.company,,中外医薬生産株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_105,1次,中外医薬生産株式会社,s1_outline_105_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年売上高120億円、成長率170%。付加価値額52億円は売上増加額ではない。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
