case_id,round,company,location_type,location_sequence,address_raw,prefecture,municipality,location_status,detail_level,industry,pdf_url,source_stage,source_page_url,source_data_url,source_record_id,retrieved_at
s1_outline__179,2次,アサヒセイレン中部株式会社,head_office,1,愛知県西尾市吉良町岡山背撫山4-24,愛知県,西尾市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,179,2026-07-17
s1_outline__179,2次,アサヒセイレン中部株式会社,project,1,愛知県幸田町大字須美字前山地内,愛知県,幸田町,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,179,2026-07-17
s1_outline__179,2次,アサヒセイレン中部株式会社,project,2,愛知県西尾市吉良町岡山背撫山4-24,愛知県,西尾市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,179,2026-07-17
s1_outline__179,2次,アサヒセイレン中部株式会社,project,3,富山県射水市沖塚原20-1,富山県,射水市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,179,2026-07-17
s1_outline__181,2次,株式会社ホテルニューアワジ,head_office,1,兵庫県洲本市小路谷20,兵庫県,洲本市,published,full_address,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,181,2026-07-17
s1_outline__181,2次,株式会社ホテルニューアワジ,project,1,兵庫県洲本市小路谷5-1,兵庫県,洲本市,published,full_address,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,181,2026-07-17
s1_outline__181,2次,株式会社ホテルニューアワジ,project,2,兵庫県あわじ市松帆古津路970-72,兵庫県,あわじ市,published,full_address,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,181,2026-07-17
s1_outline__181,2次,株式会社ホテルニューアワジ,project,3,兵庫県南あわじ市松帆古津路970-81,兵庫県,南あわじ市,published,full_address,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,181,2026-07-17
s1_outline__182,2次,埼玉機器株式会社,head_office,1,埼玉県さいたま市中央区下落合７丁目１番地３号,埼玉県,さいたま市中央区,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__182.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,182,2026-07-17
s1_outline__182,2次,埼玉機器株式会社,project,1,埼玉県富士見市上南畑地区産業団地Bブロック,埼玉県,富士見市上南畑地区,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__182.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,182,2026-07-17
s1_outline__183,2次,スズキハイテック株式会社,head_office,1,山形県山形市銅町2丁目2番30号,山形県,山形市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__183.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,183,2026-07-17
s1_outline__183,2次,スズキハイテック株式会社,project,1,山形県山形市銅町2丁目2番30号,山形県,山形市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__183.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,183,2026-07-17
s1_outline__183,2次,スズキハイテック株式会社,project,2,山形県山形市宮町2丁目27番,山形県,山形市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__183.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,183,2026-07-17
s1_outline__184,2次,泉南乳業株式会社,head_office,1,大阪府貝塚市小瀬532番地,大阪府,貝塚市,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__184.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,184,2026-07-17
s1_outline__184,2次,泉南乳業株式会社,project,1,大阪府堺市中区土塔町1991番地,大阪府,堺市中区,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__184.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,184,2026-07-17
s1_outline__188,2次,山城金属株式会社,head_office,1,香川県仲多度郡琴平町榎井175-1,香川県,仲多度郡琴平町,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__188.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,188,2026-07-17
s1_outline__188,2次,山城金属株式会社,project,1,香川県まんのう町長尾字川原1106-1,香川県,まんのう町,published,full_address,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__188.pdf,grant_decision_page,https://seichotoushi-hojo.jp/1_2ji/koufu/,https://seichotoushi-hojo.jp/assets/data/koufu.json?260715,188,2026-07-17
