case_id,round,company,target_entity,scope,other_participants,page_count,vision_page_count,project_page_count,additional_page_count,project_cost_million_yen,subsidy_million_yen,subsidy_rate_pct,cost_page,cost_source_method,cost_validation,cost_box_transcription,sales_baseline_year,sales_baseline_oku_yen,sales_target_year,sales_target_oku_yen,sales_increase_oku_yen,sales_growth_pct,sales_cagr_pct,sales_multiple,sales_validation,labor_base_year,labor_base_value,labor_target_year,labor_target_value,labor_unit,labor_annual_rate_pct,labor_validation,employee_pay_base_year,employee_pay_base_value,employee_pay_target_year,employee_pay_target_value,employee_pay_unit,employee_pay_annual_rate_pct,employee_pay_validation,officer_pay_base_year,officer_pay_base_value,officer_pay_target_year,officer_pay_target_value,officer_pay_unit,officer_pay_annual_rate_pct,officer_pay_validation,employees_base_year,employees_base_value,employees_target_year,employees_target_value,employees_unit,employees_annual_rate_pct,employees_validation,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,株式会社岩崎電機製作所,全社,,2,1,1,0,2400,760,31.6667,2,coordinate_cost_box_char_reconstruction,整合,"事業費 24億円
（補助額） （7.6億円）",,,2029,,92,55,,,Box内明記値確認済み（算術検算対象外）,2026,862,2029,1168,万円/人,10.67,PDF表セル・率検算確認済み,2026,439,2029,509,万円/人,5,PDF表セル・率検算確認済み,2026,,2029,,万円/人,5,PDFで絶対値なし・年平均率のみ確認済み,2026,270,2029,290,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,株式会社プレジィール,applicant,,2,1,1,0,8000,2500,31.25,2,coordinate_cost_box_char_reconstruction,整合,"事業費 80億円
（補助額） （25億円）",2023,223,2029,800,577,258.7,23.726915836835992,,Box内数値整合確認済み,2026,1236,2029,1870,万円/人,14.8,PDF表セル・率検算確認済み,2026,336,2029,369,万円/人,3,PDF表セル・率検算確認済み,2026,,2029,,万円/人,11.1,PDFで絶対値なし・年平均率のみ確認済み,2026,840,2029,1132,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,マリンフード株式会社,単体,,2,1,1,0,4600,1400,30.4348,2,coordinate_cost_box_char_reconstruction,整合,"事業費 46億円
（補助額） （14億円）",2023,,2038,,638,276,,,Box内明記値確認済み（算術検算対象外）,2026,1776,2029,1973,万円/人,9.1,原本画像目視確認済み（原本内不整合）,2026,450,2029,507,万円/人,4.06,PDF表セル・率検算確認済み,2026,3069,2029,3453,万円/人,4,PDF表セル・率検算確認済み,2026,225,2029,298,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,株式会社正興電機製作所,連結,,5,1,4,0,3900,1200,30.7692,2,coordinate_cost_box_char_reconstruction,整合,"事業費 39億円
（補助額） （12億円）",2026,400,2041,1000,729,,6.299037928953943,,増加額不整合,2026,1027,2029,1204,万円/人,5.45,PDF表セル・率検算確認済み,2026,631,2029,717,万円/人,4.35,PDF表セル・率検算確認済み,2026,1616,2029,1870,万円/人,5,PDF表セル・率検算確認済み,2026,795,2029,810,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,冬木工業株式会社,全社,,2,1,1,0,6900,2200,31.8841,2,coordinate_cost_box_char_reconstruction,整合,"事業費 69億円
（補助額） （22億円）",,,2029,,65,136,,,Box内明記値確認済み（算術検算対象外）,2026,912,2029,1492,万円/人,14.5,原本画像目視確認済み（原本内不整合）,2026,471,2029,522.5,万円/人,3.52,PDF表セル・率検算確認済み,2026,,2029,,万円/人,3.03,PDFで絶対値なし・年平均率のみ確認済み,2026,68,2029,80,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,オーケー化成株式会社,単体,,2,1,1,0,2900,960,33.1034,2,coordinate_cost_box_char_reconstruction,整合,"事業費 29億円
（補助額） （9.6億円）",,,2030,,44.7,198,,,Box内明記値確認済み（算術検算対象外）,2027,1851,2030,2592,万円/人,11.9,PDF表セル・率検算確認済み,2027,472,2030,551,万円/人,5.3,PDF表セル・率検算確認済み,2027,0,2030,0,万円/人,0,PDF表セル確認済み,2027,35,2030,50,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_104,1次,ヤマダイ株式会社,ヤマダイ株式会社,applicant,,2,1,1,0,3400,1100,32.3529,2,coordinate_cost_box_char_reconstruction,整合,"事業費 34億円
（補助額） （11億円）",,,2030,,47,42,,,Box内明記値確認済み（算術検算対象外）,2026,1169,2029,1489,万円/人,8.4,PDF表セル・率検算確認済み,2026,482,2029,550,万円/人,4.5,PDF表セル・率検算確認済み,2026,,2029,,万円/人,4.5,PDFで絶対値なし・年平均率のみ確認済み,2026,215,2029,225,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_105,1次,中外医薬生産株式会社,中外医薬生産株式会社,,,2,1,1,0,6500,2000,30.7692,2,coordinate_cost_box_char_reconstruction,整合,"事業費 65億円
（補助額） （20億円）",,,2030,120,,170,,,Box内明記値確認済み（算術検算対象外）,2027,877,2030,1020,万円/人,5.2,PDF表セル・率検算確認済み,2027,526,2030,618,万円/人,5,PDF表セル・率検算確認済み,,,,,,,PDFで数値なし・ハイフン,,,,,,,PDF記載なし又は抽出不能,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_106,1次,株式会社シーエル,株式会社シーエル,グループ,,2,1,1,0,2100,630,30,2,coordinate_cost_box_char_reconstruction,整合,"事業費 21億円
（補助額） （6.3億円）",2023,,2029,,76,,,,Box内明記値確認済み（算術検算対象外）,2026,216,2029,261,万円/人,6.4,PDF表セル・率検算確認済み,2026,128,2029,149,万円/人,5.2,原本画像目視確認済み,,,,,,,PDF記載なし又は抽出不能,2026,750,2029,900,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,株式会社ササキ,applicant,,2,1,1,0,3900,1300,33.3333,2,coordinate_cost_box_char_reconstruction,整合,"事業費 39億円
（補助額） （13億円）",2023,,2030,,70,13,,,Box内明記値確認済み（算術検算対象外）,,1375,,1431,万円/人,1.3,PDF表セル・率検算確認済み,,312,,356,万円/人,4.5,PDF表セル・率検算確認済み,,,,,万円/人,5.1,PDFで絶対値なし・年平均率のみ確認済み,,54,,95,人,,PDF表セル確認済み,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
