case_id,round,company,candidate_id,candidate_type,classification_confidence,value_raw,unit_raw,value_million_yen_normalized,project_cost_representative_million_yen,subsidy_representative_million_yen,difference_from_representative_million_yen,matches_representative,context,source_page,source_field,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_1,project_cost,high,24.0,億円,2400.0,2400.0,760.0,0.0,true,事業費24億円（補助額7.6億円）。明細20.44億円、3.69億円、0.,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_2,subsidy,high,7.6,億円,760.0,2400.0,760.0,0.0,true,事業費24億円（補助額7.6億円）。明細20.44億円、3.69億円、0.15億円（明細計2,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_3,unclassified_cost_amount,low,20.44,億円,2044.0000000000002,2400.0,760.0,,,事業費24億円（補助額7.6億円）。明細20.44億円、3.69億円、0.15億円（明細計24.28億円で総額は丸,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_4,unclassified_cost_amount,low,3.69,億円,369.0,2400.0,760.0,,,事業費24億円（補助額7.6億円）。明細20.44億円、3.69億円、0.15億円（明細計24.28億円で総額は丸め表示）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_5,unclassified_cost_amount,low,0.15,億円,15.0,2400.0,760.0,,,億円（補助額7.6億円）。明細20.44億円、3.69億円、0.15億円（明細計24.28億円で総額は丸め表示）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_cost_6,unclassified_cost_amount,low,24.28,億円,2428.0,2400.0,760.0,,,円）。明細20.44億円、3.69億円、0.15億円（明細計24.28億円で総額は丸め表示）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_cost_1,project_cost,high,80.0,億円,8000.0,8000.0,2500.0,0.0,true,事業費80億円（補助額25億円）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_cost_2,subsidy,high,25.0,億円,2500.0,8000.0,2500.0,0.0,true,事業費80億円（補助額25億円）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_cost_1,project_cost,high,46.0,億円,4600.0,4600.0,1400.0,0.0,true,"事業費46億円（補助額14億円）。明細表合計4,586,156千円=45.",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_cost_2,subsidy,high,14.0,億円,1400.0,4600.0,1400.0,0.0,true,"事業費46億円（補助額14億円）。明細表合計4,586,156千円=45.86156億円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_cost_3,project_cost,medium,4586156.0,千円,4586.156,4600.0,1400.0,-13.844000000000051,false,"事業費46億円（補助額14億円）。明細表合計4,586,156千円=45.86156億円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_cost_4,project_cost,medium,45.86156,億円,4586.156,4600.0,1400.0,-13.844000000000051,false,"6億円（補助額14億円）。明細表合計4,586,156千円=45.86156億円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_cost_1,project_cost,high,39.0,億円,3900.0,3900.0,1200.0,0.0,true,事業費39億円（補助額12億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_cost_2,subsidy,high,12.0,億円,1200.0,3900.0,1200.0,0.0,true,事業費39億円（補助額12億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_cost_1,project_cost,high,69.0,億円,6900.0,6900.0,2200.0,0.0,true,"事業費69億円（22億円）。明細合計6,916百万円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_cost_2,subsidy,high,22.0,億円,2200.0,6900.0,2200.0,0.0,true,"事業費69億円（22億円）。明細合計6,916百万円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_cost_3,project_cost,medium,6916.0,百万円,6916.0,6900.0,2200.0,16.0,false,"事業費69億円（22億円）。明細合計6,916百万円。",2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_cost_1,project_cost,high,29.0,億円,2900.0,2900.0,960.0,0.0,true,事業費29億円（9.6億円）、明細合計29.07億円,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_cost_2,subsidy,high,9.6,億円,960.0,2900.0,960.0,0.0,true,事業費29億円（9.6億円）、明細合計29.07億円,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_cost_3,project_cost,medium,29.07,億円,2907.0,2900.0,960.0,7.0,false,事業費29億円（9.6億円）、明細合計29.07億円,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_104,1次,ヤマダイ株式会社,s1_outline_104_cost_1,project_cost,high,34.0,億円,3400.0,3400.0,1100.0,0.0,true,事業費34億円（11億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_104,1次,ヤマダイ株式会社,s1_outline_104_cost_2,subsidy,high,11.0,億円,1100.0,3400.0,1100.0,0.0,true,事業費34億円（11億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_105,1次,中外医薬生産株式会社,s1_outline_105_cost_1,project_cost,high,65.0,億円,6500.0,6500.0,2000.0,0.0,true,事業費65億円（20億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_105,1次,中外医薬生産株式会社,s1_outline_105_cost_2,subsidy,high,20.0,億円,2000.0,6500.0,2000.0,0.0,true,事業費65億円（20億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_cost_1,project_cost,high,21.0,億円,2100.0,2100.0,630.0,0.0,true,事業費21億円（6.3億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_cost_2,subsidy,high,6.3,億円,630.0,2100.0,630.0,0.0,true,事業費21億円（6.3億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,s1_outline_107_cost_1,project_cost,high,39.0,億円,3900.0,3900.0,1300.0,0.0,true,事業費39億円（13億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_107,1次,株式会社ササキ,s1_outline_107_cost_2,subsidy,high,13.0,億円,1300.0,3900.0,1300.0,0.0,true,事業費39億円（13億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_108,1次,株式会社ミラプロ,s1_outline_108_cost_1,project_cost,high,13.0,億円,1300.0,1300.0,440.0,0.0,true,事業費13億円（4.4億円）,4,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_108,1次,株式会社ミラプロ,s1_outline_108_cost_2,subsidy,high,4.4,億円,440.00000000000006,1300.0,440.0,5.684341886080802e-14,true,事業費13億円（4.4億円）,4,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_cost_1,project_cost,high,14.9,億円,1490.0,1490.0,490.0,0.0,true,事業費14.9億円（4.9億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_cost_2,subsidy,high,4.9,億円,490.00000000000006,1490.0,490.0,5.684341886080802e-14,true,事業費14.9億円（4.9億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_cost_1,project_cost,high,113.0,億円,11300.0,11300.0,3600.0,0.0,true,事業費113億円（補助額36億円）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_cost_2,subsidy,high,36.0,億円,3600.0,11300.0,3600.0,0.0,true,事業費113億円（補助額36億円）。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_cost_1,project_cost,high,16.0,億円,1600.0,1600.0,510.0,0.0,true,事業費16億円（5.1億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_cost_2,subsidy,high,5.1,億円,509.99999999999994,1600.0,510.0,-5.684341886080802e-14,true,事業費16億円（5.1億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_111,1次,株式会社向山工場,s1_outline_111_cost_1,project_cost,high,40.0,億円,4000.0,4000.0,1300.0,0.0,true,事業費40億円（13億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_111.pdf
s1_outline_111,1次,株式会社向山工場,s1_outline_111_cost_2,subsidy,high,13.0,億円,1300.0,4000.0,1300.0,0.0,true,事業費40億円（13億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_111.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_cost_1,project_cost,high,68.0,億円,6800.0,6800.0,2000.0,0.0,true,事業費68億円（20億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_cost_2,subsidy,high,20.0,億円,2000.0,6800.0,2000.0,0.0,true,事業費68億円（20億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_113,1次,トーアス株式会社,s1_outline_113_cost_1,project_cost,high,14.0,億円,1400.0,1400.0,460.0,0.0,true,事業費14億円（4.6億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_113,1次,トーアス株式会社,s1_outline_113_cost_2,subsidy,high,4.6,億円,459.99999999999994,1400.0,460.0,-5.684341886080802e-14,true,事業費14億円（4.6億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_114,1次,株式会社中西製作所,s1_outline_114_cost_1,project_cost,high,36.0,億円,3600.0,3600.0,540.0,0.0,true,事業費36億円（5.4億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
s1_outline_114,1次,株式会社中西製作所,s1_outline_114_cost_2,subsidy,high,5.4,億円,540.0,3600.0,540.0,0.0,true,事業費36億円（5.4億円）,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_cost_1,project_cost,high,47.0,億円,4700.0,4700.0,1600.0,0.0,true,見出し事業費47億円（16億円）。拠点別記載合計51.8億円で差異あり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_cost_2,subsidy,high,16.0,億円,1600.0,4700.0,1600.0,0.0,true,見出し事業費47億円（16億円）。拠点別記載合計51.8億円で差異あり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_cost_3,project_cost,medium,51.8,億円,5180.0,4700.0,1600.0,480.0,false,見出し事業費47億円（16億円）。拠点別記載合計51.8億円で差異あり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_cost_1,project_cost,high,12.0,億円,1200.0,1200.0,140.0,0.0,true,見出し事業費12億円（1.4億円）。設備明細は合計14.0億円と明記。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_cost_2,subsidy,high,1.4,億円,140.0,1200.0,140.0,0.0,true,見出し事業費12億円（1.4億円）。設備明細は合計14.0億円と明記。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_cost_3,project_cost,medium,14.0,億円,1400.0,1200.0,140.0,200.0,false,見出し事業費12億円（1.4億円）。設備明細は合計14.0億円と明記。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_117,1次,信越理研株式会社,s1_outline_117_cost_1,unclassified_cost_amount,low,44.0,億円,4400.0,4400.0,1200.0,,,見出し44億円（12億円）。本文には事業費45億円との記載もあり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
s1_outline_117,1次,信越理研株式会社,s1_outline_117_cost_2,unclassified_cost_amount,low,12.0,億円,1200.0,4400.0,1200.0,,,見出し44億円（12億円）。本文には事業費45億円との記載もあり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
s1_outline_117,1次,信越理研株式会社,s1_outline_117_cost_3,project_cost,high,45.0,億円,4500.0,4400.0,1200.0,100.0,false,見出し44億円（12億円）。本文には事業費45億円との記載もあり。,2,cost_box_transcription,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
