case_id,round,company,component_id,component_index,component_label,component_type,classification_confidence,entity_name,entity_relation,amount_value_raw,amount_unit_raw,project_cost_million_yen_normalized,subsidy_million_yen_normalized,included_in_representative_total,source_page,raw_evidence,source_json,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_investment_1,1,新工場建築,project_or_location,medium,,,20.44,億円,2044.0000000000002,,false,2,,"{""label"":""新工場建築"",""amount_oku"":20.44}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_investment_2,2,製造・検査ライン導入,cost_category,medium,,,3.69,億円,369.0,,false,2,,"{""label"":""製造・検査ライン導入"",""amount_oku"":3.69}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_investment_3,3,システム導入,cost_category,medium,,,0.15,億円,15.0,,false,2,,"{""label"":""システム導入"",""amount_oku"":0.15}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_investment_1,1,桑名工場増築・成形機等・ERP/MES/POS,cost_category,medium,,,,,,,false,2,,"{""label"":""桑名工場増築・成形機等・ERP/MES/POS""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_investment_1,1,ライン増設関連合計,total,high,,,4586.156,百万円,4586.156,,false,2,,"{""label"":""ライン増設関連合計"",""amount_million_yen"":4586.156}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_investment_1,1,新工場・事務所,project_or_location,medium,,,4849,百万円,4849.0,,false,2,,"{""label"":""新工場・事務所"",""million_yen"":4849}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_investment_2,2,機械設備,cost_category,medium,,,1750,百万円,1750.0,,false,2,,"{""label"":""機械設備"",""million_yen"":1750}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_investment_3,3,太陽光・蓄電池,unspecified,low,,,268,百万円,268.0,,false,2,,"{""label"":""太陽光・蓄電池"",""million_yen"":268}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_102,1次,冬木工業株式会社,s1_outline_102_investment_4,4,見える化,unspecified,low,,,49,百万円,49.0,,false,2,,"{""label"":""見える化"",""million_yen"":49}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_investment_1,1,工場,project_or_location,medium,,,1800,百万円,1800.0,,false,2,,"{""label"":""工場"",""million_yen"":1800}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_investment_2,2,機械,cost_category,medium,,,1080,百万円,1080.0,,false,2,,"{""label"":""機械"",""million_yen"":1080}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_103,1次,オーケー化成株式会社,s1_outline_103_investment_3,3,その他・ソフトウェア,cost_category,medium,,,27,百万円,27.0,,false,2,,"{""label"":""その他・ソフトウェア"",""million_yen"":27}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_investment_1,1,スマートファクトリー新工場・自動化設備・SCADA等,cost_category,medium,,,,,,,false,2,,"{""label"":""スマートファクトリー新工場・自動化設備・SCADA等""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_1,1,増設,unspecified,low,,,620,百万円,620.0,,false,2,,"{""label"":""増設"",""million_yen"":620}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_2,2,クレーン,unspecified,low,,,100,百万円,100.0,,false,2,,"{""label"":""クレーン"",""million_yen"":100}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_3,3,切断機,unspecified,low,,,60,百万円,60.0,,false,2,,"{""label"":""切断機"",""million_yen"":60}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_4,4,ベンディングロール,unspecified,low,,,680,百万円,680.0,,false,2,,"{""label"":""ベンディングロール"",""million_yen"":680}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_5,5,溶接装置,cost_category,medium,,,20,百万円,20.0,,false,2,,"{""label"":""溶接装置"",""million_yen"":20}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_investment_6,6,ターニングロール,unspecified,low,,,60,百万円,60.0,,false,2,,"{""label"":""ターニングロール"",""million_yen"":60}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_investment_1,1,東京支店・投資額,unspecified,low,,,550,百万円,550.0,,false,2,,"{""label"":""東京支店・投資額"",""million_yen"":550}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_investment_2,2,横浜支店・投資額,unspecified,low,,,4560,百万円,4560.0,,false,2,,"{""label"":""横浜支店・投資額"",""million_yen"":4560}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_investment_3,3,博多支店・投資額,unspecified,low,,,70,百万円,70.0,,false,2,,"{""label"":""博多支店・投資額"",""million_yen"":70}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_investment_1,1,工場建設費,cost_category,medium,,,920,百万円,920.0,,false,2,,"{""label"":""工場建設費"",""million_yen"":920}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_investment_2,2,機械設備費,cost_category,medium,,,468,百万円,468.0,,false,2,,"{""label"":""機械設備費"",""million_yen"":468}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_118,1次,クリエイトワン株式会社,s1_outline_118_investment_1,1,システム開発,cost_category,medium,,,43,百万円,43.0,,false,3,,"{""label"":""システム開発"",""million_yen"":43}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_118.pdf
s1_outline_118,1次,クリエイトワン株式会社,s1_outline_118_investment_2,2,社屋建設,unspecified,low,,,1287,百万円,1287.0,,false,3,,"{""label"":""社屋建設"",""million_yen"":1287}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_118.pdf
s1_outline_12,1次,株式会社松岡,s1_outline_12_investment_1,1,"大阪堺市の大規模冷蔵倉庫（冷蔵トン53,122トン）",unspecified,low,,,,,,,false,2,,"{""label"":""大阪堺市の大規模冷蔵倉庫（冷蔵トン53,122トン）""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_12.pdf
s1_outline_122,1次,岸和田製鋼株式会社,s1_outline_122_investment_1,1,電気炉への高効率酸素バーナ導入,unspecified,low,,,500,百万円,500.0,,false,2,,"{""label"":""電気炉への高効率酸素バーナ導入"",""cost_million_yen"":500}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_122,1次,岸和田製鋼株式会社,s1_outline_122_investment_2,2,粗列圧延機の2Hiスタンド化更新,unspecified,low,,,4500,百万円,4500.0,,false,2,,"{""label"":""粗列圧延機の2Hiスタンド化更新"",""cost_million_yen"":4500}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_122,1次,岸和田製鋼株式会社,s1_outline_122_investment_3,3,圧延制御装置更新,cost_category,medium,,,400,百万円,400.0,,false,2,,"{""label"":""圧延制御装置更新"",""cost_million_yen"":400}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_investment_1,1,プラント設備工事,cost_category,medium,,,5600,百万円,5600.0,,true,2,,"{""label"":""プラント設備工事"",""cost_million_yen"":5600}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_investment_2,2,土木建築工事,cost_category,medium,,,3900,百万円,3900.0,,true,2,,"{""label"":""土木建築工事"",""cost_million_yen"":3900}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_13,1次,株式会社アロン社,s1_outline_13_investment_1,1,一関工場への機能集約・新工場・生産設備刷新,cost_category,medium,,,,,,,false,2,,"{""label"":""一関工場への機能集約・新工場・生産設備刷新""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_13.pdf
s1_outline_130,1次,小林酒造株式会社,s1_outline_130_investment_1,1,ウイスキー貯蔵樽倉庫建設,unspecified,low,,,894.3495,百万円,894.3495,271.015,false,2,,"{""label"":""ウイスキー貯蔵樽倉庫建設"",""cost_million_yen"":894.3495,""subsidy_million_yen"":271.015}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
