case_id,round,company,metric,metric_key,status,validation,base_period_label,base_year,base_value,base_year_before_correction,base_year_after_correction,base_year_correction_method,base_year_correction_confidence,target_period_label,target_year,target_value,target_year_before_correction,target_year_after_correction,target_year_correction_method,target_year_correction_confidence,unit,base_value_raw,target_value_raw,unit_raw,base_value_man_yen_per_person,target_value_man_yen_per_person,normalized_unit,unit_conversion_factor,unit_evidence_source,unit_evidence_text,unit_validation,source_box_type,source_box_no,source_box_label,source_box_match_method,source_entity_label,entity_match_status,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw,rate_only,rate_value_raw,rate_numeric_pct,rate_definition,rate_interpretation_status,rate_implied_target_value,rate_reconciliation_status,rate_interpretation_note,rate_ambiguous
s1_outline_1,1次,株式会社岩崎電機製作所,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度（基準年度）,2026,862,2026,2026,existing_normalized_year,high,2029年度（基準年度+3年後）,2029,1168,2029,2029,existing_normalized_year,high,万円/人,862,1168,万円/人,862,1168,万円/人,1.0,box_metric_row,"労働生産性1,168万円/人
862万円/人
（単位：万円/人）（年平均上昇率＋10.67％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,株式会社岩崎電機製作所,applicant_company_representative,10.67,10.6569,0.0131,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"労働生産性 862万円/人→1,168万円/人（年平均上昇率+10.67%）",false,10.67%,10.67,annual_average_increase_rate,resolved_by_explicit_wording,1168.414655,consistent,原文に年平均または上昇率の明示あり,false
s1_outline_1,1次,株式会社岩崎電機製作所,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,439,2026,2026,existing_normalized_year,high,2029年度,2029,509,2029,2029,existing_normalized_year,high,万円/人,439,509,万円/人,439,509,万円/人,1.0,box_metric_row,"従業員1人あたり給与支給総額509万円/人
439万円/人
（単位：万円/人）（年平均上昇率＋5％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,株式会社岩崎電機製作所,applicant_company_representative,5,5.0552,0.0552,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,従業員1人あたり給与支給総額 439→509万円/人（年平均上昇率+5%）,false,5%,5.0,annual_average_increase_rate,resolved_by_explicit_wording,508.197375,consistent,原文に年平均または上昇率の明示あり,false
s1_outline_1,1次,株式会社岩崎電機製作所,役員1人当たり給与支給総額,officer_pay,rate_only,AI画像目視確認済み（率のみ）,2026年度,2026,,2026,2026,existing_normalized_year,high,2029年度,2029,,2029,2029,existing_normalized_year,high,万円/人,,,万円/人,,,万円/人,1.0,box_metric_row,"役員1人あたり給与支給総額ー
ー
（単位：万円/人）（年平均上昇率＋5％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,株式会社岩崎電機製作所,applicant_company_representative,5,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,役員1人あたり給与支給総額 －→－（年平均上昇率+5%）,true,5%,5.0,annual_average_increase_rate,resolved_by_explicit_wording,,not_testable,原文に年平均または上昇率の明示あり,false
s1_outline_1,1次,株式会社岩崎電機製作所,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,270,2026,2026,existing_normalized_year,high,2029年度,2029,290,2029,2029,existing_normalized_year,high,人,270,290,人,,,人,1,box_metric_row,"補助事業に係る従業員数
270人290人
（単位：人）",box_confirmed,project_targets,3,目標値,case_page_metric_label,株式会社岩崎電機製作所,applicant_company_representative,,2.4106,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,補助事業に係る従業員数 270人→290人,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_10,1次,株式会社プレジィール,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,1236,2026,2026,existing_normalized_year,high,2029年度,2029,1870,2029,2029,existing_normalized_year,high,万円/人,1236,1870,万円/人,1236,1870,万円/人,1.0,box_metric_row,"労働生産性
1,2361,870(年平均上昇率＋14.8％)
（単位：万円/人）
",box_confirmed,project_targets,6,目標値,case_page_metric_label,株式会社プレジィール,applicant_company_representative,14.8,14.7998,0.0002,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"1,236→1,870（年平均上昇率+14.8%）",false,14.8%,14.8,annual_average_increase_rate,resolved_by_explicit_wording,1870.010887,consistent,原文に年平均または上昇率の明示あり,false
s1_outline_10,1次,株式会社プレジィール,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,336,2026,2026,existing_normalized_year,high,2029年度,2029,369,2029,2029,existing_normalized_year,high,万円/人,336,369,万円/人,336,369,万円/人,1.0,box_metric_row,"従業員1人あたり給与支給総額
336369(年平均上昇率＋3.0％)
（単位：万円/人）
",box_confirmed,project_targets,6,目標値,case_page_metric_label,株式会社プレジィール,applicant_company_representative,3,3.1721,0.1721,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,336→369（年平均上昇率+3.0%）,false,3%,3.0,annual_average_increase_rate,resolved_by_explicit_wording,367.156272,consistent,原文に年平均または上昇率の明示あり,false
s1_outline_10,1次,株式会社プレジィール,役員1人当たり給与支給総額,officer_pay,rate_only,AI画像目視確認済み（率のみ）,2026年度,2026,,2026,2026,existing_normalized_year,high,2029年度,2029,,2029,2029,existing_normalized_year,high,万円/人,,,万円/人,,,万円/人,1.0,box_metric_row,"役員1人あたり給与支給総額
--(年平均上昇率＋11.1％)
（単位：万円/人）
",box_confirmed,project_targets,6,目標値,case_page_metric_label,株式会社プレジィール,applicant_company_representative,11.1,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,役員1人あたり給与支給総額 －→－（年平均上昇率+11.1%）,true,11.1%,11.1,annual_average_increase_rate,resolved_by_explicit_wording,,not_testable,原文に年平均または上昇率の明示あり,false
s1_outline_10,1次,株式会社プレジィール,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,840,2026,2026,existing_normalized_year,high,2029年度,2029,1132,2029,2029,existing_normalized_year,high,人,840,1132,人,,,人,1,box_metric_row,"補助事業に係る従業員数
8401,132
（単位：人）",box_confirmed,project_targets,6,目標値,case_page_metric_label,株式会社プレジィール,applicant_company_representative,,10.4559,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"840→1,132人",false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_100,1次,マリンフード株式会社,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,1776,2026,2026,existing_normalized_year,high,2029年度,2029,1973,2029,2029,existing_normalized_year,high,万円/人,1776,1973,万円/人,1776,1973,万円/人,1.0,unit_not_found_in_box,"）、自動計量器を導入し省力・省人化で労働
して長期成長ビジョンに掲げる国内代替食品業
高騰により自社存続をかけて開発、商品化した植物油
続可能な発展(サスティナビリティ)、食物アレルギーにも対
られる供給が出来ておらず、追随する新規参入に先んじ
目指す。
賀県長浜市の工場脇スペースに増設）
自動倉庫（スティリーノ冷却システム）、自動計量器、ラ",manual_audit_unit,long_term_vision,1,長期成長ビジョン（目指す姿・ビジネスモデル）,case_page_box,マリンフード株式会社,applicant_company_representative,9.1,3.5686,5.5314,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"労働生産性1,776→1,973（+9.1%。値との算術は原本内不整合）",false,9.1%,9.1,stated_undefined,ambiguous,,mismatch,率はあるが、年平均・累積・到達率の明示と算術確認材料が不足,true
s1_outline_100,1次,マリンフード株式会社,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,450,2026,2026,existing_normalized_year,high,2029年度,2029,507,2029,2029,existing_normalized_year,high,万円/人,450,507,万円/人,450,507,万円/人,1.0,unit_not_found_in_box,"）、自動計量器を導入し省力・省人化で労働
して長期成長ビジョンに掲げる国内代替食品業
高騰により自社存続をかけて開発、商品化した植物油
続可能な発展(サスティナビリティ)、食物アレルギーにも対
られる供給が出来ておらず、追随する新規参入に先んじ
目指す。
賀県長浜市の工場脇スペースに増設）
自動倉庫（スティリーノ冷却システム）、自動計量器、ラ",manual_audit_unit,long_term_vision,1,長期成長ビジョン（目指す姿・ビジネスモデル）,case_page_box,マリンフード株式会社,applicant_company_representative,4.06,4.0555,0.0045,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,従業員給与450→507（+4.06%）,false,4.06%,4.06,annual_average_increase_rate,resolved_by_arithmetic,507.065402,consistent,基準値・目標値・期間から計算した年平均率と整合,false
