case_id,round,company,automated_candidate_rows,automated_issues,visual_review_status,correction_applied,correction_summary,notes
s1_outline_100,1次,マリンフード株式会社,4,base_not_found;target_not_found;rate_not_found,source_document_rate_inconsistency,no,,PDF記載の年平均上昇率と表示された始終値の単純計算が一致しない
s1_outline_117,1次,信越理研株式会社,1,target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_120,1次,旭陽電気株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_128,1次,株式会社ただおザウルス,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_134,1次,株式会社コンメックス,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_138,1次,菅野包装資材株式会社,2,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_148,1次,株式会社しばた工芸,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_149,1次,株式会社共同物流サービス,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_151,1次,四国医療サービス株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_153,1次,株式会社越後屋,1,zero_not_explicit,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_156,1次,株式会社ダイセイ,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_16,1次,株式会社旭ウエルテック,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_173,1次,中央紙通商株式会社,2,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_27,1次,株式会社クラタ,2,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_30,1次,株式会社メイドー,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_46,1次,株式会社アイスコ,0,targeted_null_zero_review,corrected,yes,役員給与の基準値・目標値 0→0 を null→null に修正。率0%は維持,値欄はダッシュであり、0は率だけ
s1_outline_5,1次,大森機械工業株式会社,4,target_not_found;base_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_58,1次,三晶エムイーシー株式会社,3,target_not_found;rate_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_61,1次,三恵工業株式会社,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_68,1次,株式会社ミマキエンジニアリング,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_69,1次,NAX JAPAN株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_74,1次,株式会社ユニシス,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_76,1次,安田工業株式会社,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_82,1次,サン工業株式会社,2,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_83,1次,株式会社ヒサダ,1,base_not_found;target_not_found;rate_not_found,source_document_rate_inconsistency,no,,PDF記載の率表現が特殊で、表示値からの単純CAGRと一致しない
s1_outline_86,1次,グローバル・テック株式会社,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_87,1次,トーカロ株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline_89,1次,京西テクノス株式会社,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__184,2次,泉南乳業株式会社,1,base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__188,2次,山城金属株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__191,2次,株式会社カナイ,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__192,2次,池田糖化工業株式会社,1,zero_not_explicit,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__195,2次,アシザワ・ファインテック株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__199,2次,株式会社ティー・シー・ピー,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__201,2次,株式会社イートアンドフーズ,3,base_not_found;zero_not_explicit;target_not_found,interpretation_review_required,no,,複数拠点系列で、役員給与は明示0と空欄が混在。代表値の解釈に注意
s1_outline__202,2次,アライドコーヒーロースターズ株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__203,2次,株式会社東映京都スタジオ,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s1_outline__208,2次,日本電波工業株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_1,3次,株式会社角藤,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_103,3次,ベストアメニティ株式会社,3,target_not_found;rate_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_11,3次,たまご＆ファーマーズ株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_113,4次,株式会社アダチ,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_121,4次,株式会社ヤマキ食品,1,target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_127,4次,株式会社キィポーション,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_128,3次,株式会社タカラ倉庫運輸サービス,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_132,4次,株式会社コハラ,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_134,4次,池田薬品工業株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_135,4次,株式会社リバイト,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_141,4次,古川電気工業株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_147,4次,株式会社　進和,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_148,4次,丹羽鋳造株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_15,3次,賀谷セロファン株式会社,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_153,4次,コモライフ株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_177,4次,八光エルアール株式会社,2,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_183,4次,ナカシマヘルスフォース株式会社,1,target_not_found,corrected,yes,"労働生産性目標 22,844→22,484千円/人（正規化 2,284.4→2,248.4万円/人）",OCR数字転置をBox画像で確認
s2_outline_184,4次,日電精密工業株式会社,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_189,4次,吉田海運ロジソリューションズ株式会社,2,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_2,3次,ガイア株式会社,4,base_not_found;target_not_found;rate_not_found,source_document_rate_inconsistency,no,,PDF記載の従業員数上昇率と表示された始終値の単純計算が一致しない
s2_outline_204,4次,新日本電工株式会社,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_214,3次,株式会社 八天堂,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_215,3次,昭和化工株式会社,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_216,3次,中本Fine Pack株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_22,3次,味覚糖株式会社,2,target_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_26,3次,株式会社ティーケーシン,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_3,3次,さくら不動産株式会社,2,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_30,3次,東洋スクリーン工業株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_32,3次,第一物産株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_34,3次,フタバ食品株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
