case_id,round,company,subject_table,subject_id,metric_key,flag_code,severity,status,value_raw,value_normalized,alternative_value,source_page,source_box_label,evidence,resolution_note
s1_outline_1,1次,株式会社岩崎電機製作所,cases,s1_outline_1,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_10,1次,株式会社プレジィール,cases,s1_outline_10,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_100,1次,マリンフード株式会社,metrics,labor,labor,RATE_ARITHMETIC_MISMATCH,critical,unresolved,9.1,,3.5686,2,長期成長ビジョン（目指す姿・ビジネスモデル）,"労働生産性1,776→1,973（+9.1%。値との算術は原本内不整合）",PDF記載率と基準値・目標値・期間からの計算率が1ポイント超相違
s1_outline_100,1次,マリンフード株式会社,metrics,labor,labor,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,9.1%,,,2,長期成長ビジョン（目指す姿・ビジネスモデル）,"労働生産性1,776→1,973（+9.1%。値との算術は原本内不整合）",率はあるが、年平均・累積・到達率の明示と算術確認材料が不足
s1_outline_100,1次,マリンフード株式会社,cases,s1_outline_100,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_100_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_100,1次,マリンフード株式会社,cases,s1_outline_100,,COST_TEXT_NUMERIC_ROUNDING_DIFFERENCE,warning,resolved_with_tolerance,,4600.0,project_cost=4600.0; subsidy=1400.0; project_cost=4586.156; project_cost=4586.156,2,,"事業費46億円（補助額14億円）。明細表合計4,586,156千円=45.86156億円。",差は代表値の1%または50百万円以内。丸め・精度差として保持
s1_outline_100,1次,マリンフード株式会社,cases,s1_outline_100,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[4586.156, 4600.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_101,1次,株式会社正興電機製作所,cases,s1_outline_101,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_101,1次,株式会社正興電機製作所,cases,s1_outline_101,,MULTIPLE_SALES_SERIES,warning,resolved,,3,,,,s1_outline_101_sales_01:group; s1_outline_101_sales_02:group; s1_outline_101_sales_03:applicant,代表系列=s1_outline_101_sales_03
s1_outline_102,1次,冬木工業株式会社,metrics,labor,labor,RATE_ARITHMETIC_MISMATCH,critical,unresolved,14.5,,17.8306,2,目標値,"912→1,492、14.5%",PDF記載率と基準値・目標値・期間からの計算率が1ポイント超相違
s1_outline_102,1次,冬木工業株式会社,sales_series,s1_outline_102_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,136,,increase_rate / target_base_ratio / cagr,1,,2029年までに会社全体の売上高成長率136%、売上高増加額65億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_102,1次,冬木工業株式会社,cases,s1_outline_102,,COST_TEXT_NUMERIC_ROUNDING_DIFFERENCE,warning,resolved_with_tolerance,,6900.0,project_cost=6900.0; subsidy=2200.0; project_cost=6916.0,2,,"事業費69億円（22億円）。明細合計6,916百万円。",差は代表値の1%または50百万円以内。丸め・精度差として保持
s1_outline_102,1次,冬木工業株式会社,cases,s1_outline_102,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[6900.0, 6916.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_103,1次,オーケー化成株式会社,sales_series,s1_outline_103_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,198,,increase_rate / target_base_ratio / cagr,1,,会社全体の成長率198.0%、増加額44.7億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_103,1次,オーケー化成株式会社,cases,s1_outline_103,,COST_TEXT_NUMERIC_ROUNDING_DIFFERENCE,warning,resolved_with_tolerance,,2900.0,project_cost=2900.0; subsidy=960.0; project_cost=2907.0,2,,事業費29億円（9.6億円）、明細合計29.07億円,差は代表値の1%または50百万円以内。丸め・精度差として保持
s1_outline_103,1次,オーケー化成株式会社,cases,s1_outline_103,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, project",
s1_outline_103,1次,オーケー化成株式会社,cases,s1_outline_103,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[2900.0, 2907.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_103,1次,オーケー化成株式会社,cases,s1_outline_103,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_103_sales_01:applicant; s1_outline_103_sales_02:project,代表系列=s1_outline_103_sales_01
s1_outline_104,1次,ヤマダイ株式会社,sales_series,s1_outline_104_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,42,,increase_rate / target_base_ratio / cagr,1,,会社全体の売上高成長率42%、増加額47億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_105,1次,中外医薬生産株式会社,sales_series,s1_outline_105_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,170,,increase_rate / target_base_ratio / cagr,1,,2030年売上高120億円、成長率170%。付加価値額52億円は売上増加額ではない。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_106,1次,株式会社シーエル,cases,s1_outline_106,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_106,1次,株式会社シーエル,cases,s1_outline_106,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_106_sales_01:applicant; s1_outline_106_sales_02:group,代表系列=s1_outline_106_sales_01
s1_outline_107,1次,株式会社ササキ,cases,s1_outline_107,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_107_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_107,1次,株式会社ササキ,metrics,employee_pay,employee_pay,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度+3年後）, -> ,,2,,312→356、4.5%,
s1_outline_107,1次,株式会社ササキ,metrics,employees,employees,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度+3年後）, -> ,,2,,54→95,
s1_outline_107,1次,株式会社ササキ,metrics,labor,labor,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度+3年後）, -> ,,2,,"1,375→1,431、1.3%。年度は20xx表記。",
s1_outline_109,1次,マイクロカット株式会社,cases,s1_outline_109,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_109_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_109,1次,マイクロカット株式会社,cases,s1_outline_109,,MIXED_ENTITY_METRICS,warning,unresolved,,,,,,"applicant, existing_business, project",
s1_outline_109,1次,マイクロカット株式会社,cases,s1_outline_109,,MULTIPLE_SALES_SERIES,warning,unresolved,,3,,,,s1_outline_109_sales_01:applicant; s1_outline_109_sales_02:existing_business; s1_outline_109_sales_03:project,代表系列=s1_outline_109_sales_01
s1_outline_11,1次,大峰堂薬品工業株式会社,cases,s1_outline_11,,MULTIPLE_SALES_SERIES,warning,resolved,,4,,,,s1_outline_11_sales_01:applicant; s1_outline_11_sales_02:applicant; s1_outline_11_sales_03:applicant; s1_outline_11_sales_04:applicant,代表系列=s1_outline_11_sales_01
s1_outline_111,1次,株式会社向山工場,sales_series,s1_outline_111_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,48,,increase_rate / target_base_ratio / cagr,1,,2030年3月までの売上高成長率48%、増加額146億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_113,1次,トーアス株式会社,sales_series,s1_outline_113_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,77.6,,increase_rate / target_base_ratio / cagr,1,,"2028年3月期までの成長率77.6%、増加額3,428百万円",記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_113,1次,トーアス株式会社,cases,s1_outline_113,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, project",
s1_outline_113,1次,トーアス株式会社,cases,s1_outline_113,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_113_sales_01:applicant; s1_outline_113_sales_02:project,代表系列=s1_outline_113_sales_01
