case_id,round,company,series_id,series_label,point_type,period_label,year_before_correction,year_after_correction,year_correction_method,year,month_before_correction,month_after_correction,month,sales_oku_yen,page,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_sales_01,会社全体,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,168,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_sales_01,会社全体,target,2029年度,2029,2029,existing_normalized_year,2029,,,,260,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_sales_01,会社全体,baseline,2023年9月期,2023,2023,existing_normalized_year,2023,9,9,9,223,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_sales_01,会社全体,target,2029年9月期,2029,2029,existing_normalized_year,2029,9,9,9,800,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_sales_01,会社全体,baseline,2023年,2023,2023,existing_normalized_year,2023,,,,362,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_100,1次,マリンフード株式会社,s1_outline_100_sales_01,会社全体,target,2038年まで,2038,2038,existing_normalized_year,2038,,,,1000,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_01,長期・連結,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,271,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_01,長期・連結,target,2041年度,2041,2041,existing_normalized_year,2041,,,,1000,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_02,中期・連結,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,271,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_02,中期・連結,target,2026年度,2026,2026,existing_normalized_year,2026,,,,400,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_03,中期・単体,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,191,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_101,1次,株式会社正興電機製作所,s1_outline_101_sales_03,中期・単体,target,2026年度,2026,2026,existing_normalized_year,2026,,,,290,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_105,1次,中外医薬生産株式会社,s1_outline_105_sales_01,会社全体,target,2030年,2030,2030,existing_normalized_year,2030,,,,120,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_sales_01,単体,baseline,2023年,2023,2023,existing_normalized_year,2023,,,,81,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_sales_01,単体,target,2029年,2029,2029,existing_normalized_year,2029,,,,157,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_sales_02,グループ合計,baseline,2023年,2023,2023,existing_normalized_year,2023,,,,149,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_sales_02,グループ合計,target,2029年,2029,2029,existing_normalized_year,2029,,,,268,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,s1_outline_107_sales_01,会社全体,target,2030年,2030,2030,existing_normalized_year,2030,,,,110,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_108,1次,株式会社ミラプロ,s1_outline_108_sales_01,会社全体,target,2034年,2034,2034,existing_normalized_year,2034,,,,1000,2,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_01,会社全体,baseline,23/12期,,2023,two_digit_year_assume_2000s,2023,12,12,12,39,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_01,会社全体,target,2030年時点,2030,2030,existing_normalized_year,2030,,,,101,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_02,既存事業,baseline,23/12期,,2023,two_digit_year_assume_2000s,2023,12,12,12,23,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_02,既存事業,target,2030年時点,2030,2030,existing_normalized_year,2030,,,,32,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_03,補助事業,baseline,23/12期,,2023,two_digit_year_assume_2000s,2023,12,12,12,16,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_sales_03,補助事業,target,2030年時点,2030,2030,existing_normalized_year,2030,,,,69,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_sales_02,会社全体（2035 KGI）,target,2035年まで,2035,2035,existing_normalized_year,2035,,,,200,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_sales_01,会社全体,baseline,2024年3月度,2024,2024,existing_normalized_year,2024,3,3,3,123,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_sales_01,会社全体,target,2028年3月度,2028,2028,existing_normalized_year,2028,3,3,3,205,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_sales_01,会社全体,baseline,23/9期（実績）,,2023,two_digit_year_assume_2000s,2023,9,9,9,85.7,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_sales_01,会社全体,target,29/9期,,2029,two_digit_year_assume_2000s,2029,9,9,9,140,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_114,1次,株式会社中西製作所,s1_outline_114_sales_01,会社全体,target,2030年,2030,2030,existing_normalized_year,2030,,,,450,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
