case_id,round,company,series_id,series_label,scope,entity_relation,is_primary,is_reported_primary,is_applicant_representative,series_role,representative_reason,baseline_period_label,baseline_year,baseline_month,baseline_year_before_correction,baseline_year_after_correction,baseline_month_before_correction,baseline_month_after_correction,baseline_year_correction_method,baseline_year_correction_confidence,baseline_period_type,baseline_year_status,baseline_sales_oku,target_period_label,target_year,target_month,target_year_before_correction,target_year_after_correction,target_month_before_correction,target_month_after_correction,target_year_correction_method,target_year_correction_confidence,target_period_type,target_year_status,target_sales_oku,increase_oku,growth_rate_pct,cagr_pct,stated_rate_pct,growth_rate_definition,rate_type,extraction_method,confidence,review_required,arithmetic_status,page,raw_fragment,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,s1_outline_1_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,168,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,260,92,55,,55,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,整合,1,2023年度168億円⇒2029年度260億円。2029年度までの会社全体の売上高成長率55%、売上高増加額92億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_2,1次,株式会社アイ・テック,s1_outline_2_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年3月期,2023,3,2023,2023,3,3,existing_normalized_year,high,manual_label,existing_normalized_year,,2028年3月期,2028,3,2028,2028,3,3,existing_normalized_year,high,manual_label,existing_normalized_year,,349,32.1,,32.1,cumulative_increase,cumulative_increase,ai_visual_manual_audit,medium,true,未判定,1,2023年3月期～2028年3月期の5年間における会社全体の売上高成長率32.1%、売上高増加額349億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_2.pdf
s1_outline_3,1次,株式会社堀場エステック,s1_outline_3_sales_01,当社グループ連結,グループ,group,true,true,false,PDF主系列,,2023年度比,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2028年,2028,,2028,2028,,,existing_normalized_year,high,manual_label,existing_normalized_year,,1595,54.9,,54.9,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,"2028年までのグループ全体の売上高成長率54.9%、売上高増加額1,595億円（数値は2023年度比）。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_3.pdf
s1_outline_3,1次,株式会社堀場エステック,s1_outline_3_sales_02,当社,申請企業,applicant,false,false,true,申請企業代表,AI画像目視で申請企業系列と確認,2023年度比,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2028年,2028,,2028,2028,,,existing_normalized_year,high,manual_label,existing_normalized_year,,335,40.4,,40.4,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2028年までの会社全体の売上高成長率40.4%、売上高増加額335億円（数値は2023年度比）。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_3.pdf
s1_outline_4,1次,株式会社インターオフィス,s1_outline_4_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,直近決算比（年月不記載）,,,,,,,unresolved_relative_or_missing_context,low,manual_label,補正不能・原文保持,,2023年8月期まで,2023,8,2023,2023,8,8,existing_normalized_year,high,manual_label,existing_normalized_year,,49.3,161.5,,161.5,stated_undefined,stated_undefined,ai_visual_manual_audit,medium,true,未判定,1,2023年8月期までに会社全体の売上高成長率（直近決算比）161.5%、売上高増加額（直近決算比）49.3億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_4.pdf
s1_outline_5,1次,大森機械工業株式会社,s1_outline_5_sales_01,連結,グループ,group,true,true,false,PDF主系列,,2023年5月期（直近年度）,2023,5,2023,2023,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,394,2029年5月期（5年後）,2029,5,2029,2029,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,620,226,,,,not_stated,not_stated,ai_visual_manual_audit,high,false,整合,1,"連結 2023年5月期394億円、2029年5月期620億円、2034年5月期750億円、2048年5月期1,000億円。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_5.pdf
s1_outline_5,1次,大森機械工業株式会社,s1_outline_5_sales_02,単体,申請企業,applicant,false,false,true,申請企業代表,AI画像目視で申請企業系列と確認,2023年5月期（直近年度）,2023,5,2023,2023,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,222,2029年5月期（5年後）,2029,5,2029,2029,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,352,130,,,,not_stated,not_stated,ai_visual_manual_audit,high,false,整合,1,単体 2023年5月期222億円、2029年5月期352億円、2034年5月期386億円、2048年5月期500億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_5.pdf
s1_outline_7,1次,株式会社ＭＡＲＵＷＡ,s1_outline_7_sales_01,会社全体・短期目標,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2025年まで,2025,,2025,2025,,,existing_normalized_year,high,manual_label,existing_normalized_year,700,,,,,not_stated,not_stated,ai_visual_manual_audit,high,false,未判定,1,短期的には（2024年から2025年まで）会社全体の売上高700億円を目標。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_7.pdf
s1_outline_7,1次,株式会社ＭＡＲＵＷＡ,s1_outline_7_sales_02,会社全体・中期目標,申請企業,applicant,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2026年から数年間,2026,,2026,2026,,,existing_normalized_year,high,manual_label,existing_normalized_year,1000,,,,,not_stated,not_stated,ai_visual_manual_audit,high,false,未判定,1,"中期的には（2026年から数年間で）会社全体の売上高1,000億円を目標。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_7.pdf
s1_outline_8,1次,サムテック株式会社,s1_outline_8_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年11月期対比,2023,11,2023,2023,11,11,existing_normalized_year,high,manual_label,existing_normalized_year,,2029年まで,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,,75,32,,32,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,売上成長目標（2023年11月期対比）：2029年までの会社全体の売上高成長率32%、売上高増加額75億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_8.pdf
