case_id,round,company,page,page_role,source_method,confidence,baseline_year,baseline_sales_oku,target_year,target_sales_oku,increase_oku,increase_target_year,stated_rate_pct,stated_rate_target_year,stated_rate_type,stated_cumulative_growth_pct,calculated_cagr_pct,reported_cagr_pct,multiple,validation_status,selection_score,raw,pdf_url
s1_outline_1,1次,株式会社岩崎電機製作所,1,長期成長ビジョン,sales_box_rectangle,high,,,2029,,92,2029,55,2029,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
• 2029年度までの会社全体の売上高成長率：55％
• 2029年度までの会社全体の売上高増加額：92億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_1.pdf
s1_outline_10,1次,株式会社プレジィール,1,長期成長ビジョン,sales_box_rectangle,high,2023,223,2029,800,577,2029,258.7,2029,累積成長率（数値整合）,,23.726915836835992,,,Box内数値整合確認済み,143,"積極的な投資を行い、事業規模を拡大する。
売上成長目標
• 機械設備・システム投資により省力化・合理化を推進し、労働生産
性を向上する。
2023年9月期 2029年9月期 増加額 成長率
223億円 800億円 577億円 258.7％",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_100,1次,マリンフード株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2023,,2038,,638,2038,276,2038,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
• 2038年までの会社全体の売上高成長率276％
• 2038年までの会社全体の売上高増加額638億円
※弊社2023年事業発展計画書P８より",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_100.pdf
s1_outline_101,1次,株式会社正興電機製作所,1,長期成長ビジョン,sales_box_rectangle,high,2026,400,2041,1000,729,2041,,,,,6.299037928953943,,,増加額不整合,105,"〇⾧期経営ビジョン NEXT20 （2041年に向かって）
・連結売上高（2023～2041年）:1,000億円 増加額 729億円（369％）
〇中期経営計画 SEIKO IC2026（2022～2026年）
・連結売上高（2023～2026年）: 400億円 増加額 129億円（148%）
・単体売上高（2023～2026年）: 290億円 増加額 99億円（152%）
〇基本方針:企業活動・事業活動を通じた社会課題解決により、
サステナブルな社会の実現に貢献する
〇重点課題
①デジタルファースト （デジタル技術を活用した社会課題解決）
②脱炭素社会の実現 （カーボンニュートラルへの取り組み）
③One正興 (グループ総合力の発揮）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_101.pdf
s1_outline_102,1次,冬木工業株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2029,,65,2029,136,2029,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"売上成⾧目標
• 2029年までの会社全体の売上高成⾧率136％
• 2029年までの会社全体の売上高増加額65億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf
s1_outline_103,1次,オーケー化成株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,44.7,2030,198,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"売上成⾧目標
• 2030年までの会社全体の売上高成⾧率198.0％
• 2030年までの会社全体の売上高増加額44.7億円
うち、補助事業における売上高増加額37.6億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf
s1_outline_104,1次,ヤマダイ株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,47,2030,42,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
• 2030年までの会社全体の売上高成長率42％
• 2030年までの会社全体の売上高増加額47億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_104.pdf
s1_outline_105,1次,中外医薬生産株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,120,,,170,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
• 2030年に会社全体の売上高120億円、売上高成長率
170％、付加価値額52億円を達成する
• 従業員数154名増員し335名体制へ（中堅企業へ成長）
• 新規事業（補助事業）開始以降、毎年５％以上の賃上げ
を実施する",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_105.pdf
s1_outline_106,1次,株式会社シーエル,1,長期成長ビジョン,sales_box_rectangle,high,2023,,2029,,76,2029,,,,,,,,Box内明記値確認済み（算術検算対象外）,97,"売上成⾧目標（2023年度比）
（単位:億円）
2023 2024 2025 2026 2027 2028 2029
単体 81 92 102 112 125 140 157
グループ合算 149 170 181 195 217 246 268
• 2029年までの売上高増加額76億円（単体）
• 2029年までの売上高増加額119億円（グループ全体）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,1,長期成長ビジョン,sales_box_rectangle,high,2023,,2030,,70,2030,13,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"売上成長目標
• 2023年～2030年までの会社全体の売上高成長率13％
• 2030年までの会社全体の売上高増加額70億円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
