case_id,round,company,category,field,before,after,reason,page,source_box
s1_outline_20,1次,エスティケイテクノロジー株式会社,主要指標,officer_pay.unit,,万円/人,box_uniform_unitの項目行に単位を確認,2,目標値
s1_outline_36,1次,株式会社廣澤精機製作所,主要指標,officer_pay.unit,,万円/人,box_uniform_unitの項目行に単位を確認,2,補助事業の目標値
s1_outline_67,1次,アドバンス電気工業株式会社,主要指標,officer_pay.unit,,万円/人,box_uniform_unitの項目行に単位を確認,2,目標値
s1_outline_125,1次,株式会社ミダック,主要指標,officer_pay.unit,,万円/人,box_uniform_unitの項目行に単位を確認,2,目標値
s1_outline_132,1次,株式会社ヨシノ自動車,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_61,3次,株式会社川金コアテック,主要指標,officer_pay.unit,,万円/人,box_uniform_unitの項目行に単位を確認,2,目標値
s2_outline_62,3次,株式会社エネルギーギャップ,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_65,3次,ハビックス株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_66,3次,トクセン工業株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_67,3次,千代田空調機器株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,5,目標値
s2_outline_69,3次,松村フーズ株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_70,3次,株式会社光製作所,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_71,3次,至誠堂製薬株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_72,3次,ときわ製作所株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_73,3次,株式会社ライジング,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,3,目標値
s2_outline_77,3次,株式会社やまみ,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_78,3次,株式会社宮古島の雪塩,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_79,3次,大京株式会社,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_80,3次,株式会社レイズ,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_121,4次,株式会社ヤマキ食品,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_125,4次,株式会社タンケンシールセーコウ,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_127,4次,株式会社キィポーション,主要指標,officer_pay.unit,,円/人,box_metric_rowの項目行に単位を確認,2,設備投資の内容
s2_outline_130,4次,株式会社ピカソナチュラルズ,主要指標,officer_pay.unit,,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_131,4次,株式会社中村畜産,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_132,4次,株式会社コハラ,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_134,4次,池田薬品工業株式会社,主要指標,officer_pay.unit,,円/人,box_metric_rowの項目行に単位を確認,2,設備投資の内容
s2_outline_136,4次,木本製菓株式会社,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_139,4次,株式会社エルス,主要指標,officer_pay.unit,,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_155,4次,信和化工株式会社,主要指標,labor.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_155,4次,信和化工株式会社,主要指標,employee_pay.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_155,4次,信和化工株式会社,主要指標,officer_pay.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_156,4次,上野ロジケム株式会社,主要指標,labor.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_156,4次,上野ロジケム株式会社,主要指標,employee_pay.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_156,4次,上野ロジケム株式会社,主要指標,officer_pay.unit,万円/人,千円/人,box_metric_rowの項目行に単位を確認,2,目標値
s2_outline_230,4次,株式会社アイ・グラン・ソリューション,主要指標,officer_pay.unit,千円/人,万円/人,box_metric_rowの項目行に単位を確認,2,目標値
