case_id,round,company,metric,status,base_year,base_value,target_year,target_value,unit,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw
s1_outline_1,1次,株式会社岩崎電機製作所,労働生産性,PDF表セル・率検算確認済み,2026,862,2029,1168,万円/人,10.67,10.6569,0.0131,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 862万円/人 | 1,168万円/人
(年平均上昇率+10.67%)"
s1_outline_1,1次,株式会社岩崎電機製作所,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,439,2029,509,万円/人,5,5.0552,0.0552,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 439万円/人 | 509万円/人
(年平均上昇率+5%)"
s1_outline_1,1次,株式会社岩崎電機製作所,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,5,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) ー ー
(年平均上昇率+5%)"
s1_outline_1,1次,株式会社岩崎電機製作所,補助事業に係る従業員数,PDF表セル確認済み,2026,270,2029,290,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 270人 | 290人"
s1_outline_10,1次,株式会社プレジィール,労働生産性,PDF表セル・率検算確認済み,2026,1236,2029,1870,万円/人,14.8,14.7998,0.0002,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,236 | 1,870( 年平均上昇率+14.8%)"
s1_outline_10,1次,株式会社プレジィール,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,336,2029,369,万円/人,3,3.1721,0.1721,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 336 | 369 (年平均上昇率+3.0%)"
s1_outline_10,1次,株式会社プレジィール,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,11.1,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -(年平均上昇率+11.1%)"
s1_outline_10,1次,株式会社プレジィール,補助事業に係る従業員数,PDF表セル確認済み,2026,840,2029,1132,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 840 | 1,132"
s1_outline_100,1次,マリンフード株式会社,労働生産性,原本画像目視確認済み（原本内不整合）,2026,1776,2029,1973,万円/人,9.1,3.5686,5.5314,visual_manual_override,2,暦年確認,年平均率との不整合,true,PDF表目視確認 | 2026年度（基準年度）: 1776 | 2029年度（基準年度+3年後）: 1973
s1_outline_100,1次,マリンフード株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,450,2029,507,万円/人,4.06,4.0555,0.0045,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 450万円/人 | 507万円/人
(年平均上昇率+4.06%)"
s1_outline_100,1次,マリンフード株式会社,役員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,3069,2029,3453,万円/人,4,4.008,0.008,table_cells,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) | 3,069万円/人 | 3,453万円/人
(年平均上昇率+4.0%)"
s1_outline_100,1次,マリンフード株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,225,2029,298,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 225人 | 298人"
s1_outline_101,1次,株式会社正興電機製作所,労働生産性,PDF表セル・率検算確認済み,2026,1027,2029,1204,万円/人,5.45,5.4432,0.0068,table_cells,5,暦年確認,,true,"労働生産性
(万円)/人 | 1,027 | 1,204
(年平均上昇率+5.45%)"
s1_outline_101,1次,株式会社正興電機製作所,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,631,2029,717,万円/人,4.35,4.351,0.001,table_cells,5,暦年確認,,true,"従業員1人あたり ※1
給与支給総額(万円/人) | 631 | 717
(年平均上昇率+4.35%)"
s1_outline_101,1次,株式会社正興電機製作所,役員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,1616,2029,1870,万円/人,5,4.9865,0.0135,table_cells,5,暦年確認,,true,"役員1人あたり ※2
給与支給総額(万円/人) | 1,616 | 1,870
(年平均上昇率+5.00%)"
s1_outline_101,1次,株式会社正興電機製作所,補助事業に係る従業員数,PDF表セル確認済み,2026,795,2029,810,人,,,,table_cells,5,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 795 | 810"
s1_outline_102,1次,冬木工業株式会社,労働生産性,原本画像目視確認済み（原本内不整合）,2026,912,2029,1492,万円/人,14.5,17.8306,3.3306,visual_manual_override,2,暦年確認,年平均率との不整合,true,PDF表目視確認 | 2026年度（基準年度）: 912 | 2029年度（基準年度+3年後）: 1492
s1_outline_102,1次,冬木工業株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,471,2029,522.5,万円/人,3.52,3.5194,0.0006,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 471 | 522.5
(年平均上昇率+3.52%)"
s1_outline_102,1次,冬木工業株式会社,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,3.03,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) ー -
(年平均上昇率+3.03%)"
s1_outline_102,1次,冬木工業株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,68,2029,80,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 68 | 80"
s1_outline_103,1次,オーケー化成株式会社,労働生産性,PDF表セル・率検算確認済み,2027,1851,2030,2592,万円/人,11.9,11.8775,0.0225,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,851 | 2,592
(年平均上昇率+11.9%)"
s1_outline_103,1次,オーケー化成株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2027,472,2030,551,万円/人,5.3,5.2939,0.0061,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 472 | 551
(年平均上昇率+5.3%)"
s1_outline_103,1次,オーケー化成株式会社,役員1人当たり給与支給総額,PDF表セル確認済み,2027,0,2030,0,万円/人,0,,,table_cells,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) | 0 | 0
(年平均上昇率+0%)"
s1_outline_103,1次,オーケー化成株式会社,補助事業に係る従業員数,PDF表セル確認済み,2027,35,2030,50,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 35 | 50"
s1_outline_104,1次,ヤマダイ株式会社,労働生産性,PDF表セル・率検算確認済み,2026,1169,2029,1489,万円/人,8.4,8.3994,0.0006,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 1,169 | 1,489
(年平均上昇率+8.4%)"
s1_outline_104,1次,ヤマダイ株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,482,2029,550,万円/人,4.5,4.4973,0.0027,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 482 | 550
(年平均上昇率+4.5%)"
s1_outline_104,1次,ヤマダイ株式会社,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,4.5,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+4.5%)"
