prefecture_code,prefecture,region,nominal_gpp_oku_yen,per_capita_income_thousand_yen,average_wage_thousand_yen_per_month,population_thousand,population_change_pct
01,北海道,北海道,208892.5,2891.0,297.1,5043.0,-0.97
02,青森県,東北,44390.55,2704.0,263.9,1165.0,-1.66
03,岩手県,東北,47970.5,2709.0,275.0,1145.0,-1.57
04,宮城県,東北,96146.68,2871.0,313.7,2248.0,-0.73
05,秋田県,東北,36293.35,2769.0,275.8,897.0,-1.87
06,山形県,東北,43404.27,2994.0,272.2,1011.0,-1.49
07,福島県,東北,78649.63,2899.0,293.6,1743.0,-1.35
08,茨城県,関東,145856.06,3481.0,330.7,2806.0,-0.64
09,栃木県,関東,95962.38,3435.0,317.7,1885.0,-0.66
10,群馬県,関東,97620.17,3467.0,308.4,1890.0,-0.62
11,埼玉県,関東,246655.67,3138.0,325.4,7332.0,0.01
12,千葉県,関東,214143.02,3163.0,339.1,6251.0,-0.08
13,東京都,関東,1202199.29,6037.0,418.3,14178.0,0.66
14,神奈川県,関東,351593.72,3180.0,368.6,9225.0,-0.05
15,新潟県,中部,90428.91,2934.0,291.8,2099.0,-1.29
16,富山県,中部,49276.29,3347.0,304.8,997.0,-1.0
17,石川県,中部,47172.6,2977.0,305.6,1098.0,-1.0
18,福井県,中部,34943.04,3095.0,301.6,739.0,-0.77
19,山梨県,中部,37150.3,3362.0,317.3,791.0,-0.63
20,長野県,中部,89181.52,3108.0,308.9,1987.0,-0.84
21,岐阜県,中部,82251.87,3192.0,311.8,1916.0,-0.81
22,静岡県,中部,182710.75,3478.0,314.5,3527.0,-0.8
23,愛知県,中部,430831.04,3819.0,341.6,7460.0,-0.23
24,三重県,中部,84906.01,3227.0,321.1,1711.0,-0.94
25,滋賀県,近畿,70059.56,3292.0,327.0,1402.0,-0.32
26,京都府,近畿,111075.53,3129.0,337.4,2520.0,-0.6
27,大阪府,近畿,431241.92,3257.0,348.9,8757.0,-0.07
28,兵庫県,近畿,234626.49,3150.0,334.9,5337.0,-0.61
29,奈良県,近畿,39209.9,2757.0,321.8,1285.0,-0.8
30,和歌山県,近畿,39960.73,3375.0,301.9,880.0,-1.34
31,鳥取県,中国,19122.11,2491.0,278.7,531.0,-1.16
32,島根県,中国,27527.46,3031.0,282.6,642.0,-1.16
33,岡山県,中国,73449.51,2553.0,300.6,1831.0,-0.84
34,広島県,中国,124761.16,3275.0,320.2,2714.0,-0.86
35,山口県,中国,63062.47,3068.0,306.7,1281.0,-1.26
36,徳島県,四国,32657.95,3170.0,305.9,685.0,-1.36
37,香川県,四国,39722.32,3005.0,310.1,917.0,-0.93
38,愛媛県,四国,51381.19,2764.0,290.8,1276.0,-1.22
39,高知県,四国,24074.41,2703.0,285.8,656.0,-1.56
40,福岡県,九州・沖縄,201871.68,2813.0,314.3,5092.0,-0.21
41,佐賀県,九州・沖縄,32797.73,3097.0,279.7,788.0,-0.82
42,長崎県,九州・沖縄,46536.14,2570.0,284.6,1252.0,-1.21
43,熊本県,九州・沖縄,65650.53,2857.0,291.0,1697.0,-0.69
44,大分県,九州・沖縄,49007.06,2871.0,295.2,1085.0,-1.0
45,宮崎県,九州・沖縄,37669.49,2453.0,268.3,1033.0,-0.89
46,鹿児島県,九州・沖縄,60485.96,2722.0,289.3,1532.0,-1.1
47,沖縄県,九州・沖縄,44615.3,2249.0,277.4,1466.0,-0.11
